wiki_language_code,career_google,career_hand,flowers_google,weapons_google,career_behavioral_iat,wps_index
ar,0.660382228,0.56328376,0.6744670560767666,1.3519279761089935,1.016983238373305,0.746
da,0.804597573,0.91898549,1.2275777602558398,1.2110228467612278,1.1580336819688635,0.845
de,0.658386778,0.850919918,1.3634067454877667,1.4903980391837421,1.1351087105822057,0.8523333333333333
el,0.393671128,NA,1.3220457997961534,1.098602424395928,1.066939170908174,0.781
en,0.631863669,0.631863669,1.6586191163543842,1.535252751410166,1.0854746751135456,0.8308333333333333
es,0.660466374,0.658171834,1.4896122936426017,1.405732082785693,1.00675856501597,0.73
fa,0.220482137,0.404804745,0.8723778737107987,1.036338534618127,1.0001551085043703,0.385
fi,0.196181905,0.1893599,1.3756098650537156,1.1375857578598114,1.0427063288778553,0.855
fr,0.222591696,0.124394608,1.1215333056616075,1.172265181551587,1.0582860793202673,0.817
hr,0.640656597,NA,1.1872754501463598,1.2817069548830444,1.0950739128077334,0.804
hu,0.04330613,NA,1.3812169150974034,1.4139519500214854,1.168057789410422,0.739
id,0.032951227,0.175626267,1.1915189488181752,1.3898692341165848,0.9483963255106217,0.669
it,0.177517853,0.509848315,1.3698897306520028,1.4367371675993914,1.138241060302592,0.79
ja,-0.332925534,0.064295678,1.2139343517663141,1.3375711271502864,1.0546671813815027,0.798
ko,0.871573163,0.252784967,1.4342308719816,1.271049841380325,1.0462100825606075,0.8
ms,0.155817063,NA,1.228018510866538,1.0964626596405838,0.9316727026759108,0.665
nl,0.74729041,0.68326075,1.190439166222263,1.5755925827370858,1.1928239222170607,0.85
no,0.591043956,NA,1.4283646500107214,1.396240651174677,1.036192916616594,0.879
pl,0.388961923,0.070637956,1.2400314172576017,1.336854185766124,1.032822104644008,0.799
pt,1.011527419,0.538820057,1.239517650801133,1.4309987146861665,1.0863341885517614,0.7495
ro,0.379296641,NA,0.8417711360642259,1.4984144512007402,1.1628195899429048,0.739
ru,0.006559964,0.211615022,0.953945226332963,1.3382038298321526,1.0398483210427427,0.721
sv,0.766610599,0.821934025,1.2398380207282675,1.3762694823033943,1.0001870448003038,0.854
tr,0.137610844,0.085980971,1.206992930477983,1.0792132921850583,1.0237646906679112,0.634
vi,0.436710512,NA,0.7962353554143701,0.16971786634506555,0.9381183665741428,NA
