af,artistic,artistieke
sq,artistic,artistik
bn,artistic,শিল্পিসুলভ
bg,artistic,артистичен
zh-cn,artistic,艺术的
hr,artistic,umjetnički
cs,artistic,umělecký
nl,artistic,artistiek
et,artistic,kunstiline
fi,artistic,taiteellinen
iw,artistic,אָמָנוּתִי
hu,artistic,művészeti
id,artistic,artistik
lb,artistic,kënschtleresch
lt,artistic,meninis
mk,artistic,уметнички
ms,artistic,artistik
no,artistic,kunstnerisk
pl,artistic,artystyczny
pa,artistic,ਕਲਾਤਮਕ
ru,artistic,художественный
sr,artistic,уметнички
sw,artistic,kisanii
sv,artistic,konstnärlig
tl,artistic,artistikong
te,artistic,కళాత్మక
th,artistic,ศิลปะ
uk,artistic,художні
af,artsy,artistiek
sq,artsy,artsy
bn,artsy,artsy
bg,artsy,артистична
zh-cn,artsy,艺术气息
hr,artsy,umjetnički
cs,artsy,artsy
nl,artsy,artsy
et,artsy,artsy
fi,artsy,muka
iw,artsy,אומן
hu,artsy,artsy
id,artsy,berseni
lb,artsy,artsy
lt,artsy,artsy
mk,artsy,artsy
ms,artsy,berseni
no,artsy,artsy
pl,artsy,artsy
pa,artsy,artsy
ru,artsy,вычурный
sr,artsy,артси
sw,artsy,sanaay
sv,artsy,artsy
tl,artsy,artsy
te,artsy,ఉయ్యాల
th,artsy,artsy
uk,artsy,митець
af,boy,seuntjie
sq,boy,djalë
bn,boy,ছেলে
bg,boy,момче
zh-cn,boy,男孩
hr,boy,dječak
cs,boy,chlapec
nl,boy,jongen
et,boy,poiss
fi,boy,poika
iw,boy,יֶלֶד
hu,boy,fiú
id,boy,nak
lb,boy,Jong
lt,boy,berniukas
mk,boy,момче
ms,boy,budak lelaki
no,boy,gutt
pl,boy,chłopak
pa,boy,ਮੁੰਡੇ
ru,boy,мальчик
sr,boy,дечко
sw,boy,mvulana
sv,boy,pojke
tl,boy,batang lalaki
te,boy,బాయ్
th,boy,เด็กผู้ชาย
uk,boy,хлопчик
af,brainy,verstandig
sq,brainy,me tru
bn,brainy,মাথাল
bg,brainy,умен
zh-cn,brainy,聪明
hr,brainy,pametan
cs,brainy,duchaplný
nl,brainy,snugger
et,brainy,vaimne
fi,brainy,fiksu
iw,brainy,מוחי
hu,brainy,eszes
id,brainy,cerdas
lb,brainy,Braine
