wiki_language_code,prop_male,log_age,education,overall_iat_D_score,order,explicit_dif,es_iat_sex_age_order_explicit_resid,es_iat_sex_age_order_implicit_resid,median_country_age,per_women_stem_2012_2017,n_participants,family
ar,0.36660929432013767,3.2280794781439375,1,0.34851267249437495,1.5025817555938037,1.9384885764499122,0.37042204790141237,-0.025488311990359933,30.3,18.175216666666667,581,NA
da,0.39575289575289574,3.3589673401500124,1,0.4066142933794154,1.4961389961389961,1.5610948191593352,-0.015130537944125909,0.0275685054556807,42.2,12.480726,1036,NA
de,0.3936227272128659,3.3773290689611857,1,0.401009664518349,1.506749131710611,1.8452509835541704,0.2684290183826774,0.019599449050896514,44.5,12.456546666666666,2498.3333333333335,NA
en,0.3315092375030749,3.3529339949524077,1,0.38283826411734795,1.504730009454275,1.5466016909428673,-0.02653318029264081,-0.0029174860259230584,39.03333333333333,11.647911166666667,101725.83333333333,NA
es,0.38471495882592954,3.297375413054062,1,0.35202556260783835,1.4910149941666833,1.4683082741031739,-0.10433662344867062,-0.0236428983821061,33.175,13.68766775,791.5,NA
fa,0.2711471610660487,3.215420889575464,1,0.3634394131755461,1.5156431054461181,1.6132075471698113,0.049844864762140124,-0.020319208107144795,18.8,NaN,863,NA
fi,0.3502183406113537,3.2880839471365677,1,0.37919249207880307,1.5126637554585154,1.375,-0.19517772426574545,-0.0012318740502568653,42.5,12.957786,1145,NA
fr,0.3630314232902033,3.356117892713585,1,0.37748442329937487,1.5160813308687615,1.625140712945591,0.05082979535342962,-0.006405966233272553,41.4,13.687458,2705,NA
he,0.39841688654353563,3.391897475391579,1,0.40808291654568457,1.5382585751978892,1.7210884353741496,0.14392612489767995,0.023339602498192974,29.9,NaN,758,NA
hi,0.5703754895185441,3.3727728377799866,1,0.30468301743584986,1.5123243492282885,1.618824631233903,0.035288648338090214,-0.059543297161397744,27.9,25.875145,4341,NA
hr,0.21393034825870647,3.1724890317907484,1,0.39300466722253763,1.5107794361525704,1.2218487394957984,-0.33669347123245175,0.006843921634415922,43,14.6808725,603,NA
id,0.4014962593516209,3.190857404226154,1,0.31369041031696954,1.4937655860349128,1.6529562982005142,0.08529998258308912,-0.053660942824779304,30.2,13.529744999999998,401,NA
it,0.3608617594254937,3.3968645281782988,NaN,0.40980390527572086,1.5152603231597845,1.826047358834244,0.24977244067426868,0.02312918217578112,45.5,15.902095999999998,1114,NA
ja,0.4282258064516129,3.322169984984382,1,0.39276920874797033,1.5064516129032257,1.518181818181818,-0.057305103416553434,0.01837221713385687,47.3,NaN,1240,NA
ko,0.36885245901639346,3.244591214873555,1,0.367275084214771,1.494145199063232,1.4243176178660049,-0.1451239665484513,-0.0068116016621206435,41.8,15.241724999999999,854,NA
ms,0.3100338218714769,3.204393549596736,1,0.3398840066728922,1.4937993235625704,1.551044083526682,-0.013323080043276023,-0.03734987682721718,28.5,21.699205,887,NA
nl,0.36822208998815054,3.3623932697273364,1,0.4209647376039991,1.5108258453211998,1.7301269750717423,0.1550649092405259,0.03765461941024417,42,6.837654499999999,2529,NA
no,0.3596168017686072,3.296120761226028,1,0.35447490748967103,1.505526897568165,1.2889221556886228,-0.28215741330358574,-0.02489874767198652,39.2,9.210424,1357,NA
pl,0.3328358208955224,3.2958245031140554,1,0.3638731560381722,1.508955223880597,1.5526717557251908,-0.017376997111489767,-0.01842782150885679,40.7,13.254754,670,NA
pt,0.48846960167714887,3.3712165357700417,1,0.4045774341776582,1.514325646401118,1.4363507779349363,-0.14380917724491626,0.03221032239677631,32,8.6388475,1431,NA
ro,0.2910602910602911,3.2152853801661267,1,0.3876891101898121,1.4927234927234927,1.6109936575052854,0.04663752647595598,0.007978577268914502,41.1,19.675815,481,NA
sv,0.42738589211618255,3.364938242378117,1,0.35729978777381466,1.5136007376671277,1.322248243559719,-0.25519413020373233,-0.02060511444003361,41.2,14.3675675,2169,NA
tl,0.26742976066597296,3.279266219522063,1,0.3326103275671981,1.505723204994797,1.4470338983050848,-0.11953410677977583,-0.054758919631812696,23.5,17.77721,961,NA
tr,0.29515418502202645,3.2001419017956647,NaN,0.3498707650374456,1.500734214390602,1.3502235469448585,-0.2134528589827861,-0.02918063525166718,30.9,14.919405000000001,681,NA
zh,0.3507082207548146,3.2448777843462215,1,0.3757229438967464,1.492318022705577,1.6119860445920093,0.04369300265584237,-2.101521250894023e-6,37.525,22.29334,1571,NA
zu,0.3719599427753934,3.4014145033588585,NaN,0.3634447970814168,1.5278969957081545,1.7670043415340086,0.19032982989638644,-0.023579779074975743,27.1,13.145153333333333,699,NA
