language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
ro,artistic,N,0.125716,-0.381345,-0.078965,0.28049999999999997,-0.480055,-0.1343625,0.76016,-0.1661365,0.19955,-0.478375,-0.2447395,0.433215,0.066082,-0.19427,-0.282545,0.38467,0.121748,0.306585,0.192355,-0.075599,0.0989645,-0.13463000000000003,0.391735,0.399775,-0.23679,-0.33588,-0.59703,-0.4093,-0.296165,-0.166811,-0.216204,0.493305,0.214025,-0.13788,-0.21922999999999998,0.248315,-0.38418,0.1724485,0.1173545,0.048745,-0.7479100000000001,0.114719,0.4317,0.356435,-0.29057499999999997,-0.6522749999999999,-0.24383500000000002,0.144395,-0.557175,0.72,0.57426,0.14751299999999998,0.091495915,-0.016077,0.07956499999999998,-0.34702500000000003,0.1076635,-0.56559,0.27657699999999996,0.29313500000000003,0.03602949999999999,-0.4292,0.174416,-0.30582,0.258115,0.34191,-0.75856,-0.2344445,0.48949,0.21378,0.6754450000000001,0.16433,0.1305225,-0.52732,-0.05131415,-0.196415,-0.6445000000000001,-0.283725,0.09266500000000001,-0.21912500000000001,-0.08039500000000001,-0.22572,0.22107,0.21904495000000002,0.05846,0.8168500000000001,0.53484,0.72815,-0.6742600000000001,-0.175482,0.82087,0.1210325,-0.707185,-0.90676,0.367155,-0.0187665,-0.358865,-0.187032,-0.06639999999999999,0.10559,0.496065,-0.30491,-0.013139399999999999,0.19872499999999998,-0.172145,-0.0020499999999999963,0.053144999999999984,-0.258693,-0.09933170999999999,-0.837615,-0.14079550000000002,0.33753,-0.01984000000000001,-0.06382399999999999,0.108446,0.155595,-0.1068905,0.7781149999999999,-0.65415,-0.12359499999999998,-0.06165999999999999,-0.07962,0.77651,0.2397185,-0.29252500000000003,0.777285,-0.8309500000000001,0.3001695,-0.46459,0.488875,0.420235,-0.325575,-0.8989400000000001,-0.278785,0.636645,-0.322145,-0.34867499999999996,0.312295,-0.33610599999999996,0.521745,0.6433249999999999,-0.012954999999999994,-0.059978500000000004,-0.11053349999999999,-0.10268050000000001,-0.21021499999999999,-0.30867500000000003,0.141194,-0.150455,0.40657499999999996,0.23014,0.074052,0.01296,0.6631800000000001,-0.14655,-0.14629999999999999,-0.13491,0.552645,-0.1301085,0.077298,-0.44723,0.02107,0.9698800000000001,-0.39039999999999997,0.5261199999999999,0.032215,-0.093716,-0.089555,-0.654675,-0.612195,0.26154,0.23502499999999998,0.168485,-0.13299,-0.5599,0.056182,-0.27657,-0.324325,0.5021599999999999,0.0799615,0.31816500000000003,0.027998999999999996,0.72566,-0.058826500000000004,0.06886,-0.202292,0.235005,0.1143305,-0.58202,-0.609455,-0.020378,0.016950000000000007,-0.0213345,-0.468835,0.43659,-0.45977500000000004,-0.104015,0.547545,0.076122,-0.049490000000000006
ro,boy,N,-0.010452,0.0083769,0.24988,0.60511,0.06968,0.73187,-0.51564,-0.76805,-0.98775,0.18538,-0.46074,-0.041409,-0.59147,-0.0848,-0.53955,-0.53547,0.065225,0.35218,0.54235,-0.42862,0.035136,-0.57042,0.24581,-0.31908,-0.67985,-0.045693,0.61933,-0.099544,0.22155,0.512,-0.3451,-0.36263,-0.40611,-0.71249,-0.65602,0.52703,-0.031478,0.11583,-0.60189,-0.19102,0.16026,-0.66495,-0.067063,0.35246,-0.093413,1.0019,-0.52802,0.25042,-0.26793,-0.18257,0.92789,-0.4393,0.12293,-0.62216,0.0036939,0.54166,0.88916,-0.62438,-0.12065,-0.56586,-0.43417,-0.21471,0.91093,-0.62562,0.55621,0.10891,-0.81853,0.45633,-0.18052,0.29165,0.32653,-0.54751,-0.46681,-0.84114,0.79275,0.17063,-0.11481,0.045744,-0.24204,0.064846,-0.52569,0.16895,-0.33027,-0.49332,-0.27873,-0.27383,0.47166,0.095706,-0.72679,-0.37138,-1.1066,-0.035777,0.082206,-0.79211,-0.29598,0.14455,-0.11004,-0.26268,0.30364,0.22247,0.58322,0.24465,0.16453,0.20168,0.39312,-0.5548,0.48617,-0.89688,-0.32131,-0.51202,0.41143,0.06425,-0.27876,-0.35268,0.19284,-0.39197,0.1109,0.24525,-0.4758,0.12836,0.47913,0.21118,0.94047,1.0371,-0.30335,-0.17308,-0.38015,0.29813,-0.011281,0.66051,-0.1263,0.20668,-0.78344,-0.11973,0.42812,-0.32025,-0.37118,-0.50986,-0.17833,0.39802,-0.010414,0.24508,0.54662,-0.027241,-0.071103,0.072596,0.28493,0.58497,0.26796,0.14054,-0.28137,-0.74866,-0.16228,0.098543,1.1942,0.23148,0.016457,-0.096027,-0.26216,0.1744,-0.29139,-0.29217,0.76635,-0.024498,0.2746,0.54475,-0.69898,0.39393,0.57679,0.096028,-0.010381,0.82322,0.12763,0.17267,-0.60965,0.20693,-0.76864,-0.52125,0.062405,0.74491,0.20657,-0.21199,-0.58885,0.032863,0.79823,-0.53847,0.45689,-0.61345,0.23555,-0.84607,-0.67608,-0.36073,-0.78246,0.044332,-0.44334,-0.94451,0.50928,0.0020945,-0.060317,-0.032988
ro,brilliant,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ro,brother,N,-0.18307,-0.13241,0.54942,0.346,-0.34878,-0.081218,-0.1853,0.038429,-0.68,0.038892,-0.17614,-0.19862,-0.26493,0.31692,-0.12696,-0.69797,-0.12397,0.63241,-0.24922,0.17693,-0.51274,-0.018442,0.21785,0.093604,-0.025766,-0.077708,1.1075,-0.34139,0.76377,0.024491,-0.16655,-0.04842,0.55388,-0.9217,-0.5401,0.097356,-0.48279,-0.24604,-0.37069,0.025991,-0.37365,-0.60273,0.15636,0.3384,-0.28445,1.1817,-0.19994,-0.44028,0.3724,0.32609,0.42486,0.29627,-0.58165,-0.053785,-0.029599,0.41635,0.43294,-0.62554,-0.51664,-0.044578,0.67722,0.16157,0.48425,-0.99156,0.31151,0.49378,-0.72003,0.20974,-0.080332,0.038014,0.84227,0.50032,-0.54945,-0.42919,-0.32067,0.4367,-0.48075,0.51569,-0.0076878,-0.17605,0.27466,-0.10525,-0.7764,-0.071255,-0.09939,-0.068797,0.24785,-0.57088,-0.051162,0.42405,-0.53363,0.087491,0.46696,-0.69078,0.82792,-0.75334,-0.053951,-0.43781,-0.2704,-0.0676,0.37822,0.087896,-0.12417,-0.035582,-0.23566,-0.41878,-0.20844,0.15272,-0.4956,-1.1817,0.016704,0.06342,0.16828,-0.57667,0.428,-0.47311,-0.54861,-1.025,-0.67662,0.20804,-0.34947,0.27392,0.27475,1.1437,-0.045311,-0.081804,-0.49615,-0.21006,-0.57557,-0.87698,0.397,0.10239,-0.69032,0.060367,1.1626,-0.44849,-0.22182,0.51766,-0.67984,0.32483,-0.32195,0.0074674,0.51233,-0.16918,-0.11825,0.10231,-0.18617,-0.80556,0.43636,0.0068934,-0.65665,-0.61837,0.35176,0.7522,0.43852,-0.61133,-0.40421,-0.46478,0.72679,0.2047,-0.52322,0.19742,0.78518,-0.82917,1.158,0.24171,0.15879,0.4249,0.36358,0.89744,-0.521,0.47117,-0.24621,-0.80479,0.22951,0.5144,-0.021512,-0.029943,-0.36458,-0.21646,0.40474,-0.97285,0.4569,0.20276,0.38637,0.18189,-0.22583,-0.086011,0.56288,0.17761,-0.040962,-0.24267,0.085547,-0.46594,-0.030415,-0.57418,0.54657,-0.57821,-0.35833,0.47557
ro,business,N,-0.1576,-0.026189,0.18101,0.74172,0.78966,0.56052,0.29921,0.33351,0.10452,-0.46943,-0.5514,0.26057,-0.49767,-0.36666,-0.24954,0.04034,0.34332,0.10483,0.78692,-0.44502,-0.55793,-0.42048,-0.6482,-0.08818,0.43882,0.13984,1.1716,0.35439,-0.40388,0.20039,-0.46632,0.18823,-0.49449,-0.27456,-0.47092,0.30956,0.22556,0.82287,-0.2501,-0.27184,-0.52381,-0.2108,0.74687,0.49467,0.062658,0.036273,-0.59379,-0.15799,-0.30115,0.29008,0.49251,-0.1242,-0.78441,-0.54992,0.097915,0.4965,0.25342,-0.49059,-0.12677,-0.19698,-0.12592,0.16978,0.15529,-0.0078545,0.40728,0.062087,-1.2109,-0.0027125,-0.15332,0.25457,-0.16975,-0.55974,-0.11676,-0.66176,0.32291,-0.1633,0.086677,0.1109,-0.76467,-0.45098,0.23544,-0.1235,-0.46911,-0.26371,0.21252,-0.42068,0.38466,-0.52734,-0.75527,0.43084,-0.31401,0.26744,-0.080183,-0.49963,0.18291,-0.29681,-0.049893,-0.61136,0.51902,-0.82971,-0.13149,0.16842,0.046908,0.15069,0.098768,-0.72829,-0.10646,0.19503,-0.05239,-0.34827,-0.099972,0.47068,0.61436,0.37096,0.60901,-0.090726,0.21735,0.1914,-0.6495,0.83429,-0.33791,0.27027,0.34723,0.44698,0.38549,-0.2377,-0.67336,-0.84291,0.13866,0.48647,-0.46028,0.25323,-1.0916,0.3579,0.60222,-0.23643,-0.35229,-0.13805,0.21001,-0.17269,0.090885,-0.1504,0.57734,-0.045915,0.070093,-0.37612,0.22197,-0.11686,0.3207,0.05514,0.41452,-0.070314,0.13075,-0.25184,0.18402,-0.26719,-0.13632,0.42157,0.050923,0.082482,-0.96836,0.47506,1.0445,0.32889,0.25147,0.52415,-0.014705,-0.13488,0.038313,0.035026,-0.1052,0.073734,-0.1026,-0.037183,0.14318,0.4567,-0.056515,0.28646,0.61952,0.43906,0.094149,-0.40198,0.33339,-0.70736,0.11123,0.52805,-0.28101,-0.27975,0.095881,-0.44413,-0.42702,0.56348,-0.56505,-0.7389,-0.24079,-0.34408,0.28044,-0.20567,0.14739,0.17227
ro,career,N,-0.04589,-0.30659,-0.85845,0.6181,0.36531,0.1074,0.1654,-0.27848,-0.40849,-0.31426,-0.14224,0.15173,-0.25955,0.28158,-0.58593,-0.22252,0.31515,0.50147,0.2691,-0.75251,-0.30394,0.096539,-0.58777,-0.24966,0.32678,0.39154,0.1092,-0.30064,-0.49901,-0.091244,-0.20109,-0.22317,0.54499,-0.16015,-0.35966,-0.18044,-0.13304,0.083217,-0.2623,0.0027139,-0.1983,-0.40126,0.51446,0.042177,-0.51241,-0.42154,-0.52728,0.076204,-0.3335,1.0156,0.92443,-0.064192,-0.97035,0.059883,-0.20944,0.36256,-0.10846,-0.91053,0.63086,-0.6711,-0.066426,0.047781,-0.088272,-0.47568,-0.098627,-0.033121,-0.34941,-0.37593,-0.32674,-0.36273,-0.099267,-0.12603,-0.98599,-0.37903,0.24816,0.1641,-0.44992,-0.33477,0.34523,0.11239,0.084611,-0.58093,-0.43281,0.23283,-0.71996,-6.4563e-4,0.1804,-0.070619,-0.16789,-0.19199,0.41481,-0.22958,0.078827,-0.81676,-0.15411,0.2363,-0.68509,0.098187,0.40418,-0.039777,0.33736,-0.01131,-0.58592,1.0439,-0.37695,-0.070142,-0.02111,-0.70831,-0.47699,-0.27677,0.61569,0.42939,0.44287,0.11356,0.19273,-0.4813,-0.27598,-0.098473,-0.92122,0.34868,-0.10305,0.1077,0.75383,0.32298,-0.51444,0.12146,-0.24958,0.065019,-0.13278,0.63681,0.44564,-0.44937,-0.61226,0.18871,0.94093,-0.16419,-1.0035,0.049892,-0.10152,0.47721,-0.091512,0.053317,0.03971,-0.15796,0.20758,-0.15928,-0.035217,0.10488,-0.19226,-0.03119,0.23536,-0.58874,0.06373,0.058422,0.33978,0.71517,0.35713,-0.56759,0.1305,0.14361,-0.6555,0.32645,0.074484,-0.033716,-0.24219,0.45214,-0.44987,-0.47172,-0.040398,-0.24516,-0.34329,-0.25547,0.013733,-0.55244,-0.75307,0.73492,-0.2202,-0.31914,0.56883,-0.18268,0.56838,-0.29694,0.63546,0.15072,0.18413,0.13275,-0.64765,-0.078926,0.058581,-0.5625,-0.21797,-0.022002,0.34635,0.16285,0.3078,-0.17541,-0.30026,-0.20976,-0.68598,-0.31601
ro,children,F,-0.14529,-0.31466,-0.69301,0.34059,-0.35007,0.67194,-0.091631,-0.28198,-0.12909,-0.64463,-0.35623,-0.10777,-0.7571,-0.11782,-0.36714,-0.32953,0.17692,0.48961,0.74123000000000006,0.031071,0.34656,-0.83419,0.46668,-0.77291,-0.99878,-0.035861,0.89294,-0.32352,-0.39752,-0.029105,-0.11719,0.13015,-0.43507,-0.53603,-0.48509,0.24566,-0.19817,0.097717,-0.69255,-0.45915,0.12409,-0.15658,-0.2034,-0.11778,-0.72687,0.044718,-0.042326,0.68155,-0.39948,-0.076037,0.12417,-0.39891,0.44137,-0.62824,0.18358,0.65982,0.0025172,-0.49643,0.34444,-0.49643,-0.57024,0.24028,0.58205,-0.85335,0.14666,-0.45959,-0.68371,0.18807,-0.48304,0.28655,0.041284,0.27158,-0.22272,-0.1434,-0.052196,-0.22655,-0.43469,0.12342,0.44325,0.55055,-0.3604,0.43907,-0.42977,0.29129,0.058765,0.1443,1.0735,0.0028582,0.7975,-0.24285,-0.2895,0.4854,-0.15311,0.014367,0.11905,-0.29195,0.035065,0.20819,-0.48524,0.079777,0.38116,0.25601,0.44558,-0.43716,-0.48696,-0.52994,-0.4581,-0.64919,0.32661,-0.41514,0.33007,-0.24802,0.050002,-0.4669,0.4092,-0.25406,-0.3129,0.38006,0.20432,-0.29099,0.05079,-0.54451,0.48146,0.45952,-0.46072,0.049833,-0.17036,-0.10901,-0.40298,0.40268,0.014729,-0.84003,-0.30774,-0.44158,0.5771,0.058654,-0.49046,0.58071,0.16256,-0.038423,-0.47741,-0.059394,0.39548,-0.33077,-0.71168,-0.27676,0.85986,-0.28949,0.021541,0.21209,-0.93707,-0.63432,-0.018541,-0.021019,1.1378,0.20334,-0.072326,0.10438,-0.11092,0.70106,-0.26465,0.32279,0.30466,-0.75721,0.30604,-0.13112,-0.58801,0.59614,-0.35223,-0.027417,-0.30357,0.74951,0.51808,0.40674,-0.21073,0.042651,-0.085813,0.01708,0.11689,0.014555,0.019286,-0.2877,-0.22926,-0.78217,0.68172,-0.083736,0.15385,-0.73108,-0.49029,-0.0845,0.089032,0.1944,0.20346,0.091103,0.098281,-0.72869,0.67759,-0.067793,-0.43027,-0.15244
ro,children,M,-0.14529,-0.31466,-0.69301,0.34059,-0.35007,0.67194,-0.091631,-0.28198,-0.12909,-0.64463,-0.35623,-0.10777,-0.7571,-0.11782,-0.36714,-0.32953,0.17692,0.48961,0.74123000000000006,0.031071,0.34656,-0.83419,0.46668,-0.77291,-0.99878,-0.035861,0.89294,-0.32352,-0.39752,-0.029105,-0.11719,0.13015,-0.43507,-0.53603,-0.48509,0.24566,-0.19817,0.097717,-0.69255,-0.45915,0.12409,-0.15658,-0.2034,-0.11778,-0.72687,0.044718,-0.042326,0.68155,-0.39948,-0.076037,0.12417,-0.39891,0.44137,-0.62824,0.18358,0.65982,0.0025172,-0.49643,0.34444,-0.49643,-0.57024,0.24028,0.58205,-0.85335,0.14666,-0.45959,-0.68371,0.18807,-0.48304,0.28655,0.041284,0.27158,-0.22272,-0.1434,-0.052196,-0.22655,-0.43469,0.12342,0.44325,0.55055,-0.3604,0.43907,-0.42977,0.29129,0.058765,0.1443,1.0735,0.0028582,0.7975,-0.24285,-0.2895,0.4854,-0.15311,0.014367,0.11905,-0.29195,0.035065,0.20819,-0.48524,0.079777,0.38116,0.25601,0.44558,-0.43716,-0.48696,-0.52994,-0.4581,-0.64919,0.32661,-0.41514,0.33007,-0.24802,0.050002,-0.4669,0.4092,-0.25406,-0.3129,0.38006,0.20432,-0.29099,0.05079,-0.54451,0.48146,0.45952,-0.46072,0.049833,-0.17036,-0.10901,-0.40298,0.40268,0.014729,-0.84003,-0.30774,-0.44158,0.5771,0.058654,-0.49046,0.58071,0.16256,-0.038423,-0.47741,-0.059394,0.39548,-0.33077,-0.71168,-0.27676,0.85986,-0.28949,0.021541,0.21209,-0.93707,-0.63432,-0.018541,-0.021019,1.1378,0.20334,-0.072326,0.10438,-0.11092,0.70106,-0.26465,0.32279,0.30466,-0.75721,0.30604,-0.13112,-0.58801,0.59614,-0.35223,-0.027417,-0.30357,0.74951,0.51808,0.40674,-0.21073,0.042651,-0.085813,0.01708,0.11689,0.014555,0.019286,-0.2877,-0.22926,-0.78217,0.68172,-0.083736,0.15385,-0.73108,-0.49029,-0.0845,0.089032,0.1944,0.20346,0.091103,0.098281,-0.72869,0.67759,-0.067793,-0.43027,-0.15244
ro,corporation,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ro,cousins,F,0.021107,-0.97672,0.088459,0.39376,-0.67202,0.012779,0.51242,-0.41109,-0.44506,-0.068335,-0.015989,0.28435,-0.37635,-0.17616,0.060714,-0.37155,-0.16174,0.4388,0.17207,0.1216,0.16845,0.2786,-0.050451,0.67093,-0.22388,0.35237,0.84663,0.49857,0.25913,-0.2535,-0.31752,0.19123,-0.10548,-0.093751,-0.06516,0.80311,-0.32891,0.13327,0.084273,-0.66574,0.41197,-0.61377,0.13625,-0.094164,-0.3486,-0.24414,-0.31697,0.23677,-0.049901,0.82576,0.83179,0.63735,-0.097623,-0.56154,-0.08051,0.24605,0.5787,-0.20938,0.26351,0.17648,0.51715,-0.38391,0.34488,-0.0073673,0.21457,-0.099923,-0.30115,0.80182,-0.0423,0.33476,0.49024,0.11503,-0.24834,-0.20176,-0.083859,0.16906,-0.17989,-0.031602,-0.77686,-0.51552,0.47231,0.2616,-0.73698,-0.097862,0.36135,-0.42386,0.50645,-0.4904,-0.75644,-0.036544,-0.19528,0.28434,-0.37236,-0.61102,0.51306,0.19173,1.2306,-0.0029064,-0.72194,0.23694,-0.19192,-0.69229,-0.47423,-0.63564,-0.51445,-0.57899,0.031912,-0.15116,-0.099174,-0.62538,0.057044,0.26385,-0.87516,0.63144,-0.86423,-1.14,-0.5643,-0.016327,-0.34861,-0.651,0.19782,-0.14923,0.095519,0.20173,0.50668,0.27805,0.32431,-0.62181,-4.6706e-4,-0.83018,0.64004,0.11255,-0.42944,-0.75582,0.40997,0.3098,0.045977,0.69494,0.17735,-0.57924,-0.060785,0.18709,0.14241,0.21669,0.13072,-0.19915,-0.068348,-1.2238,-0.14317,0.057173,-1.0108,-0.8048,0.21979,0.12085,0.67672,-0.87154,-0.82121,-0.045454,-0.32452,1.1383,0.57775,-0.92794,0.84133,-0.095602,0.19139,-0.14704,0.51051,0.62391,0.4036,-0.27887,-0.38398,0.819,0.78751,-0.22628,-0.50989,0.4484,-0.32658,0.52061,0.27035,-0.59086,0.047935,-0.33802,-0.15037,0.15607,-0.84954,0.19584,-0.57228,-0.30261,-0.189,-0.74966,-0.21787,0.051055,-0.96415,0.045333,-0.35757,-1.151,0.2189,0.0065033,-0.18858,-0.44411
