translation,language_code,word,gender,word_id,translation_id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
administração,pt,management,F,w1,t1,-0.18284,0.21326,0.95773,-0.34508,-0.18979,2.9629e-4,0.50406,-0.43153,-0.03516,-1.0719,0.16006,-0.16602,-0.032448,-0.077541,0.21556,0.0077002,-0.40693,-0.43688,0.046954,-0.74731,-0.75455,-0.17889,0.013992,0.57559,0.83435,0.020362,0.87719,0.84921,0.40993,0.29991,0.93698,-0.8065,0.36148,-0.39974,-0.13835,-0.13455,-0.13046,-0.52034,0.037799,-0.28696,-0.16806,-0.10989,0.60029,-0.4248,0.76072,-0.80637,0.49244,-0.041005,0.32248,-0.4609,0.19934,-0.23743,0.22704,0.99841,-1.0042,-0.0609,-0.33453,0.89047,0.32099,0.43474,0.27234,-0.20788,-0.12923,0.64614,0.08741,-0.24902,-0.32386,-0.6459,0.31471,0.057856,0.19383,-0.0061899,-0.75493,0.43958,0.42698,-0.21781,0.35558,0.81411,0.83506,-0.40991,0.059184,-0.011889,0.5064,-0.13433,1.0454,-0.88006,1.1796,-0.27988,-0.59936,-0.33138,0.12485,-1.0798,0.18249,0.29443,0.58533,-0.69302,0.20196,0.11828,-0.68879,0.361,0.4228,-0.13564,-0.83653,0.59959,-0.55451,0.47605,0.30261,-0.94547,0.36566,-0.17124,0.016319,-0.49272,-0.028324,0.82053,0.12779,-0.53312,0.2997,-0.71753,-0.6128,0.65857,1.9086,0.28654,0.641,-0.28994,-0.82406,0.27684,-0.40467,-0.14305,-0.71845,0.40318,0.19403,0.14924,0.0031149,0.37575,0.043274,-0.14102,-0.25315,0.040597,-0.69804,0.83944,0.37179,0.14546,0.32692,-0.60587,0.28416,-0.64775,-0.14852,0.043332,0.40933,0.93502,-0.23007,-1.2884,0.81909,-0.68829,0.67076,0.1146,-0.44781,-0.3662,0.46607,-0.90228,-0.54946,0.91052,0.071374,-0.31071,-0.024724,0.43958,-0.29504,0.42416,0.15629,0.10117,-0.30535,-0.06821,1.062,0.68917,0.0034793,0.55601,0.92587,-0.39563,-0.7921,-0.91363,-0.98539,0.13637,-0.47834,0.26815,-0.4589,-0.010112,0.88818,0.29172,0.21229,0.73715,-0.20704,-0.30334,-0.30621,0.27177,-0.46443,-0.097025,0.083763,-0.070212,-1.3215,0.24618
administração,pt,management,M,w1,t1,-0.18284,0.21326,0.95773,-0.34508,-0.18979,2.9629e-4,0.50406,-0.43153,-0.03516,-1.0719,0.16006,-0.16602,-0.032448,-0.077541,0.21556,0.0077002,-0.40693,-0.43688,0.046954,-0.74731,-0.75455,-0.17889,0.013992,0.57559,0.83435,0.020362,0.87719,0.84921,0.40993,0.29991,0.93698,-0.8065,0.36148,-0.39974,-0.13835,-0.13455,-0.13046,-0.52034,0.037799,-0.28696,-0.16806,-0.10989,0.60029,-0.4248,0.76072,-0.80637,0.49244,-0.041005,0.32248,-0.4609,0.19934,-0.23743,0.22704,0.99841,-1.0042,-0.0609,-0.33453,0.89047,0.32099,0.43474,0.27234,-0.20788,-0.12923,0.64614,0.08741,-0.24902,-0.32386,-0.6459,0.31471,0.057856,0.19383,-0.0061899,-0.75493,0.43958,0.42698,-0.21781,0.35558,0.81411,0.83506,-0.40991,0.059184,-0.011889,0.5064,-0.13433,1.0454,-0.88006,1.1796,-0.27988,-0.59936,-0.33138,0.12485,-1.0798,0.18249,0.29443,0.58533,-0.69302,0.20196,0.11828,-0.68879,0.361,0.4228,-0.13564,-0.83653,0.59959,-0.55451,0.47605,0.30261,-0.94547,0.36566,-0.17124,0.016319,-0.49272,-0.028324,0.82053,0.12779,-0.53312,0.2997,-0.71753,-0.6128,0.65857,1.9086,0.28654,0.641,-0.28994,-0.82406,0.27684,-0.40467,-0.14305,-0.71845,0.40318,0.19403,0.14924,0.0031149,0.37575,0.043274,-0.14102,-0.25315,0.040597,-0.69804,0.83944,0.37179,0.14546,0.32692,-0.60587,0.28416,-0.64775,-0.14852,0.043332,0.40933,0.93502,-0.23007,-1.2884,0.81909,-0.68829,0.67076,0.1146,-0.44781,-0.3662,0.46607,-0.90228,-0.54946,0.91052,0.071374,-0.31071,-0.024724,0.43958,-0.29504,0.42416,0.15629,0.10117,-0.30535,-0.06821,1.062,0.68917,0.0034793,0.55601,0.92587,-0.39563,-0.7921,-0.91363,-0.98539,0.13637,-0.47834,0.26815,-0.4589,-0.010112,0.88818,0.29172,0.21229,0.73715,-0.20704,-0.30334,-0.30621,0.27177,-0.46443,-0.097025,0.083763,-0.070212,-1.3215,0.24618
artística,pt,artistic,N,w1,t1,-0.60499,0.22546,0.36543,-0.16877,0.090455,0.43908,0.42245,1.38,-0.42468,0.68722,-0.33515,0.07068,0.06242,0.3875,0.30888,-0.65234,0.60349,0.53455,0.25181,0.56846,0.72398,-0.48767,0.16022,0.1543,-0.39753,-1.2896,0.2637,1.1514,0.70965,0.12403,0.64937,0.43008,-0.3185,0.22005,-0.43657,-0.06044,-0.21665,-0.36006,-0.52955,-0.54651,0.69698,0.18388,0.3873,0.24107,-0.76015,0.4439,-0.22472,-0.18352,0.10395,-0.23225,-0.36356,0.14752,-0.071426,-0.1155,0.086367,-0.21455,-0.17803,0.15839,-0.36262,0.75779,-0.6038,0.04704,0.43912,0.57656,0.3549,0.13376,-0.40076,-0.32442,-0.029588,-0.52656,-0.28136,0.38594,-0.37117,-0.035785,0.33985,-0.22769,0.60007,-0.060791,0.097546,-0.44321,0.37482,0.15158,0.11482,-0.73381,1.2579,-0.29595,0.33352,-0.34933,0.17497,-0.31464,0.721,-0.7257,0.33257,-0.66709,0.86443,-0.97728,0.33131,0.33778,0.34345,0.6999,0.26939,0.22311,0.39893,0.63243,-0.95464,0.49792,-0.3642,0.2485,-0.64879,-0.24631,0.39962,-0.088506,0.17568,-0.11987,0.51906,-0.23214,0.10594,-0.91574,-1.0389,0.52712,0.55354,-0.007278,-0.23093,-0.50717,-0.013721,-0.89189,-0.26388,0.59866,-0.41679,-0.32838,0.12085,-1.2262,-1.1919,-0.59732,0.065406,0.02938,0.28891,0.056728,-0.21913,0.76266,-0.83105,-0.40286,0.75803,0.27342,0.041424,-1.2856,0.45014,-0.79942,-0.44858,-0.27,0.60176,-0.77116,0.33419,-0.14358,1.0036,-0.011258,-0.57229,-0.24415,0.27832,-0.26855,-0.61454,-0.46847,-0.37207,0.32217,-0.11611,0.070383,-0.80514,-0.12575,-0.045584,-0.1177,-0.59498,0.17957,-0.20236,0.71082,-0.45985,0.63225,-0.55691,-0.85886,-1.3662,-0.60489,-0.23845,0.21765,0.48695,1.3755,-0.082584,0.98231,-0.11091,-0.043564,0.71912,0.1482,0.30135,-0.27973,0.067557,0.45825,-0.9639,-0.96189,0.11547,-0.77617,-0.0922,-0.43637
artística,pt,super-imaginative,N,w1,t1,-0.60499,0.22546,0.36543,-0.16877,0.090455,0.43908,0.42245,1.38,-0.42468,0.68722,-0.33515,0.07068,0.06242,0.3875,0.30888,-0.65234,0.60349,0.53455,0.25181,0.56846,0.72398,-0.48767,0.16022,0.1543,-0.39753,-1.2896,0.2637,1.1514,0.70965,0.12403,0.64937,0.43008,-0.3185,0.22005,-0.43657,-0.06044,-0.21665,-0.36006,-0.52955,-0.54651,0.69698,0.18388,0.3873,0.24107,-0.76015,0.4439,-0.22472,-0.18352,0.10395,-0.23225,-0.36356,0.14752,-0.071426,-0.1155,0.086367,-0.21455,-0.17803,0.15839,-0.36262,0.75779,-0.6038,0.04704,0.43912,0.57656,0.3549,0.13376,-0.40076,-0.32442,-0.029588,-0.52656,-0.28136,0.38594,-0.37117,-0.035785,0.33985,-0.22769,0.60007,-0.060791,0.097546,-0.44321,0.37482,0.15158,0.11482,-0.73381,1.2579,-0.29595,0.33352,-0.34933,0.17497,-0.31464,0.721,-0.7257,0.33257,-0.66709,0.86443,-0.97728,0.33131,0.33778,0.34345,0.6999,0.26939,0.22311,0.39893,0.63243,-0.95464,0.49792,-0.3642,0.2485,-0.64879,-0.24631,0.39962,-0.088506,0.17568,-0.11987,0.51906,-0.23214,0.10594,-0.91574,-1.0389,0.52712,0.55354,-0.007278,-0.23093,-0.50717,-0.013721,-0.89189,-0.26388,0.59866,-0.41679,-0.32838,0.12085,-1.2262,-1.1919,-0.59732,0.065406,0.02938,0.28891,0.056728,-0.21913,0.76266,-0.83105,-0.40286,0.75803,0.27342,0.041424,-1.2856,0.45014,-0.79942,-0.44858,-0.27,0.60176,-0.77116,0.33419,-0.14358,1.0036,-0.011258,-0.57229,-0.24415,0.27832,-0.26855,-0.61454,-0.46847,-0.37207,0.32217,-0.11611,0.070383,-0.80514,-0.12575,-0.045584,-0.1177,-0.59498,0.17957,-0.20236,0.71082,-0.45985,0.63225,-0.55691,-0.85886,-1.3662,-0.60489,-0.23845,0.21765,0.48695,1.3755,-0.082584,0.98231,-0.11091,-0.043564,0.71912,0.1482,0.30135,-0.27973,0.067557,0.45825,-0.9639,-0.96189,0.11547,-0.77617,-0.0922,-0.43637
artístico,pt,artistic,N,w1,t1,-0.64924,-0.37201,0.58137,0.39401,0.90769,0.15239,0.59165,1.7617,-0.06001,-0.43536,-0.45261,-0.36983,-0.21896,0.36566,0.70446,-0.72364,-0.085283,0.0062816,0.64118,0.24387,0.33308,0.86577,1.4324,0.53402,-0.33842,-0.94838,1.2121,0.20817,0.79907,0.11317,0.26884,-0.42755,0.52703,-0.70528,0.30729,-0.89756,-0.21904,-0.15846,0.11333,0.13146,-0.27049,0.83725,0.38582,-0.52012,-0.51833,-0.56008,0.097661,-0.085767,-0.077507,-0.47126,-0.27199,0.5956,-2.1154e-4,0.21084,0.38265,0.71796,-0.15007,-0.31436,0.49361,1.1849,-0.49676,0.29144,0.15007,0.13337,-0.13603,-0.45708,0.82582,0.028169,-0.34198,-1.0094,0.087051,-0.11332,0.51518,-0.08126,-0.27239,-0.22436,0.59898,0.28795,0.35757,-0.58948,0.29123,-0.22481,0.23797,0.597,-0.35079,0.3325,-0.086489,-0.39207,0.44803,0.012683,-1.0213,-0.14895,-0.057941,-0.25389,0.087864,-0.56704,-0.2105,0.40819,-0.10803,0.66851,0.04233,-0.048537,0.0053366,-0.14024,-0.13711,1.173,0.87306,1.3299,0.4328,-0.58156,0.11924,1.4349,0.60137,-0.54257,0.98102,0.082614,-0.28282,-1.1314,-1.4566,0.80515,0.63042,0.26131,-0.50947,0.058452,-0.34514,-0.63552,0.23019,0.18722,-0.4506,-0.84879,0.53489,-0.067016,-0.96602,-0.79651,-0.54268,0.35125,0.04357,-0.78859,0.1672,0.59708,0.41955,-0.58024,-0.2549,0.17038,-0.32168,-1.44,0.65614,-0.4565,0.60855,-0.5681,-0.32115,0.20822,0.31866,-0.64391,1.137,0.85209,0.38451,0.045468,0.66795,0.31865,-1.3073,-0.40217,0.36112,-0.27125,0.097521,-0.27811,-0.18575,-0.61093,-0.23248,-0.31377,0.096061,0.20035,-0.13393,1.3709,-0.21722,0.1726,0.5747,-0.29914,-1.0432,0.23925,-0.63214,0.035797,-0.094883,0.92002,0.27156,0.4995,-0.29649,0.58244,0.39633,-0.17116,-0.23686,0.086833,-0.36154,0.47019,0.20229,-0.62747,0.083774,-0.05839,0.12943,-0.26532
artístico,pt,super-imaginative,N,w1,t1,-0.64924,-0.37201,0.58137,0.39401,0.90769,0.15239,0.59165,1.7617,-0.06001,-0.43536,-0.45261,-0.36983,-0.21896,0.36566,0.70446,-0.72364,-0.085283,0.0062816,0.64118,0.24387,0.33308,0.86577,1.4324,0.53402,-0.33842,-0.94838,1.2121,0.20817,0.79907,0.11317,0.26884,-0.42755,0.52703,-0.70528,0.30729,-0.89756,-0.21904,-0.15846,0.11333,0.13146,-0.27049,0.83725,0.38582,-0.52012,-0.51833,-0.56008,0.097661,-0.085767,-0.077507,-0.47126,-0.27199,0.5956,-2.1154e-4,0.21084,0.38265,0.71796,-0.15007,-0.31436,0.49361,1.1849,-0.49676,0.29144,0.15007,0.13337,-0.13603,-0.45708,0.82582,0.028169,-0.34198,-1.0094,0.087051,-0.11332,0.51518,-0.08126,-0.27239,-0.22436,0.59898,0.28795,0.35757,-0.58948,0.29123,-0.22481,0.23797,0.597,-0.35079,0.3325,-0.086489,-0.39207,0.44803,0.012683,-1.0213,-0.14895,-0.057941,-0.25389,0.087864,-0.56704,-0.2105,0.40819,-0.10803,0.66851,0.04233,-0.048537,0.0053366,-0.14024,-0.13711,1.173,0.87306,1.3299,0.4328,-0.58156,0.11924,1.4349,0.60137,-0.54257,0.98102,0.082614,-0.28282,-1.1314,-1.4566,0.80515,0.63042,0.26131,-0.50947,0.058452,-0.34514,-0.63552,0.23019,0.18722,-0.4506,-0.84879,0.53489,-0.067016,-0.96602,-0.79651,-0.54268,0.35125,0.04357,-0.78859,0.1672,0.59708,0.41955,-0.58024,-0.2549,0.17038,-0.32168,-1.44,0.65614,-0.4565,0.60855,-0.5681,-0.32115,0.20822,0.31866,-0.64391,1.137,0.85209,0.38451,0.045468,0.66795,0.31865,-1.3073,-0.40217,0.36112,-0.27125,0.097521,-0.27811,-0.18575,-0.61093,-0.23248,-0.31377,0.096061,0.20035,-0.13393,1.3709,-0.21722,0.1726,0.5747,-0.29914,-1.0432,0.23925,-0.63214,0.035797,-0.094883,0.92002,0.27156,0.4995,-0.29649,0.58244,0.39633,-0.17116,-0.23686,0.086833,-0.36154,0.47019,0.20229,-0.62747,0.083774,-0.05839,0.12943,-0.26532
brilhante,pt,brilliant,N,w1,t1,-0.29819,-0.13676,-0.43719,0.073906,0.078797,0.06861,-0.011004,0.028083,-0.30318,0.11649,-0.087055,-0.29926,0.28656,-0.057354,-0.22062,-0.37355,0.071059,0.27384,-0.097104,0.15624,-0.21641,-0.28166,0.8149,-0.19484,-0.68847,-0.8701,0.1624,-0.081086,0.45877,-0.073625,-0.02916,0.35454,-0.41844,-0.049537,-0.676,-0.57913,0.2356,-0.60582,0.42333,0.23526,0.0082898,-0.97825,0.14778,0.48453,0.35138,-0.34411,-0.1119,0.095597,-0.088277,0.65769,-0.07054,0.30521,-0.47957,-0.62414,-0.27375,0.098792,0.25501,-0.10748,0.43935,0.018106,0.51144,-0.6151,0.76851,0.0035341,0.24515,0.36392,0.17871,-0.59004,-0.58644,-0.46949,-0.76518,0.32142,0.047954,0.090742,-0.12036,-0.49631,0.66647,0.25599,-0.74069,0.073705,-0.164,-0.094296,-0.37329,0.2498,0.12156,0.3514,0.0842,-0.48936,0.22135,-0.52725,0.1295,-0.16572,0.24753,0.13794,0.35196,-0.5389,-0.28605,0.31322,0.34543,-0.16516,0.032131,0.067917,-0.47822,-0.031851,-0.52366,-0.28941,0.57429,0.10157,-0.28937,-0.48692,-0.14995,0.14614,0.19894,0.13961,0.27112000000000003,-0.19042,0.42338,-0.42911,-0.2913,0.37367,0.40405,0.18501,0.33658,-0.056185,-0.032449,0.11952,0.488,-0.96105,-0.20092,0.67225,-0.065525,0.24078,-0.55987,-0.13783,-0.44836,-0.37227,0.098155,-0.43342,0.16107,0.53668,-0.13398,-0.1144,-0.19739,0.47517,0.39003,-0.27994,0.54753,0.0515,0.63901,-0.30385,0.8767,0.52027,0.57645,-0.11332,-0.087086,0.98016,-0.68274,0.01097,-0.029521,-0.22358,-0.48546,-0.77646,0.31587,0.4464,0.65362,-0.096219,-0.77848,0.050374,8.6926e-4,-0.31187,-0.40465,-0.85559,-0.015995,0.85067,-0.35057,-0.15838,0.35503,0.5712,0.14163,0.23165,-0.66549,0.91537,-0.70672,0.55931,0.024843,0.62806,-0.44683,0.29745,-0.22019,-0.88806,-0.28284,-0.42754,-0.58193,-0.25657,0.092047,0.07902,-0.088582,-0.59668,-0.59678,0.13756
carreira,pt,career,N,w1,t1,-1.0135,0.31002,0.57672,-0.2171,-0.21262,0.34858,0.61216,0.31937,-0.2484,-0.039351,-0.47742,-0.064599,-0.2832,1.3774,-0.50003,-0.10989,0.24413,-0.18784,0.42663,0.43354,0.36499,-0.28365,0.50265,-0.12627,-0.60331,-0.97682,-0.10738,0.24767,0.1146,-0.42339,0.87363,0.030383,-0.59057,-0.58391,-0.36854,-0.1804,-0.1275,-0.64712,0.31851,0.24954,0.21479,-0.60132,0.16861,-0.27208,0.38245,-0.55357,-0.72707,-0.19147,0.30669,0.6066,-0.76477,-0.12459,0.26518,-0.34919,-0.23749,-0.89512,0.77109,-0.050129,-0.04974,0.26009,0.60616,0.040598,0.14006,0.15936,0.38355,0.2432,0.1281,-0.72981,0.61958,-0.85943,0.29638,0.59281,-0.32671,-0.092161,0.36996,0.8059,1.0342,0.22978,-0.60149,-0.1684,-0.17926,-0.20007,-0.41184,0.6393,0.78498,0.13681,-0.27253,-0.19818,0.47374,0.052795,-0.49793,-0.47784,-0.013407,-0.020508,0.8675,-0.077425,-0.64543,0.12536,0.20816,-0.35759,0.14464,0.46248,-0.1244,0.35514,-0.32643,-0.006185,0.21964,0.13445,-0.10653,0.28674,-0.48394,-0.71709,-0.22099,0.21167,-0.045299,-0.48332,0.30428,-0.33373,0.2349,0.56087,0.8526,-0.35031,0.021309,-0.016898,-0.08794,-0.0023659,-0.22524,0.28088,-0.68555,0.066505,-0.14672,-0.37364000000000003,-0.41005,-0.64034,-0.12712,0.25912,-0.5046,0.16397,-4.7326e-5,0.65952,0.056878,-0.22318,-0.058062,-0.30981,0.20913,-0.43107,0.028584,-0.25122,0.36681,0.43454,0.17728,-0.097971,0.77759,-0.046627,1.1297,0.38165,-0.14798,0.008962,0.18557,-0.17306,-0.17936,-0.7842,0.14311,-0.16052,0.18117,-0.08264,-0.39466,-0.0041613,-0.27628,0.27904,-0.46532,0.22909,0.016482,0.38007,-0.45614,0.48668,-0.13547,-0.4212,0.23379,0.11843,-0.90268,0.40899,0.54419,0.86218,-0.30893,0.62959,0.25007,-0.26038,-0.13207,-0.82047,-0.24188,-0.26571,-0.091807,0.10922,0.15592,-0.32489,-0.26609,-0.69591,-0.010997,0.61995
casa,pt,home,N,w1,t1,0.44939,0.11553,0.19312000000000001,-0.42808,0.18395,-0.62614,0.0058993,0.48435,-0.0035671,0.010545,0.27248,-0.41272,-0.29373,-0.29542,0.95849,-0.69592,-0.31952,-0.91945,0.49295,-1.0092,-0.44011,0.063009,0.087706,-0.19791,0.54914,-0.23128,0.82423,-0.19601,0.10472,-0.0011097,0.24475,0.4722,0.53108,0.25915,-0.51834,0.038211,0.05534,0.32257,-0.68092,-0.5215,0.28877,-0.0028558,0.94275,-0.11168,0.26476,-0.69674,-0.11711,-0.45023,-0.35117,-0.057305,0.024817,0.064844,0.077991,0.2695,-0.66167,-0.37924,-0.49853,0.48469,-0.17737,0.044541,0.33813,-0.14969,0.11945,0.68204,0.15484,-0.0093758,-0.30904,0.074833,0.32714,-0.25535,-0.0080001,-0.25964,0.3465,0.44191,0.216,0.90551,0.40106,0.24344,-0.12591,0.15146,-0.92389,-0.74859,0.90026,-0.63216,0.04419,-0.070454,-0.039733,0.58132,0.20682,-0.57362,0.83723,-0.2192,-0.69702,-0.31684,-0.18308,-0.49374,0.42613,-0.1815,0.26113,0.67122,-0.29226,-0.32776,0.38619,0.19511,-0.23006,0.48667,0.63879,-0.043048,0.47227,-0.099431,-0.62969,-0.23382,0.16621,0.13982,-0.051553,0.23911,0.45285,-0.84685,-0.62333,0.21012,1.1124,-0.46051,0.16894,0.54181,-0.17428,-0.43302,0.76986,-0.032918,-1.1689,-0.3271,-0.084597,0.040598,-0.2219,-0.6648,0.61131,-0.54533,0.51937,0.29849,-0.096261,0.71349,-0.49416,-0.48287,0.058106,-0.49964,0.12821,-0.45684,-0.44751,0.51973,-0.15122,0.30328,-0.39635,-1.068,0.13986,-0.67821,0.23161,0.49033,0.34541,-0.31183,0.096983,0.0094574,-0.24173,0.49839,0.46949,0.32729,-0.089573,-0.52721,-0.18294,0.25578,-0.46603,0.32734,-0.63891,0.091675,-0.2739,0.18518,0.097296,0.22277,0.13469,-0.2688,-0.13825,0.32829,-0.52757,-0.31792,-0.74871,0.53813,-0.1013,-0.57312,-0.28638,-0.608,-0.33756,0.45708,-0.29731,-0.25969,0.37071,0.16247,0.18286,-0.50309,1.1774,-1.0473,-0.51506,0.065246
casamento,pt,wedding,N,w1,t1,-0.36676,0.10661,0.34889,-0.4649,0.051452,0.075741,-0.42812,-0.50995,0.049867,-0.2121,-0.3978,-0.069418,-0.24612,0.40783,0.38906,-0.57891,-0.44612,0.27392,0.38428,0.049791,0.015171,0.28076,0.60568,-0.053403,0.41893,0.058075,0.52465,-0.42505,0.4512,-0.49235,-0.099901,0.1163,-0.013371,-0.039965,-0.60889,-0.51093,-0.22044,-0.03846,0.29245,-0.48495,-0.29131,0.58362,-0.58944,-0.53988,-0.25334,-0.16107,-0.26632,-0.7352,0.34615,-0.94125,0.015938,0.10703,-0.91168,0.020335,0.69338,-9.4172e-4,-0.62143,1.0055,-0.072916,0.076163,0.49298,-0.12817,1.1414,0.11742,0.49862,0.63124,0.37495,-0.107,0.45891,-0.061573,0.32273,-0.32648,-0.19309,-0.13536,0.51229,0.75652,-0.10325,0.13036,-0.26212,-0.42941,-0.12165,0.28682,-0.74786,-0.1766,0.38712,0.16493,-0.39688,0.57343,-0.13666,-0.21741,0.1028,-0.39439,0.25758,-0.013323,0.47654,-0.0013907,-0.022036,-0.14448,0.43847,-0.19123,0.37702,-0.557,0.45025,0.58073,0.26347,0.30003,-0.10708,0.83037,0.46105,-0.79865,-0.080529,-0.49564,0.26939,-0.16107,-0.58343,0.60977,0.36098,-0.29922,-0.14655,0.29109,-0.37839,0.22455,0.27982,0.72979,-0.29676,-0.42177,0.86357,-0.18079,-0.73483,-0.31956,-0.010468,-0.5199,-0.66489,-0.6837,-0.055793,0.58605,-0.69174,0.11558,-0.44047,0.31728,-0.6106,0.041442,-0.19532,-0.2973,0.09995,-0.32328,0.019402,-0.60283,-0.35487,0.062519,0.36002,-0.59864,0.17913,-0.26599,0.73153,1.015,0.039414,0.17434,0.1187,-0.52017,-0.50347,-0.49675,0.50033,0.72998,-0.21898,-0.20448,-0.077891,0.20557,-0.6646,0.46395,-0.066833,-0.99605,0.62905,0.23603,0.36189,-0.12365,0.39649,-0.28803,-0.24817,-0.12521,-0.438,0.70544,-0.12727,0.32764,-0.071095,0.27979,0.031044,0.22193,-0.20434,0.12483,-0.43865,-0.17128,-0.73783,-0.78865,0.063061,-0.66791,-0.29526,-0.42933,0.29652,0.73224
