language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
es,athlete,F,0.19713,0.72604,-0.80557,-0.34879,0.14852,-0.33944,0.78243,0.18768,-0.36935,-0.24093,0.23696,-0.03321,-0.88883,-0.22333,0.1667,-0.32029,-0.20624,-0.40715,0.36783,0.024592,0.34282,-0.97782,-0.10596,0.15541,0.02799,0.85513,0.20055,-0.009565,0.29275,0.58665,-0.23042,-0.27122,0.10405,0.2661,-0.12141,0.14084,-0.12923,0.19573,-1.0952,-0.32121,0.56178,-0.4448,0.56691,0.85012,0.00661,1.3578,-0.11747,-0.74022,-0.30634,-0.82165,-0.2788,-0.28975,0.45378,0.032677,0.26391,0.27751,0.046925,0.023169,-0.65535,-0.096868,-0.37208,-0.46033,0.21642,0.59972,0.41511,-0.39604,-0.61866,-0.13523,0.066096,0.48,-0.23969,0.029401,0.80299,-0.40447,0.2074,-0.13153,0.56124,0.67576,0.37374,0.78268,-0.59257,0.05972,0.14622,-0.62249,0.061557,-0.093419,0.05807,0.26818,0.21854,0.50951,-0.51145,0.37334,0.24927,0.29899,-0.08854,-0.28705,-0.33679,0.11837,0.265,0.063315,0.3681,-0.22469,-0.84436,-0.37703,-1.001,0.46045,0.022007,-0.032024,0.43878,0.31388,-0.048936,0.43628,-0.57692,0.2022,-0.20372,0.068881,0.41968,0.22851,0.083246,-0.75296,0.64711,-0.12681,-0.48702,-0.042432,-0.54126,0.26793,0.0063612,0.35106,-0.37341,0.04248,-0.29573,0.78802,0.31212,0.014241,0.44673,-0.37489,-0.93228,-0.76639,-0.25165,-0.43275,-0.86941,-0.039217,0.46303,-0.27283,0.037461,0.010909,0.090693,-0.41697,-0.81958,0.56685,0.85182,0.55989,-0.27616,0.35618,-0.45221,-0.21324,-0.35263,0.16577,-0.06573,-0.37489,-0.33515,-0.21038,0.4601,0.27071,-0.27843,-0.011875,-0.61606,-0.27773,-0.56458,-0.19942,-0.72287,0.47695,-0.32599,2.6486e-4,0.1275,0.80298,0.33964,-0.56635,0.4105,-0.28292,0.4972,0.52744,0.74,0.50488,-0.23705,-0.32064,-0.23841,-0.30405,0.1442,0.73721,0.058717,0.066511,-0.045975,0.30088,-0.28742,-0.49894,0.68648,0.42859,-1.1098,-0.24049
es,athlete,M,0.19713,0.72604,-0.80557,-0.34879,0.14852,-0.33944,0.78243,0.18768,-0.36935,-0.24093,0.23696,-0.03321,-0.88883,-0.22333,0.1667,-0.32029,-0.20624,-0.40715,0.36783,0.024592,0.34282,-0.97782,-0.10596,0.15541,0.02799,0.85513,0.20055,-0.009565,0.29275,0.58665,-0.23042,-0.27122,0.10405,0.2661,-0.12141,0.14084,-0.12923,0.19573,-1.0952,-0.32121,0.56178,-0.4448,0.56691,0.85012,0.00661,1.3578,-0.11747,-0.74022,-0.30634,-0.82165,-0.2788,-0.28975,0.45378,0.032677,0.26391,0.27751,0.046925,0.023169,-0.65535,-0.096868,-0.37208,-0.46033,0.21642,0.59972,0.41511,-0.39604,-0.61866,-0.13523,0.066096,0.48,-0.23969,0.029401,0.80299,-0.40447,0.2074,-0.13153,0.56124,0.67576,0.37374,0.78268,-0.59257,0.05972,0.14622,-0.62249,0.061557,-0.093419,0.05807,0.26818,0.21854,0.50951,-0.51145,0.37334,0.24927,0.29899,-0.08854,-0.28705,-0.33679,0.11837,0.265,0.063315,0.3681,-0.22469,-0.84436,-0.37703,-1.001,0.46045,0.022007,-0.032024,0.43878,0.31388,-0.048936,0.43628,-0.57692,0.2022,-0.20372,0.068881,0.41968,0.22851,0.083246,-0.75296,0.64711,-0.12681,-0.48702,-0.042432,-0.54126,0.26793,0.0063612,0.35106,-0.37341,0.04248,-0.29573,0.78802,0.31212,0.014241,0.44673,-0.37489,-0.93228,-0.76639,-0.25165,-0.43275,-0.86941,-0.039217,0.46303,-0.27283,0.037461,0.010909,0.090693,-0.41697,-0.81958,0.56685,0.85182,0.55989,-0.27616,0.35618,-0.45221,-0.21324,-0.35263,0.16577,-0.06573,-0.37489,-0.33515,-0.21038,0.4601,0.27071,-0.27843,-0.011875,-0.61606,-0.27773,-0.56458,-0.19942,-0.72287,0.47695,-0.32599,2.6486e-4,0.1275,0.80298,0.33964,-0.56635,0.4105,-0.28292,0.4972,0.52744,0.74,0.50488,-0.23705,-0.32064,-0.23841,-0.30405,0.1442,0.73721,0.058717,0.066511,-0.045975,0.30088,-0.28742,-0.49894,0.68648,0.42859,-1.1098,-0.24049
es,author,F,-0.55079,1.0917,-0.087537,0.27232,-0.42772,-0.72436,-0.29245,-0.16897,0.056795,-0.50997,0.081222,-0.026968,0.47231,-0.032989,-0.24722,-0.084798,-0.072424,0.21272,0.082764,-0.014833,-0.4936,-0.23395,-0.073504,-0.18577,-0.10582,0.15782,0.15021,-0.10217,-0.19109,0.047601,0.31978,-0.16693,0.6006,0.44387,0.18069,0.17819,-0.28561,0.28489,-0.030635,0.22447,0.12619,0.20195,0.13351,0.1661,0.36786,-0.059137,0.050902,-0.03757,-0.023972,-0.12669,-0.071,-0.14167,0.065374,-0.21513,0.36653,0.36332,0.11922,0.099665,-0.21827,0.13159,-0.068752,0.558,-0.093427,0.39238,0.15769,-0.071267,-0.095286,0.16652,0.21637,-0.32968,0.44289,-0.078713,0.29512,-0.90523,-0.088241,0.092094,0.013138,0.59121,-0.21344,-0.2719,-0.093882,0.18115,-0.40638,-1.0444,-0.52895,-0.23714,-0.32923,0.48187,-0.080646,0.017212,0.87652,-0.53546,-0.025896,-0.046967,-0.86675,-0.21273,0.27758,0.38619,-0.256,0.1663,0.24721,0.24286,-0.28148,-0.59012,-0.2042,-0.43804,0.016958,0.81835,-0.089388,0.26378,0.20411,0.57508,-0.054714,-0.026564,-0.27559,0.30343,-0.51303,-0.19347,0.31324,-0.015766,0.22611,0.54592,0.45802,-0.24484,-0.22456,0.20514,0.26728,-0.49825,0.10561,0.19549,0.064019,0.055236,-0.24109,0.085014,-0.39669,-0.13599,-0.27138,-0.77501,-0.4645,-0.074502,-0.58148,0.29868,0.35444,0.26223,0.034883,-0.092268,-0.31275,-0.22399,-0.089942,0.18327,-0.38781,0.35163,0.3541,0.24007,-0.17298,0.008045,0.017304,-0.27005,-0.003687,-0.054128,0.16931,-0.041066,0.24634,0.30341,0.55241,-0.13314,-0.2037,0.11855,0.037864,0.12641,-0.10742,-0.36092,-0.34342,-0.099959,-0.34581,-0.14362,-0.0060323,-0.54166,0.60211,-0.32635,-0.023589,-0.073448,0.92662,0.12556,-0.41553,0.17535,0.47986,-0.80492,0.091835,0.59352,0.18674,0.30433,0.4519,0.027361,-0.98862,-0.37321,-0.23961,0.38579,-0.63441,-0.1677
es,author,M,-0.36007,0.70125,0.12653,0.20148,-0.30534,-0.11421,-0.32179,-0.13019,0.17319,-0.03755,-0.023802,-0.30547,0.27523,-0.44142,0.016244,0.058946,-0.35592,-0.16891,-0.074526,-0.063273,0.1601,-0.2474,0.12689,-0.2783,-0.014013,-0.025244,0.33776,0.046199,-0.32593,-0.12628,-0.092439,-0.41394,0.73076,0.34739,-0.42403,0.11029,-0.0016582,0.31185,-0.35082,0.19379,-0.049279,0.043319,0.768,0.3092,0.038175,0.31565,0.4699,-0.094106,0.30793,-0.027134,-0.48433,0.0095545,-0.24231,0.12606,0.34604,0.21203,0.45262,0.13245,-0.0058211,0.083621,0.37483,0.36347,-0.7389,0.35922,0.25466,-0.18038,0.16849,-0.12358,-0.28611,-0.33118,-0.20273,-0.017925,-0.08369,-0.4191,-0.32089,-0.10385,-0.33802,0.2209,0.056417,-0.22508,-0.2894,-0.33135,-0.24483,-0.77687,-0.23218,-0.27262,-0.15731,0.28726,-0.14184,-0.149,0.2207,-0.13015,-0.52453,0.0035923,-0.7068,0.31457,0.10527,0.026782,-0.11652,0.036506,0.10956,0.058816,-0.12682,-0.33768,-0.14682,0.12852,-0.087395,0.66604,-0.017884,0.12139,0.1476,0.20297,-0.010212,0.021784,-0.13185,0.20429,0.024903,-0.52706,0.29773,-0.42606,0.088373,0.44255,0.16303,0.14768,-0.16407,-0.070129,0.18829,0.09817,0.018254,0.58318,-0.13486,0.19452,-0.32854,-0.014229,-0.16048,-0.2823,0.062275,-0.58146,-0.0314,-0.077754,-0.56319,0.59396,0.37926,0.39249,-0.19416,0.19996,-0.17168,0.2375,0.13146,-3.6375e-4,-0.24128,0.22235,0.29594,0.098446,-0.035691,-0.098545,-0.3367,-0.2062,0.20203,-0.0132,0.34199,-0.209,0.39058,-0.0091286,0.022205,0.26124000000000003,-0.30185,-0.082039,-0.047128,-0.17,0.27856,-0.46154,-0.34846,-0.033894,0.009102,-0.29394,0.38731,-0.057876,0.30532,-0.30675,0.35585,0.15493,0.65089,0.34517,-0.10768,0.0034599,0.4942,-0.67435,-0.13559,0.19793,0.029798,0.31297,0.31643,0.33881,-0.917,-0.062909,-0.21151,0.0033472,0.086211,0.27782
es,baker,F,0.020566,-0.055533,0.4709,-0.46205,-0.060798,-0.30338,0.014807,-0.30375,0.13846,-0.84375,-0.19485,-0.2499,-0.048066,-0.43233,0.45709,0.095094,0.86784,-0.031343,-0.28504,-0.68106,-0.079457,0.14206,-0.35837,0.17274,0.032959,0.0090603,0.28628,0.55175,0.055983,0.27174,0.38131,-0.32681,0.040339,0.38199,0.16992,0.16598,0.25025,0.10604,0.58147,0.52853000000000006,0.89759,-0.29992,0.68137,0.24387,-0.30721,0.21671,0.29764,0.39642,0.26707,-0.061479,0.099375,0.36226,0.034212,-0.045177,0.54182,0.34211,0.72298,-0.25397,0.47602,0.51497,0.35977,0.36212,-0.14684,0.26493,-0.3513,-9.0333e-4,0.095666,-0.036778,0.17832,0.21177,-0.10443,-0.68926,0.19732,-0.38459,-0.49914,-0.068688,-0.011104,0.25857,-0.068906,-0.049959,0.056524,0.35363,-0.2581,-0.17334,-0.029078,0.48792,-0.29132,0.46814,0.045266,-0.02786,0.51472,0.26626,-0.68075,-0.81531,-0.50047,0.05212,0.22264,0.099653,0.32784,0.32851,0.1161,0.34762,-0.43153,-0.68241,-0.14056,-0.15226,0.11291,0.026214,0.29501,0.12798,-0.28213,0.17499,-0.10459,-0.39525,0.20754,-0.48666,0.54533,-0.82218,0.29787,-0.33667,-0.50155,0.18542,-0.070071,0.20335,-0.47002,0.16377,0.86765,0.4517,-0.43806,0.29283,-0.49155,0.11787,0.10522,-0.1726,0.031983,0.025847,0.1039,-0.065945,-0.11469,-0.013865,-0.43201,-0.17381,0.030557,0.39582,-0.050473,-0.45863,-0.44456,0.062881,-0.2746,0.65653,0.12189,-0.3134,0.053871,-0.25962,0.27645,0.081278,0.60275,0.30274,0.1219,-0.29816,0.058543,-0.097052,-0.016674,0.13632,0.58901,0.36045,-0.42922,-0.65954,0.20998,0.044558,0.26241,-0.027215,0.29457,0.23265,0.056877,0.02067,0.06183,0.092915,0.027699,-0.095266,-0.21909,-0.0171,0.61602,-0.15879,-0.099867,0.52644,-0.31654,-0.011072,-0.40736,-0.049924,-0.31101,0.11237,-0.83266,-0.0075041,-0.41922,0.60918,-0.19769,0.40712,-0.61924,0.080526
es,baker,M,-0.072419,0.43094,0.30296,-0.85854,-0.29312,-0.34797,0.10807,-0.051552,0.36073,-0.64804,-0.14758,-0.19044,-0.14407,-0.34797,0.57919,-0.057033,0.81957,-0.38901,-0.1839,-0.49593,-0.06292,0.053679,0.06288,0.0065243,0.1797,0.32465,0.053979,0.42975,0.27976,0.19972,0.16975,0.11655,0.21008,0.26863,0.31388,0.059995,0.4451,0.021817,0.43869,0.63364,0.81811,-0.5516,0.72047,0.52268,-0.20909,0.081448,0.34002,0.45778,0.4776,-0.11031,0.11703,0.68966,-0.081758,0.078773,0.48115,0.59596,0.49009,-0.3209,0.41043,0.46687,0.35737,0.65771,-0.25993,0.24466,-0.36271,-0.30418,-0.019809,-0.11907,-0.013678,0.18866,-0.29357,-0.75248,0.074224,-0.22011,-0.46644,-0.24645,-0.11852,0.23528,0.15465,-0.088406,-0.090508,0.55643,-0.043818,-0.032777,0.24992,0.25572,-0.45275,0.4097,-0.034137,0.35955,0.33998,0.37429,-0.28171,-0.71552,-0.58029,0.073238,0.22397,0.1379,0.025094,0.21516,0.19578,-0.028823,-0.47551,-0.91506,0.081932,-0.14644,0.02882,0.2747,0.095092,0.18172,0.027356,0.18764,-0.3555,-0.17059,0.27255,-0.45554,0.47271,-0.63732,0.054589,-0.63563,-0.50471,-0.25701,-0.04671,0.23016,-0.62492,-0.13414,0.64673,0.62265,-0.35139,0.29855,-0.32774,-0.043167,0.064999,0.13195,0.13681,-0.16968,-0.039143,0.42778,0.15824,0.1487,-0.182,-0.11359,-0.20707,0.14477,-0.066426,-0.27839,-0.48731,-0.0071544,-0.15628,0.53101,-1.4747e-4,-0.18998,0.46326,-0.12715,-0.075917,0.054943,0.75246,0.25545,0.3253,-0.15069,-0.34224,0.17438,0.33474,-0.0060565,0.11056,0.51267,-0.15715,-0.50337,-0.075304,-0.013096,0.21368,0.087086,0.1346,0.27219,0.090212,0.2565,0.09835,-0.092037,-0.085904,-0.079397,-0.102,0.0162,0.55572,-0.15217,-0.3051,0.39113,-0.43745,-0.064461,-0.31373,0.075575,-0.11295,0.047981,-0.42511,-0.087241,-0.44967,0.631,0.006095,0.2876,-0.4728,0.0082536
es,cleaner,F,-0.091631,-0.070585,-0.38909,-0.34122,0.18501,-0.55925,-0.086817,-0.34453,-0.27106,-0.97095,-0.055845,-0.36984,0.37512,-0.59998,0.34212,-0.55971,-0.19787,-0.054968,0.065365,-0.37208,-0.12549,-0.023953,0.18587,-0.47267,-0.17662,0.069465,-0.086236,0.45439,0.53116,0.53196,0.25672,0.0764,-0.41732,-0.28126,0.24261,0.54464,0.061409,0.6463,-0.2232,0.53499,0.35572,-0.077379,0.19121,-0.20214,0.63101,0.057015,-0.27847,0.21773,-0.050774,-0.34663,-0.3403,-0.0028184,0.33703,-0.23616,-0.18111,-0.077823,0.17823,0.27283,-0.47365,0.11841,0.11741,0.46954,0.065574,0.36331,0.10364,-0.3692,-0.41961,0.022298,0.685,0.085448,0.36999,-0.47832,0.86575,-0.30761,-0.45072,-0.16324,0.81217,-0.098487,-0.16194,0.754,-0.19635,0.94891,-0.76324,-0.56817,-0.11514,0.099432,0.048921,0.40459,-0.2838,0.26368,0.89671,0.30085,-0.11674,-0.2773,-0.56093,-0.17066,0.23538,0.17793,-0.37941,0.26362,-0.11165,0.54906,-0.19007,-0.6337,-0.45508,-0.46822,-0.2449,-0.046465,0.21505,0.64016,0.028768,0.001069,-0.32423,-0.34817,0.052898,-0.24476,-0.21818,-0.028971,0.27852,-0.57618,-0.1457,-0.63312,0.05315,0.13719,0.438,0.2648,0.17706,0.087933,-0.38289,-0.48274,-0.074885,-0.071278,0.25177,0.27664,-0.13595,-0.1583,-0.071902,-0.072707,-0.30891,0.35171,-0.55556,-0.33679,0.018387,-0.045888,-0.062151,-0.075598,-0.30776,-0.20483,0.24446,0.28285,0.24652,0.0062404,-0.18929,0.30267,-0.10816,-0.47701,0.45458,0.39205,0.14712,-0.69754,-0.50008,-0.31217,-0.44361,0.19197,0.13815,0.02823,-0.24195,-0.21749,0.55769,-0.047781,-0.35193,-0.2879,-0.02233,-0.13344,-0.057231,0.25945,-0.065385,-0.67535,0.63025,0.32589,-0.11689,-0.039066,-0.30665,-0.16558,-0.62725,0.42898,0.08249,-0.35348,0.070003,0.25144,0.34036,-0.22993,0.59817,-0.070404,-0.50504,-0.12543,-0.23988,0.016068,-1.1779,-0.3056
es,cleaner,M,0.2362,-0.25007,-0.30181,-0.53046,0.23694,-0.43225,0.047561,-0.13315,-0.14077,-0.67132,-0.44377,-0.61778,0.29985,-0.89729,0.29367,-0.62883,-0.057776,-0.05601,0.015454,-0.17839,0.24129,-0.24184,0.43686,-0.34346,-0.028051,0.044705,0.32482,0.37809,0.52856,-0.047952,0.59863,-0.27244,-0.26125,-0.67352,0.021649,0.39302,0.25098,0.59493,-0.36815,0.39684,0.49699,-0.28334,0.94798,-0.025411,0.40798,0.41111,0.10127,0.17814,0.23202,-7.0126e-4,-0.55905,0.2476,-0.13487,0.49912,-0.22117,-0.22185,0.45684,0.11419,-0.43972,0.11984,0.27333,0.54254,-0.5519,0.40249,0.22924,-0.54262,-0.35444,-0.25669,0.31531,0.49027,0.059784,-0.58416,0.42568,-0.088351,-0.37299,-0.35769,0.52630999999999994,-0.24231,0.19618,0.91469,-0.1005,0.67198,-0.61769,-0.47541,0.40977,-0.057685,-0.010538,0.055254,-0.22132,0.16292,0.66597,0.46693,-0.11073,-0.34054,-0.44826,0.038368,0.064957,-0.076543,-0.4341,-0.1412,-0.052776000000000003,0.30554,-0.029226,-0.6751,-0.49632,-0.3318,-0.27964,0.047308,0.14663,0.31732,-0.042399,-0.044389,-0.17539,-0.29637,0.13508,-0.38447,-0.024992,-0.019725,-0.13327,-1.002,-0.60402,-0.82909,-0.20204,0.25688,0.33305,-0.0061023,0.46406,0.56244,-0.50355,-0.15409,0.001936,-0.13908,0.05709,0.25539,-0.01186,-0.23293,0.071446,0.22647,-0.15436,0.32939,-0.2665,-0.013,0.19788,-0.16756,-0.097608,0.29169,0.033987,-0.13078,0.36343,0.40514,0.28234,-0.12236,0.11547,0.25191,0.040447,-0.27932,0.33909,0.54154,0.34564,-0.47968,-0.58927,-0.28818,-0.037886,-0.21687,0.028068,0.36321,-0.11553,-0.036107,0.26984,-0.18512,-0.16205,-0.16315,-0.14454,-0.11365,0.2462,0.19194,0.22151,-0.63143,0.4557,0.40325,0.35884,0.096952,-0.56366,-0.303,-0.42261,0.46235,0.03976,-0.14623,-0.021198,-0.017127,0.30664,-0.048264,0.44979,-0.064778,-0.68522,-0.062779,-0.085115,-0.20295,-0.48325,0.097456
es,dancer,F,-0.43619,0.35971,-0.56371,-0.24591,-0.33835,-0.28781,0.311,0.062107,-0.16372,-1.1403,0.28586,0.19268,-0.27831,-0.22814,0.65021,-0.27243,0.2373,-0.17374,0.48813,-0.22772,-0.51468,0.25168,-0.18454,-0.19881,0.58721,0.71001,0.29639,-0.37785,0.34944,0.19259,0.10388,0.17136,0.4839,0.63816,0.1953,0.28397,0.42926,-0.24532,-0.45522,0.4706,0.20634,-0.27818,0.45823,0.9178,0.43984,0.4424,-0.63411,-0.27528,-0.13741,-0.49882,-0.42028,-0.80048,0.75366,-0.27595,0.23926,0.42565,-0.45773,-0.45384,-0.80116,-0.06153,-0.03654,-0.044005,0.48376,0.61357,0.29523,-0.20238,-0.14745,0.19469,0.7232,-0.15389,-0.081185,-0.19713,1.3981,-0.32322,-0.31412,0.37996,0.29247,0.73432,-0.026257,0.20386,-0.2542,0.28554,-0.17539,-0.81185,-1.0026,-0.36219,-0.66635,0.14877,-0.19409,0.18324,0.19193,-0.44873,-0.083338,0.47663,-0.12829,-0.56892,-0.30948,0.41226,0.30155,-0.1443,-0.13762,0.15536,-0.21673,-0.95216,-0.20364,-0.37973,0.15879,0.87904,0.61451,-0.026439,0.10838,0.39654,-0.307,0.024744,-0.45226,0.15912,0.1239,0.5021,0.19466,-0.18098,-0.46241,-0.22611,-0.065988,-0.54332,-0.42403,0.051836,-0.19712,-0.049267,0.022619,0.0030536,-0.19118,0.55067,0.24612,-0.22831,-0.10972,-0.1525,-0.10584,-0.50634,-0.23086,0.12541,-0.040526,-0.50186,-0.49838,0.46932,-0.50845,-7.0741e-4,-0.1507,-0.021074,0.17395,-0.66538,0.20161,-0.39653,-0.42823,-0.12067,0.026879,0.448,0.64187,-0.23781,-0.46891,-0.51547,-0.12697,-0.58027,0.25726,-0.39347,-0.17224,-0.01164,0.041792,-0.1498,0.16289,-0.34955,-0.61857,-0.10157,-0.39642,0.075586,0.022067,0.098526,0.098487,-0.57821,0.67207,0.48702,-0.22176,0.18175,0.13889,0.0089505,-0.12067,-0.073591,0.2495,-0.51167,0.031432,0.18047,0.068301,0.39103,0.42345,0.37294,-0.65599,-0.067263,0.72927,0.37221,-1.2472,-0.2811
es,dancer,M,-0.080339,0.48162,-0.53983,-0.20448,-0.14176,-0.29999,0.20108,0.3508,-0.027466,-0.78729,0.077366,-0.21465,-0.22169,-0.59029,0.34833,-0.031935,0.63267,-0.082998,0.45358,-0.050372,-0.12015,-0.1778,-0.25834,-0.22768,0.48897,0.78085,0.4297,-0.24479,0.50917,0.10928,0.38937,-0.26738,0.20377,0.79699,0.033326,0.037204,0.61376,-0.14916,-0.54899,0.37347,0.22163,-0.5126,0.96984,0.73996,0.34438,0.57245,-0.52141,-0.46474,0.02006,-0.25778,-0.75668,-0.094566,0.45145,0.36333,0.31638,0.28558,-0.031848,-0.71365,-0.91078,0.10344,-0.092445,-0.027146,0.37697,0.68019,0.42267,-0.20787,-0.024798,-0.67578,0.11467,0.14155,-0.055889,-0.042711,0.66361,-0.032527,-0.054439,0.2385,0.064736,0.76431,0.16024,0.55873,-0.25729,0.15638,-0.030379,-0.72527,-0.38353,-0.32853,-0.16638,-0.066886,-0.21268,0.078555,-0.4774,-0.24359,-0.12137,0.34298,-0.16048,-0.4625,-0.10526,0.22903,0.28843,-0.5164,-0.090018,-0.18704,-0.013345,-0.83455,-0.158,-0.046569,0.38201,0.5257,0.68609,-0.20302,-0.19843,0.48341,-0.28037,-0.014331,-0.3859,-0.10053,0.5215,0.40292,-0.36867,-0.64395,-0.63344,-0.46927,-0.43516,-0.51886,-0.94315,-0.32775,-0.27248,0.65124,-0.29398,0.57952,-0.087331,0.51038,-0.041244,-0.75734,-0.052692,-0.2434,0.21132,-0.4523,0.12221,-0.23285,0.013151,0.18503,-0.75744,0.6339,-0.60239,0.16862,-0.1041,0.3615,0.35991,-0.74256,-0.038408,-0.40099,-0.50856,-0.060624,0.30065,0.30565,0.26613,-0.12742,-0.18491,-0.58093,-0.38733,-0.48931,0.8158,-0.8075,-0.40921,0.16885,0.27889,-0.50361,0.21705,-0.45813,-0.48323,-0.31354,-0.42877,0.075665,-0.03365,0.19359,0.32379,-0.47943,0.48215,0.65795,0.066425,0.033727,0.10266,0.14,0.10108,-0.23312,-0.15935,-0.71245,-0.11926,-0.19426,-0.067501,0.42724,0.22453,0.54329,-0.42085,-0.13746,1.0482,0.12118,-0.37452,-0.102
