translation,language_code,word,gender,word_id,translation_id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
administración,es,management,F,w1,t1,0.070367,0.0025169,-0.41795,-1.4087,0.063369,0.048944,-0.47539,-0.34585,1.038,0.039567,-0.28607,-0.49608,0.51645,-0.063623,-0.11998,0.31787,-0.3722,-0.06009,-0.025203,-0.63765,0.20792,0.052141,0.1324,-0.43499,-0.1774,0.18545,0.33777,-0.20265,0.07461,0.52358,0.45521,0.16427,-0.065311,0.66323,0.56278,0.18801,0.1139,-0.30264,0.52486,0.28512,-0.31974,0.3852,0.65646,-0.057363,-0.35819,0.30307,-0.11193,-0.27256,0.75326,-0.17582,-0.0083427,-0.29122,-0.3123,0.039704,0.1162,-0.49482,-0.15705,0.5218,-0.13187,-0.5781,0.26977,0.17483,0.15539,0.2116,-0.071279,0.47917,-0.35317,0.55445,0.39795,-0.13902,0.099038,0.17144,-0.033391,-0.12407,0.21667,-0.26138,-0.027897,0.033174,0.15972,-0.45163,-0.097477,0.29664,-0.26117,-0.043169,0.1996,-0.12476,0.42642,-0.44942,0.0032872,0.10237,0.8164,0.42826,0.50772,-0.21973,-0.10049,-0.16789,-0.08148,-0.37908,0.25296,0.40456,-0.13156,0.54458,0.34606,0.1412,-0.37527,-0.16645,-0.43934,-0.0066891,0.24839,0.098939,0.016972,0.71271,0.37146,0.60296,-0.13181,0.087893,0.16183,0.25669,-0.069571,0.028929,0.21728,0.18889,-0.37528,-0.5683,0.25933,0.19136,-0.23721,-0.29593,-0.44742,-0.34104,-0.35417,0.068857,0.30814,-0.17456,-0.13749,0.14186000000000001,0.31101,0.41235,-0.34909,0.25693,-0.22182,0.7376,0.091508,-0.35105,-0.20255,-0.80387,0.40967,0.10244,0.97278,-0.093269,0.08323,-0.34988,-0.12892,0.10193,0.64016,0.10449,0.15792,0.3313,-0.36838,-0.32611,0.12278,0.31651,0.36461,0.092474,0.2736,-0.045417,0.3841,-0.04927,0.034793,-0.39964,0.45447,-0.41829,-0.15238,-0.047679,-0.20562,-0.19639,-0.1256,0.45362,-0.089975,0.019363,-0.42634,0.12915,-0.075292,0.15131,-0.085971,-0.30863,0.38172,-0.15555,-0.65673,-0.52818,0.081445,-0.1524,-0.22143,0.16324,-0.030925,-0.27505,0.095417,0.16186,-0.21892,0.2301
administración,es,management,M,w1,t1,0.070367,0.0025169,-0.41795,-1.4087,0.063369,0.048944,-0.47539,-0.34585,1.038,0.039567,-0.28607,-0.49608,0.51645,-0.063623,-0.11998,0.31787,-0.3722,-0.06009,-0.025203,-0.63765,0.20792,0.052141,0.1324,-0.43499,-0.1774,0.18545,0.33777,-0.20265,0.07461,0.52358,0.45521,0.16427,-0.065311,0.66323,0.56278,0.18801,0.1139,-0.30264,0.52486,0.28512,-0.31974,0.3852,0.65646,-0.057363,-0.35819,0.30307,-0.11193,-0.27256,0.75326,-0.17582,-0.0083427,-0.29122,-0.3123,0.039704,0.1162,-0.49482,-0.15705,0.5218,-0.13187,-0.5781,0.26977,0.17483,0.15539,0.2116,-0.071279,0.47917,-0.35317,0.55445,0.39795,-0.13902,0.099038,0.17144,-0.033391,-0.12407,0.21667,-0.26138,-0.027897,0.033174,0.15972,-0.45163,-0.097477,0.29664,-0.26117,-0.043169,0.1996,-0.12476,0.42642,-0.44942,0.0032872,0.10237,0.8164,0.42826,0.50772,-0.21973,-0.10049,-0.16789,-0.08148,-0.37908,0.25296,0.40456,-0.13156,0.54458,0.34606,0.1412,-0.37527,-0.16645,-0.43934,-0.0066891,0.24839,0.098939,0.016972,0.71271,0.37146,0.60296,-0.13181,0.087893,0.16183,0.25669,-0.069571,0.028929,0.21728,0.18889,-0.37528,-0.5683,0.25933,0.19136,-0.23721,-0.29593,-0.44742,-0.34104,-0.35417,0.068857,0.30814,-0.17456,-0.13749,0.14186000000000001,0.31101,0.41235,-0.34909,0.25693,-0.22182,0.7376,0.091508,-0.35105,-0.20255,-0.80387,0.40967,0.10244,0.97278,-0.093269,0.08323,-0.34988,-0.12892,0.10193,0.64016,0.10449,0.15792,0.3313,-0.36838,-0.32611,0.12278,0.31651,0.36461,0.092474,0.2736,-0.045417,0.3841,-0.04927,0.034793,-0.39964,0.45447,-0.41829,-0.15238,-0.047679,-0.20562,-0.19639,-0.1256,0.45362,-0.089975,0.019363,-0.42634,0.12915,-0.075292,0.15131,-0.085971,-0.30863,0.38172,-0.15555,-0.65673,-0.52818,0.081445,-0.1524,-0.22143,0.16324,-0.030925,-0.27505,0.095417,0.16186,-0.21892,0.2301
artística,es,artistic,N,w1,t1,0.077098,-0.081522,-0.30512,-0.1017,-0.22319,0.074547,0.34352,0.62939,0.029073,0.13079,0.019108,-0.82925,0.082762,0.80486,-0.051765,0.47869,0.40889,0.47684,0.32171,0.14693,0.23299,0.087168,-0.057114,-0.11184,0.064191,-0.22731,0.62231,-0.18157,0.08655,0.15714,0.48584,-0.051779,0.96701,0.038984,0.11699,0.14017,0.038656,0.37589,0.49109,-0.0061546,-0.39418,-0.067622,0.51514,0.43649,-0.2169,0.13248,0.39296,-0.63012,0.20939,-0.41306,0.26361,0.079117,-0.31973,-0.61419,0.38342,-0.36519,-0.060707,0.22518,0.16243,-0.34809,0.020038,0.62127,-0.63848,-0.053178,0.08316,-0.039496,-0.24557,-0.14444,0.4378,0.30481,0.022254,0.031584,-0.31025,-0.012126,0.011732,0.51873,0.39805,-0.85261,0.056511,-0.44663,0.18156,0.49684,0.057206,0.2127,-0.054734,-0.37895,0.49257,0.025325,0.048113,-0.043351,-0.051003,0.28436,0.30402,-0.038341,-0.155,0.29697,0.29334,-0.23747,0.049336,0.096732,0.016832,0.96889,0.16269,0.13594,0.23357,-0.11064,-0.19847,0.27334,-0.013918,-0.1049,0.77819,0.062327,-0.28304,-0.25089,0.30775,-0.66534,-0.10946,-0.23737,-0.13231,-0.2794,0.27439,-0.96986000000000006,-0.15715,-0.48661,0.29298,-0.75185,-0.18448,-0.033496,-0.43616,-0.23946,-0.26961,0.030858,0.12446,-0.22505,0.080484,-0.072346,-0.5078,-0.0030587,0.27929,0.10114,-0.054042,0.24852,0.10147,0.22781,0.19905,-0.19564,0.17343,-0.56258,0.25671,-0.24826,-0.080316,-0.34694,-0.11692,-0.53821,-0.0090509,0.30694,0.20989,0.074357,-0.13075,-0.16964,-0.35073,0.38405,0.48765,0.20904,0.37079,0.022749,-0.053032,0.16055,-0.18094,-0.37659,0.1359,0.13599,0.45678,-0.052469,-0.20554,0.33577,0.31677,0.60896,-0.36218,0.1252,0.22214,0.096908,0.6322,0.29682,-0.047271,-0.98597,-0.4647,0.12741,-0.13642,0.11401,0.36001,-0.56135,-0.64111,-0.092616,-0.19662,-0.31835,-0.19804,-0.32156,-0.345,0.40068
artístico,es,artistic,N,w1,t1,-0.10554,0.28283,-0.20675,-0.37073,-0.040316,-0.034093,0.65619,1.042,0.33119,0.18618,0.059803,-0.23048,0.41501,0.69539,0.2789,-0.058229,0.66415,0.47974,-0.13468,0.45003,0.090332,-0.37945,-0.037741,-0.33112,-0.091283,-0.22327,0.95856,-0.15734,0.44185,0.50611,0.59617,0.25578,0.96523,0.57923,-0.15031,-0.049742,0.038114,0.89536,0.78615,-0.31144,-0.20537,0.15928,-0.079236,-0.0079573,-0.25696,-0.058492,0.52811,-0.53179,0.41703,-0.36447,0.09495,0.30392,0.24317,-0.49611,0.67587,0.019447,-0.10029,0.31214,0.30187,-0.26588,0.22889,0.52909,-0.61364,0.058603,0.24655,-0.11886,-0.45179,-0.50343,0.37612,0.49528,-0.19289,0.12147,0.14004,-0.21343,-0.45568,0.56053,-0.081225,-0.67783,-0.030401,-0.56945,0.36401,0.65301,0.014321,0.17373,0.044025,-0.27843,0.31701,0.15122,0.0043554,-0.26739,-0.28766,0.1303,0.14002,-0.47006,-0.22885,0.81961,0.46864,-0.22461,-0.63882,0.14004,0.2788,0.72553,-0.18091,-0.41966,0.030407,-0.08056,-0.23385,0.6247,-0.21974,-0.95337,0.44622,0.27052,-0.53838,-0.1196,-0.26992,-0.85454,0.042097,-0.092805,0.094634,-0.14437,0.35223,-0.61645,0.23746,-0.042476,-0.055189,-0.61235,-0.35574,-0.1036,0.061626,-0.11457,-0.33221,0.10048,0.17743,-0.42315,0.27837,-0.30347,-0.0042563,-0.36702,0.38064,0.63215,-0.14981,0.2499,-0.019202,0.31106,-0.29745,-0.47702,0.21081,-0.20828,0.010237,0.031508,-0.18921,-0.09592,-0.20667,-0.34465,0.52905,0.20507,0.37398,0.43561,-0.10821,-0.035632,-0.08458,0.39078,0.12676,0.063779,0.58836,-0.60603,0.29735,0.26406,-0.39936,-0.25975,-0.086853,0.0902,0.066405,-0.24783,-0.16557,0.20839,0.33127,0.20051,-0.18429,0.020923,-0.44932,0.23755,0.70793,0.14845,-0.57158,-0.78831,-0.51166,0.17716,0.15986,0.10945,0.72466,-0.46607,-0.55969,0.087927,-0.42515,-0.41465,-0.41934,-0.27396,-0.10184,0.13086
bomberi,es,firefighter_netural1,M,w1,t1,-0.080904,-0.28291,0.74587,-0.1806,-0.19663,0.089019,-0.31771,0.33739,-0.19807,-0.09772,-0.29294,-0.67755,-0.0816,0.7272,0.11233,0.15796,0.3899,0.6457,0.57604,-0.77413,0.64268,0.023335,-0.069993,-0.56296,-0.39788,-0.43512,0.011702,-0.9016,-0.3214,-0.24417,0.53677,0.14946,0.15135,0.21959,0.058154,0.22824,0.32775,0.60471,0.45205,-0.16207,0.2637,-0.22209,0.043039,-0.010565,-0.23318,-0.25434,0.063818,0.32835,0.72694,0.13661,-0.044744,-0.57193,0.37701,0.35222,-0.2545,-0.31696,-0.25686,0.7077,0.21083,0.16042,0.18442,0.10148,0.35248,-0.1746,0.17437,-0.1576,-0.51785,0.063394,-0.12391,0.27015,-0.18707,0.050762,-0.07182,0.021625,0.030735,0.68031,-0.14575,-0.31756,-0.063159,-0.076018,-0.24163,0.58529,-0.18717,0.49892,0.38374,0.073792,-0.12202,0.60768,-0.84523,-0.46101,-0.75364,0.52119,0.52651,-0.4411,-0.60804,-0.25772,-1.8357e-4,0.050335,0.33608,-0.49679,0.4632,-0.0084885,-0.5504,-0.13256,-0.16273,-0.20318,-0.15775,1.0835,0.20359,0.18097,-0.90146,0.069239,-0.72693,0.41828,0.35193,0.099229,0.24827,0.028454,0.28839,0.0060919,-0.02362,-0.5944,-0.15255,0.054605,0.67207,0.38417,0.042769,-0.1127,-0.17645,-0.09789,0.31613,0.51131,-0.51318,0.41565,-0.43187,-0.58813,-0.51486,0.30817,-0.24765,0.69359,-0.62549,0.64151,0.57204,-0.54843,-0.014968,-0.24911,-0.090528,-0.59773,0.20579,-0.38879,0.17556,0.039562,-0.13644,0.27574,-0.3786,0.54005,0.22029,-0.49698,0.026437,-0.2995,-0.27656,0.58148,-0.037619,-0.11294,0.42892,-0.23694,0.014616,-0.57907,-0.070727,-0.45251,-0.2793,-0.27376,0.16603,-0.46649,-0.23658,0.50336,-0.5995,0.034861,-0.12783,0.18446,-0.50203,0.30755,-0.013644,0.26597,-0.30305,-0.48489,0.38002,0.52301,0.097085,-0.33516,0.60991,-0.052335,0.57819,0.15629,0.027949,-0.01233,-0.41141,0.31636,-0.41792,0.43899
bomberi,es,firefighter_netural1,F,w1,t1,-0.080904,-0.28291,0.74587,-0.1806,-0.19663,0.089019,-0.31771,0.33739,-0.19807,-0.09772,-0.29294,-0.67755,-0.0816,0.7272,0.11233,0.15796,0.3899,0.6457,0.57604,-0.77413,0.64268,0.023335,-0.069993,-0.56296,-0.39788,-0.43512,0.011702,-0.9016,-0.3214,-0.24417,0.53677,0.14946,0.15135,0.21959,0.058154,0.22824,0.32775,0.60471,0.45205,-0.16207,0.2637,-0.22209,0.043039,-0.010565,-0.23318,-0.25434,0.063818,0.32835,0.72694,0.13661,-0.044744,-0.57193,0.37701,0.35222,-0.2545,-0.31696,-0.25686,0.7077,0.21083,0.16042,0.18442,0.10148,0.35248,-0.1746,0.17437,-0.1576,-0.51785,0.063394,-0.12391,0.27015,-0.18707,0.050762,-0.07182,0.021625,0.030735,0.68031,-0.14575,-0.31756,-0.063159,-0.076018,-0.24163,0.58529,-0.18717,0.49892,0.38374,0.073792,-0.12202,0.60768,-0.84523,-0.46101,-0.75364,0.52119,0.52651,-0.4411,-0.60804,-0.25772,-1.8357e-4,0.050335,0.33608,-0.49679,0.4632,-0.0084885,-0.5504,-0.13256,-0.16273,-0.20318,-0.15775,1.0835,0.20359,0.18097,-0.90146,0.069239,-0.72693,0.41828,0.35193,0.099229,0.24827,0.028454,0.28839,0.0060919,-0.02362,-0.5944,-0.15255,0.054605,0.67207,0.38417,0.042769,-0.1127,-0.17645,-0.09789,0.31613,0.51131,-0.51318,0.41565,-0.43187,-0.58813,-0.51486,0.30817,-0.24765,0.69359,-0.62549,0.64151,0.57204,-0.54843,-0.014968,-0.24911,-0.090528,-0.59773,0.20579,-0.38879,0.17556,0.039562,-0.13644,0.27574,-0.3786,0.54005,0.22029,-0.49698,0.026437,-0.2995,-0.27656,0.58148,-0.037619,-0.11294,0.42892,-0.23694,0.014616,-0.57907,-0.070727,-0.45251,-0.2793,-0.27376,0.16603,-0.46649,-0.23658,0.50336,-0.5995,0.034861,-0.12783,0.18446,-0.50203,0.30755,-0.013644,0.26597,-0.30305,-0.48489,0.38002,0.52301,0.097085,-0.33516,0.60991,-0.052335,0.57819,0.15629,0.027949,-0.01233,-0.41141,0.31636,-0.41792,0.43899
bomberx,es,firefighter_netural2,F,w1,t1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bomberx,es,firefighter_netural2,M,w1,t1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brillante,es,brilliant,N,w1,t1,0.019872,0.2491,-0.050631,-0.24437999999999999,0.075624,-0.25323,-0.30389,0.51974,-0.074914,-0.44696,0.30459,-0.82926,0.48259,0.16703,0.89344,0.081753,-0.21224,0.08332,-0.27351,0.29561,0.34422,-0.043019,-0.10405,0.25437,-0.083517,-0.35755,-0.33978,-0.0204,0.30739,-0.19892,0.47911,0.48721,-0.01926,0.37854,0.36477,-0.24596,0.30322,-0.052039,0.25504,0.17472,-0.44407,-0.089517,-0.2049,-0.47435,-0.48962,-0.17674,-0.20856,-0.25753,-0.053889,0.1704,0.19017,-0.043875,0.060881,0.020396,0.50627,-0.13201,-0.41817,0.48847,0.2272,0.33439,-0.069521,0.37958,-0.021741,-0.36308,-0.28669,0.23172,-0.46057,0.56497,0.56661,0.074677,-0.25386,-0.25812,0.12458,-0.1236,-0.18934,0.75663,0.243,-0.41961,0.20329,-0.040852,-0.19772,0.055243,-0.078691,0.14608,-0.37452,0.30328,-0.074106,0.51876,-0.60427,-0.25155,-0.98232,-0.22321,-0.036803,0.20277,0.070854,-0.63385,0.15926,-0.39641,0.27741,-0.56889,0.091267,0.4423,0.19736,-0.2199,-0.24024,0.28229,0.44164,0.61951,0.14682,0.34653,-0.0055141,0.13038,-0.41499,0.54148,-0.25734,-0.13046,-0.16175,0.11229,-0.15164,-0.46995,0.3395,-0.3564,-0.042223,0.052906,0.14932,0.16626,-0.10455,-0.49516,-0.40122,0.067902,0.088164,0.32099,0.55129,-0.04568,-0.29552,0.47209,0.42721,0.072892,0.36771,0.36037,-0.11749,0.11019,-0.028935,0.075426000000000007,0.17553,-0.38681,0.064498,0.093486,-0.48577,0.11076,0.66981,-0.057791,-0.12913,-0.16832,-0.11495,-0.28258,0.2835,-0.014576,0.33615,-0.045815,-0.16999,0.069272,0.27243,-0.18071,0.32385,0.016261,-0.26975,-0.10335,-0.068651,-0.27725,0.26674,-0.19748,-0.049,0.15109,-0.19386,0.24907,0.10161,0.74187,-0.11806,0.34907,0.39052,0.043451,0.35335,0.18856,-0.27623,-0.81269,-0.12246,0.25096,0.095732,-0.40024,0.86675,-0.41163,-0.46528,-0.43699,0.33786,-0.31906,0.05994,0.16086,-0.29697,0.11526
carrera,es,career,N,w1,t1,-0.23826,-0.14056,-0.033961,-0.41589,-0.55803,-0.17169,-0.0079031,0.55781,0.20279,0.064264,0.3688,-0.52318,0.10682,-0.14784,-0.46852,0.29129,-0.1258,0.052928,0.049189,-0.10732,0.27652,0.080055,0.15874,0.1058,-0.05133,-0.052967,0.28672,0.5031,-0.17752,0.33034,0.71854,0.042113,0.13131,0.38432,0.26528,0.21312,0.38419,0.81416,0.13745,0.56947,-0.15996,-0.38548,0.48204,0.69193,-0.071141,0.28552,0.074246,-0.44844,-0.26051,0.34884,0.48586,-0.21072,-0.30064,-0.14653,0.36381,-0.33975,0.27942,0.47765,-0.065312,-0.51994,0.3535,0.0087921,-0.41353,-0.12952,-0.1073,-0.05112,-0.092593,0.084689,-6.5758e-4,-0.10887,-0.10485,0.26,-0.071118,0.052413,0.11698,0.30948,0.30649,-0.30268,0.25121,-0.12828,-0.098095,0.39843,-0.25326,0.18186,0.17297,-0.23052,0.22133,-0.18363,-0.021053,-0.13543,-0.48356,0.31063,-0.076852,-0.1115,-0.02436,-0.34605,-0.077955,-0.025716,0.2769,-0.31436,0.05727,0.42296,0.03092,0.055562,0.29596,-0.039018,0.044382,-0.081539,0.13772,0.007842,0.36451,0.37669,-0.5005,0.35886,-0.21076,0.28415,-0.8377,0.14632,-0.15967,0.14048,-0.022983,-0.57631,-0.33153,0.048092,0.099005,0.20128,0.41941,-0.456,-0.17703,-0.50311,-0.28304,0.58522,0.61017,-0.24241,-0.23508,0.61944,0.21406,0.44416,0.15244,0.50357,-0.57159,0.45221,0.11466,-0.16974,-0.16498,-0.42406,0.2827,0.16083,0.031961,-0.55738,0.48541,-0.22287,-0.17166,-0.11011,0.077741,0.071093,-0.033316,0.19265,-0.042704,-0.10779,0.0082599,-0.16801,0.41456,0.60347,0.52581,0.17324,0.20542,-0.077483,0.038627,-0.39597,0.067223,-0.22697,-0.054533,-0.043604,-0.12864,0.17814,-0.20408,0.79272,-0.24864,0.23923,-0.032532,-0.2762,0.29972,0.33592,0.16491,-1.4342,0.042942,0.23497,0.0081644,-0.020634,0.5812,-0.25737,-0.17952,0.45671,-0.25095,-0.19931,0.090433,-0.41275,-0.36416,0.18917
