language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
ja,artistic,N,-0.90961,1.6511,-1.5327,-0.3051,0.13667,-1.2814,-0.58869,1.1173,-1.5111,-2.214e-4,0.35109,0.97505,0.55524,-0.21406,0.43971,0.43521,-0.31179,-0.12028,0.9542,0.13852,1.4584,-0.41127,-0.85016,0.33978,2.0245,1.4526,-0.81926,1.1092,1.273,-1.1425,-0.62229,-0.63618,-1.0698,-1.1029,1.5265,0.37336,-0.08083,0.93168,0.076722,-0.48836,0.19469,0.98576,2.2827,0.42695,0.59956,-0.4554,-0.92748,1.1886,-0.78119,0.46852,-0.21396,-0.66539,-0.031979,0.54711,1.2191,1.2075,-1.3143,-0.059779,1.4324,0.044936,-0.69944,-0.48553,0.42588,0.92837,-1.2275,0.71585,-0.33796,-0.38396,0.17697,-0.10278,-0.23773,-0.6008,-1.4996,0.39472,-1.055,0.9272,-0.28347,0.2867,0.25281,0.66751,2.3402,0.31132,0.61723,0.84553,0.088227,-0.676,1.641,2.1202,-1.5521,-0.37527,-0.20463,-0.30265,-0.95085,-0.94912,0.45162,-0.7523,0.37223,0.24845,-0.72921,0.067437,-1.0563,-0.36615,0.14555,-0.66032,-0.53339,-1.1747,-0.44631,0.48469,0.40209,-0.39904,0.69718,0.36611,-0.099807,0.41275,-0.1255,-0.5811,0.55537,0.83696,1.1733,0.71171,-0.25715,-0.10415,1.1139,-0.26712,0.38155,-0.67251,-1.257,-0.94044,-0.34823,-0.034748,-1.2317,-0.089267,0.27362,-1.5396,-0.87312,-0.99708,-0.27023,-0.20236,0.56007,0.62558,-0.6874,-1.282,-0.52047,-1.0523,-0.25943,0.85375,0.3227,-1.8138,1.1221,0.0088534,0.87312,-0.9275,0.36961,0.83263,-1.0122,0.27972,0.076561,-0.3563,0.70999,-0.48843,-0.86012,-0.63482,-1.6079,-0.060416,0.72517,-0.96509,-1.0278,0.80533,0.4746,0.98783,0.76233,0.4924,0.91063,0.038998,-1.0733,-1.2282,1.1436,-0.99203,0.024672,0.015259,0.17701,-0.44611,1.4182,-1.2513,-0.53886,0.49979,1.1347,-0.19993,-0.24363,-0.083858,0.43219,0.76342,-0.0073946,0.45837,0.20665,-0.71354,0.7292,0.97141,-0.33414,-0.88448
ja,boy,N,0.06025000000000001,-0.6835,0.59812,-0.162955,1.3049,-0.337945,-1.0755,0.22892925,-0.13342500000000002,1.34052,1.3538000000000001,0.598965,0.8359050000000001,-0.444521,1.6595,-0.3531515,-0.2826705,-0.297725,0.5466385,-1.1939825,0.44248899999999997,-0.730125,-0.6674450000000001,-0.30235850000000003,0.6971050000000001,1.0204005,0.43081,-0.6282049999999999,-0.42787,-1.097375,0.14613199999999998,0.17282000000000003,-1.4067500000000002,-0.5530625,-0.52749,0.31499,0.4130075,-0.662935,-0.572805,-0.5081614999999999,-0.592765,1.080485,1.22672,0.47202999999999995,0.292285,-1.04738,-0.6220175,-0.4295,2.34825,-0.04205000000000003,-0.6906950000000001,-1.006965,0.23191,0.419626,0.441305,0.252917,-2.5286,0.5542,-0.34881,0.8535649999999999,0.58856,1.01534,0.94808,0.1590685,-0.61073,1.4151,-0.06817499999999999,-0.2928065,-0.04707999999999998,-0.47274,-0.9373800000000001,0.1207555,0.480314,1.2838420000000001,-1.40481,0.695475,0.282945,-1.95265,2.0172,-0.081252,0.14594,-1.09855,-0.720845,0.078281,-0.09082,-1.292645,-0.4580032,0.53907,-1.1373,-0.10904499999999998,0.3146375,0.571855,1.715325,-1.0379850000000002,1.20647,0.36219499999999993,-0.21343,0.50113,-0.54688,0.44093000000000004,-1.143815,-0.4774,-0.020290000000000002,-0.776955,-0.621265,-0.6772,-0.654325,0.009255000000000013,0.2403695,-0.68792,-0.51515,-0.9017000000000001,-1.637325,-0.46810000000000007,-0.36460000000000004,0.44620000000000004,0.19899,-0.08466499999999999,-0.30082,0.34972499999999995,-0.585245,0.34731,0.950775,-0.48074000000000006,0.882175,-0.572835,0.54316,0.30378499999999997,0.411645,0.107605,-1.56795,0.42422499999999996,-0.6495900000000001,-0.008639500000000001,1.06188,-1.44326,0.07730000000000001,-0.40642500000000004,0.091582,-0.73935,0.025764999999999996,-1.081725,-1.6952500000000001,0.003550000000000053,0.6081449999999999,-0.0026600000000000096,-0.22352,-0.246136,0.046460249999999995,-1.72315,0.06084999999999996,1.02684,-1.143255,0.93075,-0.25864999999999994,0.24273,-0.532405,-0.623155,-0.50876999999999994,1.86065,0.10339500000000001,-0.397265,-0.46502,0.97245,-0.032625000000000015,-0.751431,1.072195,-0.8959550000000001,0.561145,-0.16165000000000007,-0.582585,0.27291,-0.547188,-1.72145,1.61033,0.9219350000000001,-0.51075,0.19164500000000007,-1.50815,-0.05649500000000002,0.19259500000000002,0.251895,-1.552,0.55679,-0.9763999999999999,0.3481699999999999,-1.16133,-0.493741,-2.39415,-1.7868499999999998,-0.08381500000000003,-1.62115,0.846295,-4.3999999999999595e-4,-1.9915500000000002,-0.04997499999999999,0.045499999999999985,0.21495899999999998,-0.41040499999999996,-0.9143749999999999
ja,brilliant,N,-0.47206,-0.33138,-0.53026,0.10774,0.54037,-0.54782,-0.50177,0.88035,0.21458,0.76049,-0.8759,-0.072092,0.84734,-1.2128,0.45955,-0.47542,-0.82868,1.1997,-0.34636,0.67323,1.4434,-0.14609,1.4004,-0.089976,0.19374,1.1341,-1.1294,-0.37978,0.11878,-1.5097,1.9317,0.053845,-1.0737,0.10156,1.0734,0.16748,0.86499,0.12023,0.90583,0.78138,0.28039,0.97038,0.80249,-0.36197,0.059524,0.36667,1.5486,0.21453,0.84853,0.86282,0.24932000000000001,0.91335,0.45395,-0.22117,0.68461,0.72345,-0.26648,-0.70944,-0.16591,0.63014,-0.79477,-0.62309,-0.67069,-0.0012735,-0.89179,0.65717,0.05853,0.029152,-0.75562,0.65282,0.10425,0.054156,-0.10735,-1.1865,-0.20667,-0.69924,1.3957,-0.32744,-0.92693,-0.35667,-0.5274,-0.46,0.36513,0.36979,0.29718,-0.42268,0.30043,0.35887,-1.7893,0.34704,0.71546,-1.3644,-1.4191,-0.29642,-1.3994,0.14595,-0.21535,0.68639,0.15688,0.43046,-1.8335,-0.080506,1.2527,0.1133,0.73185,0.91832,-0.45402,1.3112,-0.14082,-0.12812,0.81296,0.35515,-0.14372,-0.93033,-0.1801,1.958,0.88683,-0.47817,0.54881,-0.42999,0.018183,0.38015,-0.072916,-0.47743,-1.0516,-0.013017,-0.87469,-0.52445,0.12579,-0.54919,-0.43046,1.458,0.5131,-1.0136,0.78681,-0.2676,-0.72391,-1.0487,-0.45117,-0.56132,0.13097,-0.25452,-0.25303,0.38796,-0.96216,-0.81119,-0.57123,-1.7773,-0.24698,-1.3701,-0.50434,-0.73693,0.7231,-0.059195,-0.090473,0.83932,-0.69335,-0.31108,0.38316,0.085587,-0.33125,0.6391,0.19382,-0.83459,0.53197,-0.97002,0.31027,-0.94062,0.031078,0.34105,-0.098416,0.7969,0.254,0.12162,0.63053,0.97023,0.10537,0.45076,-0.029393,-1.2296,0.05338,-0.4527,-2.3074,-0.75373,-0.63987,-0.028531,-0.63384,-0.21858,-1.4835,-1.5828,0.86814,-0.64567,0.14118,-0.27462,-0.72765,0.065519,0.3644,1.1537,0.89303,0.26371
ja,brother,N,0.39755999999999997,-1.0931,0.8706400000000001,-0.75188,0.89181,-1.85425,0.72507,-0.6836,-1.34735,0.283895,-0.66767,0.014789999999999998,-0.49566499999999997,-0.6658999999999999,0.272076,-0.568905,0.372145,-0.056035,-0.099834,-0.48940500000000003,0.8765149999999999,-0.73801,-1.2924,1.093635,0.87436,0.971805,-0.087252,-0.473452,-0.624705,-1.3955,0.73366,0.38226000000000004,-1.2308,-0.343005,0.98564,1.4586000000000001,0.42019799999999996,-0.7674449999999999,0.124665,-1.3791,0.03951,1.4007749999999999,0.6279750000000001,0.616425,-0.27322250000000003,0.46913,0.125251,1.42785,0.10175499999999998,0.39038,-1.52795,-0.8829899999999999,0.627845,0.7742100000000001,-0.51093,0.540945,0.115905,-0.12865749999999998,1.0699800000000002,1.70095,0.33586499999999997,0.50145,-0.22626000000000002,0.61509,-0.1779976,0.43449,-0.072565,0.33071,0.22705599999999998,-1.415,-1.12525,-0.80366,0.58032,0.751445,-0.09621199999999999,-0.827475,-0.26905,-0.8305549999999999,1.59975,-0.86623000000000006,0.48665995,0.07565849999999999,-0.050829999999999986,-0.29930500000000004,0.61078,-1.4762,-0.75846,0.9036299999999999,-0.74756,-0.8979550000000001,0.1047535,-0.73027,1.3620999999999999,-1.08813,1.5827499999999999,-0.598345,0.22089999999999999,1.028975,-0.13164800000000002,-0.130095,-0.127727,-0.24271,2.3234500000000002,-0.48865000000000003,1.085435,-0.815705,0.7457400000000001,0.6269549999999999,0.006209999999999993,0.30533,-0.419328,-0.49668,-0.27149,-0.151645,0.61695,-1.5201500000000001,-0.091889,0.064687,-0.38287,-0.671965,0.1085777,-0.32415,-0.77999,-0.37948499999999996,0.27847000000000005,0.4954245,0.10832800000000001,0.1291035,-0.136875,-0.172119,-0.240267005,0.9723,0.9456800000000001,-0.877045,0.6714150000000001,-0.12146699999999999,-1.66635,0.23976,0.74628,1.32605,0.977365,0.213004,-0.8264549999999999,0.8969050000000001,-1.14696,-0.96294,-1.08872,0.180135,0.22546499999999997,-1.27095,-0.6383350000000001,1.22875,-0.06171050000000001,1.07895,0.953185,0.24935000000000002,-1.106015,-0.12981499999999999,0.9011,1.124,0.10763,0.06143000000000001,-0.12781399999999998,-1.2832,-0.30515099999999995,-0.483475,0.413205,-0.481225,-0.33241,-0.465035,-0.46221,-1.061385,-0.1385295,-0.204615,0.27618000000000004,-1.170175,-0.37713699999999994,-0.0417,0.02063999999999999,0.142684,0.375765,0.27316,-1.90325,0.06468000000000002,-1.2596,-0.179955,-0.82796,0.013879999999999976,-1.66265,-0.44991000000000003,-0.374025,-1.1077,0.039359,0.196045,-0.8152950000000001,-0.48299499999999995,-0.938795,-0.048329999999999984,0.119755,-0.146896
ja,business,N,1.3852,-0.72732,0.22078,0.34931,0.31336,-1.0697,-1.4768,-1.5353,0.35406,-0.076797,0.74124,0.055801,1.8278,-1.1421,-0.19268,0.99331,-2.7909,-1.0301,2.6005,0.45201,1.7971,-0.73743,-0.76218,-0.63889,-1.1543,-0.042458,-0.79038,-0.42231,-0.55216,0.49206,0.75574,0.73031,-0.30618,-1.3403,1.9485,-0.22071,-0.26274,0.98773,0.5811,-0.73302,-0.20458,0.50726,0.70663,0.39136,1.6644,-1.3106,1.2054,0.56118,0.90016,1.6873,0.29864,1.7744,-1.0423,-0.99768,1.7721,-0.12675,-0.82807,-1.1694,0.3386,1.4727,-0.019654,-0.91656,-0.7333,-0.85594,0.67247,-1.6351,0.65775,1.0903,-0.024177,-0.63482,-0.92665,0.82741,1.0374,0.39311,-1.0376,-0.9423,1.2819,1.0811,0.36265,0.92037,1.4472,0.86572,-1.6847,-0.096757,1.0614,-0.51924,1.6907,3.155,-1.1628,-2.0459,0.49983,0.34339,-0.091067,1.6951,0.88488,-1.3357,-0.11081,0.56818,-0.89183,-0.75022,-0.16037,1.4916,0.31204,0.18518,0.52356,-1.188,1.1101,-0.92859,2.2681,0.65497,-0.84132,0.19593,-0.069016,-1.0015,0.16022,0.97104,-0.097303,0.28124,-0.46532,0.92177,-1.248,1.2063,-0.37626,0.16158,0.96185,1.093,-0.15939,-0.2677,-0.17443,1.2555,-0.29922,0.95983,-0.076496,-0.30755,-0.42179,-0.13403,0.88254,-2.5372,-0.043196,2.0548,0.82123,-0.033887,-0.37629,1.4221,-0.86401,-0.72196,-1.2556,0.22675,0.27343,0.055908,-0.038413,0.65417,1.5614,2.0129,-1.3997,0.14231,-1.1882,-0.53741,0.6311,-0.77409,-0.66033,-1.5754,-1.1607,1.2338,-0.67997,0.26123,-0.13705,0.31755,-0.20974,0.83846,-1.5375,1.1324,0.72513,-0.68615,-0.029877,0.57868,0.9406,-0.8042,1.3381,-0.24444,1.0838,0.23156,-1.1016,-0.46752,-0.22337,-0.67725,0.25105,0.7498,-1.557,0.023116,0.9073,-1.3944,0.62262,1.6775,-1.3265,-0.94091,0.693,0.98946,1.1525,0.21225
ja,career,N,-0.9657,-0.85509,-0.62785,1.3819,-0.18252,-2.9708,-1.9862,1.0268,-0.77887,-0.10608,1.1572,1.76,-0.52998,-0.47272,0.5263,-1.3769,-1.9452,-1.1198,-1.1311,-1.0019,1.0682,-1.5265,0.97432,-0.31441,1.0275,0.87795,0.74238,-1.0719,0.53071,-1.716,-1.1936,0.33533,-0.26142,-1.7217,-1.5861,-0.34174,-0.55575,0.43197,-0.10251,-0.65974,0.50032,0.6075,1.5675,0.84406,-0.65039,-0.081455,0.30177,0.018931,-0.57828,1.1628,-2.4349e-4,-0.15496,-0.71492,0.02863,0.61597,-0.41237,0.522,0.71879,-0.46518,1.7772,-0.49098,-1.9975,-0.058102,-0.49612,-1.1372,0.1434,0.37302,0.24151,-1.0225,0.73733,-0.47567,0.070838,-0.33242,-1.1969,-1.2114,-0.50969,1.6042,0.56356,0.75726,0.79869,2.7698,-3.2329,-0.1377,-1.1232,-1.3951,-1.3607,0.46244,1.9281,-1.1858,0.48062,1.1541,0.087179,-0.39341,-1.6239,1.3282,-0.033295,-0.71409,0.17566,1.4216,-0.57681,-0.46142,-0.088273,1.6132,-2.4197,1.7474,0.087436,-1.3128,-1.1607,-0.19472,0.16319,0.5374,1.6593,-0.83196,1.3022,-0.5626,1.7199,0.91196,-1.178,0.35708,0.50991,0.65879,1.2299,-0.42866,0.29148,0.87498,-0.16394,-1.6074,-2.1494,-1.1683,0.24833,-0.9352,2.7697,-0.87824,0.22468,0.40496,2.1485,-0.91048,-0.25009,-0.99325,1.1874,0.7846,0.97364,-0.94129,1.1527,0.027473,0.35353,-0.74454,-0.93331,-0.1147,1.6859,0.54504,-1.0558,0.93585,-0.88468,-0.55503,1.2081,-2.2887,-1.5505,0.18259,-0.85086,-0.26842,-2.8169,-0.51186,-1.6938,1.2751,-0.63234,-0.45003,-0.7157,-1.1168,1.0697,-1.5315,-0.21469,0.57734,-0.38464,1.3027,-0.2493,1.9997,1.1985,2.2905,1.3005,1.3835,1.8464,-0.9847,-0.21643,-1.4823,1.0775,-1.8509,-1.7138,-1.5134,0.30843,-0.26029,-1.5304,0.015014,1.4038,-1.3808,-0.64992,0.25288,-0.10499,0.0060257,0.49643
ja,children,N,0.9208,-0.83056,0.1159,-1.1446,1.1571,-1.0947,-0.99668,-1.9358,0.74775,2.3726,-0.29979,0.595,0.76341,-0.13815,0.93836,0.056704,-0.35873,0.63271,1.1892,-0.23852,0.23391,-1.1294,-1.1947,0.55594,1.7516,1.6369,0.68879,0.26546,-0.49121,-0.94775,-0.87133,1.5026,-0.68976,-1.5837,0.68241,0.84596,-0.51328,-0.93308,0.23815,-0.57886,0.80737,1.2017,0.7174,-0.59397,0.54224000000000006,-1.516,-0.70914,-0.59164,0.6489,0.62972,-0.2583,-0.2502,-0.29673,0.21331,-0.81222,0.18894,-1.1876,0.88136,1.2836,-0.50971,0.052353,0.35338,0.79771,0.41163,-0.42649,-0.42257,0.12313,-0.52962,1.2379,-0.25452,-0.1164,-0.76507,-0.22779,0.058306,-1.8477,0.13678,0.56853,-0.28472,1.5403,0.37178,1.0772,-1.4471,-1.5843,-0.26559,-0.4332,-1.006,0.14403,0.73671,0.44672,-0.87402,-0.67026,0.56563,1.5368,-0.66802,1.3321,0.45664,-0.035925,0.27152,-1.1701,0.0028282,0.25821,1.4579,0.1084,-1.2574,-0.16646,-1.4445,-0.15763,-0.042781,1.7943,-0.097212,0.33978,0.80955,-1.4829,-0.057261,-0.30351,0.47491,0.37444,-0.52853000000000006,-0.61118,-0.031829,1.1588,-0.50761,-0.52812,-0.002948,1.2606,0.090156,0.67658,0.75843,1.0924,1.496,-0.22714,-1.1833,-0.10588,-1.0113,0.78753,-0.35825,0.14657,0.014118,0.93,1.9009,0.68032,-0.018148,-0.82637,-0.19663,-0.83568,0.61568,-0.70918,-0.79895,-1.0826,-1.8874,-1.3691,1.2718,0.3602,1.9824,-0.60747,-0.24048,-0.67141,0.58142,-0.54206,1.029,0.21184,-1.3936,-0.3503,0.64147,0.92287,0.62575,1.0696,0.035228,0.63531,0.79703,-1.4798,1.5213,0.21092,-1.3987,2.4088,0.78142,-0.52079,0.23855,-1.1934,0.032913,1.8428,-1.0098,-1.3737,0.65993,-0.99331,1.0151,-0.42578,-0.4681,-1.1323,-0.048539,0.059545,-0.90145,-0.62782,-0.7992,-0.28252,-0.56539,0.52358,1.008,0.622,-1.3702
ja,corporation,N,0.37062,-1.4344,-1.5191,-0.87581,0.38983,-0.6556,-0.66361,0.55054,-1.3671,-1.3084,-0.35891,0.83341,-1.0958,0.28999,0.14395,-1.6069,-2.0491,1.5594,0.66314,0.80524,3.2412,0.78218,1.3206,-2.1161,0.85052,-0.22626,-0.20793,-0.56183,-1.6062,-0.79358,-1.6101,1.6889,1.5231,-3.604,2.3565,-0.31535,1.8453,-0.83532,0.34445,-2.9823,2.6245,0.73981,2.5213,2.5788,1.5206,-1.5198,2.019,-0.33794,1.5334,2.9314,-0.23,-0.1663,-0.94763,-0.39432,-0.81154,-0.68154,-2.2192,-3.6162,1.5795,1.3241,-0.37553,-1.7046,-1.451,-1.1715,-1.3085,0.6432,-0.27554,1.1793,-0.39652,-1.6983,-1.6612,-0.77035,-0.010225,0.17491,0.3733,-1.2243,-0.40099,0.95077,1.2486,-0.88267,-0.53307,-1.3485,-3.1163,0.85633,0.57227,-0.041037,2.1383,4.006,-2.8628,-1.7284,1.4464,2.0336,0.76601,1.4557,2.0785,2.9516,0.35801,0.31063,2.0315,-3.6981,-1.3287,-1.955,-1.3582,0.54952,0.051085,-1.4841,0.71224,-3.0521,1.0768,-2.6934,-0.44804,-1.739,-3.1337,0.18566,-2.4353,0.44131,0.27075,2.9092,0.39435,-0.050227,0.34899,-0.24073,-1.788,-0.62211,3.5496,0.94123,-0.54872,-0.83974,0.75357,1.411,-1.2552,0.5993,1.9895,-1.0795,1.1428,1.3933,2.1679,-3.5359,-2.0222,0.51783,-0.015415,-2.3696,0.52362,1.9365,-1.6606,-3.3052,-2.587,0.50398,1.9481,-0.48043,0.18511,1.2901,-0.5474,4.6867,0.33505,0.87103,0.48196,1.1099,-1.2935,-0.66959,-0.84203,-2.3768,-0.075012,1.2155,0.21711,-0.45413,0.15293,0.55739,-1.1475,-0.081431,-1.2727,2.4206,1.357,-3.0127,-1.4826,-0.51086,1.1154,-2.3277,0.87497,-2.3149,2.5888,-1.2116,-2.6553,1.7416,0.91552,-1.926,0.12504,0.21535,-2.065,1.6097,-1.0232,0.4594,-0.13938999999999999,-0.32803,-1.3052,-1.3752,0.72768,0.43165,-0.32303,1.0455
ja,cousins,N,0.6049766666666667,1.0029866666666667,-0.07006966666666667,-1.1494033333333333,0.8725266666666667,-1.2419333333333333,-1.0047570000000001,0.25192333333333333,-1.8725399999999999,0.4539666666666667,-0.5919503333333334,0.57827,-0.35442,-0.3383696666666667,1.6996333333333333,-0.4675433333333333,-0.63873,-0.15668666666666664,0.6597966666666667,-0.153942,0.14509666666666665,-0.6761433333333333,-2.301966666666667,-1.09758,0.6795033333333333,1.1548,0.7064533333333334,-0.8410433333333334,-0.338801,-1.5150566666666667,-0.38644,-1.0663433333333332,-1.1103633333333334,-0.9923666666666666,0.58672,1.0076133333333332,0.6230699999999999,-0.28538,-0.8411233333333333,-1.4240733333333333,0.2043482,0.6872566666666666,0.43084,0.12267000000000004,0.7697733333333334,0.3971733333333333,0.48804,0.7181566666666667,-0.464627,0.75869,-1.1146433333333332,-0.9658100000000001,-0.9982433333333333,-0.4353,0.7744966666666667,-0.55819,-0.6788233333333333,0.15352,0.6978066666666667,0.82795,0.18102000000000001,0.4620066666666667,0.23917,1.0766499999999999,-0.007157000000000001,0.21274833333333334,-0.30965666666666664,0.7918533333333333,1.2114,-0.38826333333333335,-0.25034,-0.29062666666666664,-0.5637366666666667,1.5227,-1.67697,-0.22476333333333334,0.08775666666666666,-1.6004266666666667,0.5557433333333334,-0.12075766666666667,0.20271333333333333,0.216605,0.598,-0.5406433333333334,0.4726533333333333,-1.10815,-0.49927666666666665,0.6089733333333334,-1.3325099999999999,-0.93814,-0.4405943333333333,0.5843646666666666,1.5723,-1.9921666666666666,-0.12100000000000001,-1.20332,0.3327133333333333,1.4632396666666667,0.5765933333333333,0.08361666666666667,-0.815827,0.03955333333333333,2.5299,-0.6201933333333334,0.77955,-0.7456766666666667,-0.17364000000000002,0.4839586666666667,0.62269,0.466678,0.10397,-0.018546666666666684,0.04111066666666667,-0.3020033333333334,-0.034936666666666664,-0.6471933333333333,-0.07948999999999999,0.12111333333333336,-0.10647666666666668,-0.75817,0.4132866666666667,0.7910166666666667,-0.025648,-0.40485533333333334,0.56544,-0.41647666666666666,0.953796,0.8271566666666667,-0.2475406666666667,-0.5825033333333334,-1.18839,0.48930999999999997,-0.2686733333333334,0.23588766666666666,1.2098333333333333,-0.68368,-0.8160366666666666,-0.22512333333333331,0.9327266666666666,0.4610266666666667,0.7350699999999999,0.24583333333333335,-1.1044633333333334,-0.4994,-0.4653733333333333,-0.8066183333333333,-1.0753933333333334,-0.4157833333333334,-0.023136666666666656,-0.7045963333333334,-1.0153866666666667,1.5297133333333333,-0.6385419999999999,1.8073666666666666,0.20565,-0.08622999999999997,-0.9654,0.163825,-0.6448386666666667,-0.2918226666666667,-1.4268,0.5321733333333333,-0.30904,-0.66286,0.31573999999999997,0.11409833333333332,0.7824266666666667,-0.22769666666666666,0.37006666666666665,-0.33532666666666666,0.016273333333333345,-0.30931230000000004,0.3165273333333333,-1.98,1.4782000000000002,0.4850366666666666,-0.5802766666666667,0.59682,-0.6693166666666667,-0.24337239999999996,1.1387466666666668,-0.4367933333333333,-1.14533,0.5398126666666667,-1.2956433333333333,-0.58809,-1.1644,1.36828,-1.5019733333333334,-0.3721966666666667,-0.5572606666666666,-1.3221966666666667,-0.49804800000000005,1.234,-0.5454933333333334,-1.01105,-0.7222733333333333,-0.4597013333333333,-0.12796333333333335,0.09867666666666668
ja,creative,N,1.1137,-0.010559,-0.1297,1.9996,0.48186,-1.565,-1.0179,-0.51479,0.11292,0.96639,1.0918,0.69613,0.42876,-0.060822,0.16837,-0.31382,0.14416,-2.2625,1.4452,-1.0028,1.8605,0.25838,-0.09212,1.1078,0.338,0.10566,-0.61103,0.22293,1.1942,-0.73645,0.50679,0.0086368,0.34878,-1.0574,0.62419,0.57892,-0.47344,0.060768,-0.26773,-0.76606,-0.20234,0.72797,1.6762,1.9411,-0.017544,0.31063,-1.7047,0.42237,-1.2271,1.5411,-0.96236,-0.41426,-0.58489,0.56036,1.3057,0.79928,-1.1563,-0.73716,-1.4945,-0.21183,-0.40515,-1.3268,-0.89195,-0.56156,-0.84699,1.64,0.9342,0.29074,1.2266,0.30225,-0.41903,1.0637,-0.27702,0.0038599,-1.1747,0.71846,-0.73621,0.98681,0.50667,0.57411,2.1322,-1.2383,0.012048,0.23711,0.58277,-0.67423,2.43,2.1019,-0.62478,-0.10094,0.33249,-0.65156,0.5054,-0.23034,-1.2842,1.2266,-0.032843,-0.47093,-1.235,-1.0476,-0.88073,-0.58008,0.46749,-1.2292,-0.42463,-0.6291,0.32954,-1.0862,-0.31423,-1.4922,0.40484,-0.19199,-0.015939,-0.34796,1.5946,0.37457,1.7442,-0.86047,-1.1281,1.2994,-0.098645,-1.0517,0.52436,0.33593,0.17208,1.0264,-1.4356,-1.6647,-0.63026,-0.31794,0.54796,0.060326,-0.60358,0.6318,0.32825,0.90956,0.26494,-1.0716,-0.5309,-0.67945,-0.27447,0.0094585,-0.73597,-0.15756,0.99317,0.7318,-1.0478,-0.94078,1.8999,-0.51007,0.67378,0.25239,-0.46891,0.79713,-1.0058,1.0152,-0.72801,-0.20862,-0.025247,0.20925,-0.24986,-1.0157,0.39329,-0.087423,0.27357,-0.63717,0.10855,1.5873,0.030681,-0.92665,-0.95505,-0.2108,0.015788,1.3267,0.66645,-0.24871,1.8842,-0.48642,1.6255,-0.55424,0.69062,-1.3767,-0.0201,-0.64324,0.064926,-0.57795,0.015607,-1.2254,-1.3022,-1.2251,-1.5221,-0.20432,1.14,1.0064,0.39571,0.010036,1.4033,0.45319,0.25504,0.21724
