language_code,wiki_native_gender_diff_score_fm_abs
ar,0.044346214189577945
da,0.07045813667263844
de,0.145959874185483
en,0.04297745256743686
es,0.05310424550843983
fa,0.027909614097623412
fi,0.032743837159215944
fr,0.03537245492245575
he,0.06987236191851598
hi,0.024346886728382672
hr,0.04972933984052031
id,0.015017133949234545
it,0.07092202394981695
ja,0.029437657927264313
ko,0.04456138227118303
ms,0.015373555631509127
nl,0.06432130153023011
no,0.06436830143747417
pl,0.08870502803284668
pt,0.07832047855798992
ro,0.06360459260001311
sv,0.059341216667633465
tl,0.01405907029733831
tr,0.01882656639344479
zh,0.03438348847751448
