language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
da,athlete,F,0.73833,-0.50087,-0.85979,-0.4347,-0.24003,0.34754,-0.80386,-0.39226,-0.29203,-0.21159,0.079252,-0.79238,0.4592,-0.56228,0.69427,0.37413,-0.87445,-0.38,-0.16044,0.55363,-0.91055,1.1428,0.058386,-0.94393,0.40651,-0.2995,-1.1946,-0.051059,-0.72254,0.23562,-0.1873,0.29769,0.29921,-0.22148,0.57216,-0.62752,0.76107,-0.24127,-0.36178,-0.047152,1.0996,1.3405,0.23187,0.50279,0.99782,0.41195,0.75882,-0.06456,0.31455,-0.18073,0.31731,-0.64229,0.80082,0.42692,-0.55153,-0.51654,0.65762,-0.20356,-0.32964,0.38007,-0.099478,0.96223,-0.1047,-0.5768,0.10096,0.29221,-0.010206,-0.92944,0.38816,0.041223,1.3991,0.11291,0.28292,-0.21855,0.36145,-0.1364,0.1404,0.84598,-0.57308,0.59954,0.16763,0.13705,-0.17199,-0.044976,0.76007,0.59309,-0.054817,0.51189,-0.34758,-0.22707,-0.45302,-0.70711,-0.43316,0.038949,0.31474,0.4063,1.2847,0.011354,-1.001,0.48463,0.46329,-1.0779,-0.29524,1.38,0.084619,0.048482,0.54878,1.3906,-0.18136,0.72498,0.20143,-0.19311,-0.19886,0.20576,0.17411,-0.86343,-0.37483,-1.2698,1.3408,0.16109,-0.17544,0.30937,-0.43293,0.31387,-0.89839,0.32509,-0.78824,0.67717,0.88362,-0.04685,-0.43846,0.17319,-1.0243,1.267,-0.044893,-0.19108,-0.46598,0.27932,0.15883,-0.013861,-0.37263,0.1159,0.57136,-0.67822,1.2001,0.62267,-0.10909,-1.0838,-0.2366,-0.45659,-1.1343,0.072855,0.085366,0.17702,-0.027063,-1.4715,-0.34983,0.31032,0.93255,0.26238,-0.4767,-0.60368,-1.055,-0.52272,-0.76358,-0.89259,-0.78636,0.68427,-0.95172,-0.24824,-0.84314,-0.32988,0.55754,0.18832,-0.32629,-0.32706,-0.024229,0.66668,-0.25352,1.5744,0.079502,-0.86769,-0.09382,0.86498,-0.094145,-0.6205,0.34059,0.2491,-0.68496,0.12782,-0.94395,0.14504,0.44616,-0.070325,0.37376,0.55326,-0.041763,-0.56601,-0.14174,-0.44216
da,athlete,M,0.73833,-0.50087,-0.85979,-0.4347,-0.24003,0.34754,-0.80386,-0.39226,-0.29203,-0.21159,0.079252,-0.79238,0.4592,-0.56228,0.69427,0.37413,-0.87445,-0.38,-0.16044,0.55363,-0.91055,1.1428,0.058386,-0.94393,0.40651,-0.2995,-1.1946,-0.051059,-0.72254,0.23562,-0.1873,0.29769,0.29921,-0.22148,0.57216,-0.62752,0.76107,-0.24127,-0.36178,-0.047152,1.0996,1.3405,0.23187,0.50279,0.99782,0.41195,0.75882,-0.06456,0.31455,-0.18073,0.31731,-0.64229,0.80082,0.42692,-0.55153,-0.51654,0.65762,-0.20356,-0.32964,0.38007,-0.099478,0.96223,-0.1047,-0.5768,0.10096,0.29221,-0.010206,-0.92944,0.38816,0.041223,1.3991,0.11291,0.28292,-0.21855,0.36145,-0.1364,0.1404,0.84598,-0.57308,0.59954,0.16763,0.13705,-0.17199,-0.044976,0.76007,0.59309,-0.054817,0.51189,-0.34758,-0.22707,-0.45302,-0.70711,-0.43316,0.038949,0.31474,0.4063,1.2847,0.011354,-1.001,0.48463,0.46329,-1.0779,-0.29524,1.38,0.084619,0.048482,0.54878,1.3906,-0.18136,0.72498,0.20143,-0.19311,-0.19886,0.20576,0.17411,-0.86343,-0.37483,-1.2698,1.3408,0.16109,-0.17544,0.30937,-0.43293,0.31387,-0.89839,0.32509,-0.78824,0.67717,0.88362,-0.04685,-0.43846,0.17319,-1.0243,1.267,-0.044893,-0.19108,-0.46598,0.27932,0.15883,-0.013861,-0.37263,0.1159,0.57136,-0.67822,1.2001,0.62267,-0.10909,-1.0838,-0.2366,-0.45659,-1.1343,0.072855,0.085366,0.17702,-0.027063,-1.4715,-0.34983,0.31032,0.93255,0.26238,-0.4767,-0.60368,-1.055,-0.52272,-0.76358,-0.89259,-0.78636,0.68427,-0.95172,-0.24824,-0.84314,-0.32988,0.55754,0.18832,-0.32629,-0.32706,-0.024229,0.66668,-0.25352,1.5744,0.079502,-0.86769,-0.09382,0.86498,-0.094145,-0.6205,0.34059,0.2491,-0.68496,0.12782,-0.94395,0.14504,0.44616,-0.070325,0.37376,0.55326,-0.041763,-0.56601,-0.14174,-0.44216
da,author,F,0.47645,0.27865,-0.71732,-0.33401,0.27503,0.19494,0.10772,0.26808,-0.1322,-0.13057,0.19287,-0.65093,-0.16588,0.15072,0.21365,-1.0843,0.26713,-0.67626,0.36779,-0.23125,0.74648,0.37438,0.11388,-0.18834,-0.2762,0.43379,0.34118,-0.039194,0.021658,-0.21602,-0.1468,0.48202,-0.043776,0.040887,-0.063758,-0.22476,-0.034052,-0.24647,-0.54523,0.2963,0.5761,0.66863,-0.27913,0.69857,-0.42592,0.22629,0.77244,0.47387,0.78586,0.24219,0.059599,-1.1609,-0.39257,0.33641,-0.069554,0.21565,-0.59571,0.035548,0.2299,0.10437,0.40875,-0.46286,-0.55647,0.27564,-0.59255,0.49244,0.46867,-0.61432,0.33308,0.24099,-0.16285,0.41872,-0.51853,0.13799,0.21178,0.46268,-0.44847,0.61308,-0.51241,-0.23174,0.59505,-0.063151,0.070188,-0.45704,0.14737,0.53209,-0.43907,0.19498,-0.56754,-0.18184,0.15606,0.36887,-0.37258,0.39415,-0.15236,0.36739,0.16119,0.66595,-0.77886,0.89483,-0.39774,0.25909,-0.14415,0.56657,-0.18238,0.36967,-0.33478,1.1769,-0.42159,-0.45189,0.22326,-0.35146,0.25099,-0.54903,-0.46877,-0.52351,-0.012589,-0.018983,0.48289,0.49264,0.13913,0.016507,-0.082973,-0.038477,-0.82138,-0.23438,-0.25856,0.096405,-0.66273,-0.50379,-0.075983,-0.023229,-0.76464,0.085102,-0.29241,-0.66207,-0.5772,0.18462,0.55018,-0.47374,-0.2735,-0.18966,-0.07834,-0.23832,0.73449,0.38023,-0.0060799,-0.056061,0.32591,-0.47179,-0.28981,0.87903,-0.43082,0.28389,-0.37062,-0.82346,0.58734,0.32825,0.025617,0.14353,-0.22447,-0.11868,-0.61821,-0.77774,-0.58861,0.056532,0.365,-0.78215,-0.55067,-0.42069,0.11162,-0.14451,0.11059,0.078028,-0.37442,-0.2776,0.2291,1.3529,0.42585,0.42039,-0.40849,-0.64702,1.1908,0.37301,0.32171,-0.45553,-0.19211,-0.18603,-0.24767,-0.14672,-0.057283,0.69284,0.47615,-0.52446,0.19812,0.25516,0.51236,0.26951,-0.22121,0.15552
da,author,M,0.87642,-0.057501,-0.82522,-0.17157,0.015868,0.277,-0.011888,0.22254,0.07683,0.026803,0.16235,-0.78309,0.27627,-0.10738,-0.0096189,-0.76544,-0.049988,-0.37542,0.61009,-0.38458,0.27248,0.60114,-0.16556,-0.23888,-0.22585,-0.0014336,0.026978,-0.28834,0.83453,-0.11673,0.012425,0.29494,0.10421,0.18296,0.14376,-0.51163,0.036651,-0.25942,-0.052705,0.30942,0.27771,0.90821,-0.78581,0.92574,-0.527,0.179,0.36682,0.32398,0.37872,0.58402,-0.037794,-0.65171,-0.33195,0.6706,-0.3472,0.19811,-0.58823,0.25524,0.47223,0.24425,0.22901,0.096539,-0.47109,0.58906,-0.050973,0.19095,0.55465,-0.31048,0.41271,0.096508,-0.061946,0.33462,-0.43682,0.06395,-0.026534,0.43634,-0.13298,0.79933,-0.41197,0.19487,0.98629,-0.031854,0.59159,-0.52377,-0.16804,0.96223,-0.35672,0.2322,-0.63603,-0.12538,0.28439,0.2187,-0.40525,0.3703,0.40377,0.16188,0.12991,0.49889,-0.98522,0.73431,-0.71806,0.12893,-0.19777,0.21505,-0.044774,0.042131,-0.43317,1.1983,-0.78882,-0.28621,0.35462,-0.005727,0.76321,-0.57345,-0.46625,-0.66099,-0.25922,-0.070197,0.14269,0.47459,-0.18078,-0.16909,0.033805,0.37783,-0.54577,-0.5735,-0.0882,0.38415,-0.015228,-0.54008,0.25244,-0.48652,-0.59238,0.41829,-0.46896,-0.26299,-0.28703,0.7085,0.30881,-0.29469,-0.52381,0.22865,-0.0015321,0.062188,0.61148,0.42583,0.13683,-0.18526,0.20828,-0.82425,0.045046,1.0029,0.28032,0.26188,-0.2063,-0.76598,0.62349,0.48158,0.1145,0.49379,-0.30391,0.2768,-0.97534,-0.87709,0.099008,-0.17043,0.10837,-0.12082,-0.47409,-0.16279,0.056324,-0.26664,-0.25797,0.39163,-0.2882,-0.32242,0.088168,0.89609,-0.37945,0.16877,-0.26214,-1.1321,1.5809,0.22865,0.2937,-0.6761,-0.19143,-0.32308,-0.12365,0.54032,-0.12056,0.099241,0.84584,-0.7688,0.44303,0.1314,0.28894,0.71848,-0.19061,0.28647
da,baker,F,-0.10383,0.75435,-0.27468,-0.21978,-1.1503,-0.29886,-0.33112,-0.32652,-0.075805,-0.50105,0.36659,-0.86564,-0.42501,0.29842,-0.32147,-0.044691,-1.0073,-0.21426,0.31555,-0.11774,0.159,0.88802,0.14625,-0.48207,0.13256,-1.0457,-0.19496,-0.52814,0.3665,-0.69703,-0.46284,-0.32762,0.50548,-0.61896,0.037305,-0.23688,0.50457,0.43074,-0.51966,-0.24053,-0.15671,0.082404,-0.29218,-0.62642,-0.75246,0.0068225,0.3847,0.26098,-0.13839,0.39999,0.35742,-0.2415,-0.067157,0.16335,0.27563,0.14719,-0.62644,0.24682,0.085074,-0.46899,-0.88681,-0.02985,-0.27885,0.57167,0.34731,-0.40103,0.36308,-0.18268,0.37962,-0.26155,0.72314,-0.81437,0.38034,0.41442,0.83377,-0.43425,1.1826,1.2878,0.27485,1.1484,0.061151,0.46987,-0.76712,1.307,0.62719,-0.45341,-0.27836,-0.66894,1.3422,0.76955,0.16019,0.039669,-0.010119,0.38549,0.20037,-0.0039888,0.72439,0.47827,0.12339,-0.18093,0.48854,-0.36189,0.58112,-0.0073497,-0.013258,0.43502,-0.43365,1.1412,-0.253,0.71639,0.038446,-0.76055,-0.29633,-0.79748,0.028418,-0.10421,-0.25656,0.93031,0.21852,0.40002,-0.041476,-0.12854,-0.22528,-0.44201,-0.48166,0.5326,-0.088957,-0.55667,0.43708,0.018272,-0.10475,-0.26894,0.090428,0.28108,0.059536,0.1543,0.14832,-0.21912,0.59828,0.33775,-0.32682,0.23029,-0.89986,-0.083336,0.83605,0.7282,-0.14887,0.80081,-0.50982,-0.15092,0.2176,2.2185,0.63212,0.02407,0.54646,0.47989,-0.16643,0.4141,-0.45403,-0.65052,-0.3012,-1.3084,-0.90293,-0.54015,0.011835,-0.38955,-0.42407,-0.44634,-0.059619,0.184,-0.27384,-0.30163,0.54388,0.79832,-0.33067,-0.20481,0.631,0.30637,0.79501,-0.18207,0.76635,-0.7789,0.44252,0.42294,-0.62904,0.073903,-0.98993,-0.26133,-0.19754,-0.35875,-0.01398,0.74982,-0.4582,-0.53086,-0.32992,-0.053869,0.1426,-0.15293,-1.0287,-1.0031
da,baker,M,-0.10383,0.75435,-0.27468,-0.21978,-1.1503,-0.29886,-0.33112,-0.32652,-0.075805,-0.50105,0.36659,-0.86564,-0.42501,0.29842,-0.32147,-0.044691,-1.0073,-0.21426,0.31555,-0.11774,0.159,0.88802,0.14625,-0.48207,0.13256,-1.0457,-0.19496,-0.52814,0.3665,-0.69703,-0.46284,-0.32762,0.50548,-0.61896,0.037305,-0.23688,0.50457,0.43074,-0.51966,-0.24053,-0.15671,0.082404,-0.29218,-0.62642,-0.75246,0.0068225,0.3847,0.26098,-0.13839,0.39999,0.35742,-0.2415,-0.067157,0.16335,0.27563,0.14719,-0.62644,0.24682,0.085074,-0.46899,-0.88681,-0.02985,-0.27885,0.57167,0.34731,-0.40103,0.36308,-0.18268,0.37962,-0.26155,0.72314,-0.81437,0.38034,0.41442,0.83377,-0.43425,1.1826,1.2878,0.27485,1.1484,0.061151,0.46987,-0.76712,1.307,0.62719,-0.45341,-0.27836,-0.66894,1.3422,0.76955,0.16019,0.039669,-0.010119,0.38549,0.20037,-0.0039888,0.72439,0.47827,0.12339,-0.18093,0.48854,-0.36189,0.58112,-0.0073497,-0.013258,0.43502,-0.43365,1.1412,-0.253,0.71639,0.038446,-0.76055,-0.29633,-0.79748,0.028418,-0.10421,-0.25656,0.93031,0.21852,0.40002,-0.041476,-0.12854,-0.22528,-0.44201,-0.48166,0.5326,-0.088957,-0.55667,0.43708,0.018272,-0.10475,-0.26894,0.090428,0.28108,0.059536,0.1543,0.14832,-0.21912,0.59828,0.33775,-0.32682,0.23029,-0.89986,-0.083336,0.83605,0.7282,-0.14887,0.80081,-0.50982,-0.15092,0.2176,2.2185,0.63212,0.02407,0.54646,0.47989,-0.16643,0.4141,-0.45403,-0.65052,-0.3012,-1.3084,-0.90293,-0.54015,0.011835,-0.38955,-0.42407,-0.44634,-0.059619,0.184,-0.27384,-0.30163,0.54388,0.79832,-0.33067,-0.20481,0.631,0.30637,0.79501,-0.18207,0.76635,-0.7789,0.44252,0.42294,-0.62904,0.073903,-0.98993,-0.26133,-0.19754,-0.35875,-0.01398,0.74982,-0.4582,-0.53086,-0.32992,-0.053869,0.1426,-0.15293,-1.0287,-1.0031
da,cleaner,F,-0.20955,-0.21774,0.32679,-0.29885,-0.20733,-0.13223,0.27227,0.23219,-0.57537,-0.33044,0.21136,-0.094416,0.25134,0.031138,-0.57359,0.0058529,-0.38102,-0.34507,-0.15818,0.40302,-0.1403,0.041317,-0.27052,-0.62623,0.57299,-0.73708,0.23628,-0.30116,0.019598,-0.27196,0.038417,0.14653,-0.21315,0.024668,-0.098465,-0.26508,-0.34797,-0.051196,-0.7435,0.47218,-0.14984,-0.19073,-0.026889,0.56313,-0.13147,-0.15057,-0.053182,0.36906,-0.20045,-0.28273,-0.52363,-0.085786,-0.055782,0.066645,-0.014364,0.23147,-0.24949,-0.48594,-0.22962,-0.55111,-0.099629,-0.20439,0.19906,0.509,-0.060518,0.4564,-0.011227000000000001,-0.14088,0.022679,-0.67589,0.45274,-0.2311,-0.088381,-0.34269,0.026334,-0.18927,0.23067,-0.12883,-0.18418,0.11537,-0.20863,0.070486,-0.07839,-0.042557,0.51007,-0.089431,0.49163,-0.41368,-0.047417,-0.27968,-0.11967,-0.022526,0.16942,0.029113,-0.0079381,1.2754,0.23322,0.14753,-0.49585,1.3281,0.87052,-0.2348,0.054035,0.19572,0.13573,0.79045,-0.75007,1.4378,-0.083687,0.53858,-0.13318,0.35998,-0.43453,-0.6855,0.23414,0.16928,-0.66611,-0.0057255,0.19552,0.16508,-0.27404,0.10876,-0.0033889,-0.45233,0.35205,-0.043397,-0.010126,-0.6186,-0.60023,0.27137,-0.20299,0.38063,0.17803,0.078676,0.10402,-0.54509,0.10148,-0.16518,0.44434,-0.25205,-0.2615,-0.25576,-0.37391,-0.36929,0.44689,0.74213,0.66137,-0.32062,-0.5814,-0.38957,-0.38265,0.51112,-0.097229,-0.20435,-0.062221,-0.60734,-0.16407,0.24162,-0.19184,-0.027289,-0.58596,-0.87282,-0.66141,-0.43968,-0.29468,-0.32967,0.70929,-0.19295,-0.21247,-0.045342,-0.13035,-0.34355,0.072573,0.45871,-0.087646,-0.24242,0.46061,1.2311,0.51425,0.021639,-0.034855,-0.051118,0.029874,0.01715,-0.28264,-0.14879,0.02185,0.24055,-0.49427,-0.10116,-0.12179,-0.30433,-0.22092,0.42287,-0.67796,-0.29754,0.25012,0.16167,-0.42135,-0.46448
da,cleaner,M,-0.20955,-0.21774,0.32679,-0.29885,-0.20733,-0.13223,0.27227,0.23219,-0.57537,-0.33044,0.21136,-0.094416,0.25134,0.031138,-0.57359,0.0058529,-0.38102,-0.34507,-0.15818,0.40302,-0.1403,0.041317,-0.27052,-0.62623,0.57299,-0.73708,0.23628,-0.30116,0.019598,-0.27196,0.038417,0.14653,-0.21315,0.024668,-0.098465,-0.26508,-0.34797,-0.051196,-0.7435,0.47218,-0.14984,-0.19073,-0.026889,0.56313,-0.13147,-0.15057,-0.053182,0.36906,-0.20045,-0.28273,-0.52363,-0.085786,-0.055782,0.066645,-0.014364,0.23147,-0.24949,-0.48594,-0.22962,-0.55111,-0.099629,-0.20439,0.19906,0.509,-0.060518,0.4564,-0.011227000000000001,-0.14088,0.022679,-0.67589,0.45274,-0.2311,-0.088381,-0.34269,0.026334,-0.18927,0.23067,-0.12883,-0.18418,0.11537,-0.20863,0.070486,-0.07839,-0.042557,0.51007,-0.089431,0.49163,-0.41368,-0.047417,-0.27968,-0.11967,-0.022526,0.16942,0.029113,-0.0079381,1.2754,0.23322,0.14753,-0.49585,1.3281,0.87052,-0.2348,0.054035,0.19572,0.13573,0.79045,-0.75007,1.4378,-0.083687,0.53858,-0.13318,0.35998,-0.43453,-0.6855,0.23414,0.16928,-0.66611,-0.0057255,0.19552,0.16508,-0.27404,0.10876,-0.0033889,-0.45233,0.35205,-0.043397,-0.010126,-0.6186,-0.60023,0.27137,-0.20299,0.38063,0.17803,0.078676,0.10402,-0.54509,0.10148,-0.16518,0.44434,-0.25205,-0.2615,-0.25576,-0.37391,-0.36929,0.44689,0.74213,0.66137,-0.32062,-0.5814,-0.38957,-0.38265,0.51112,-0.097229,-0.20435,-0.062221,-0.60734,-0.16407,0.24162,-0.19184,-0.027289,-0.58596,-0.87282,-0.66141,-0.43968,-0.29468,-0.32967,0.70929,-0.19295,-0.21247,-0.045342,-0.13035,-0.34355,0.072573,0.45871,-0.087646,-0.24242,0.46061,1.2311,0.51425,0.021639,-0.034855,-0.051118,0.029874,0.01715,-0.28264,-0.14879,0.02185,0.24055,-0.49427,-0.10116,-0.12179,-0.30433,-0.22092,0.42287,-0.67796,-0.29754,0.25012,0.16167,-0.42135,-0.46448
da,dancer,F,-0.14028,0.64887,-0.29155,-0.53122,0.283,0.06875,-0.33392,-0.38466,-0.46885,-0.47537,-0.23901,-0.79374,0.41396,0.87893,0.39263,-0.5212,0.6463,-1.4258,0.056392,0.13166,0.55602,0.70922,0.012653,-0.065977,0.43889,-0.49841,0.38223,-0.22262,-0.71531,-0.61396,0.024886,0.14431,-0.38028,-0.57264,-0.02334,0.51445,0.023499,0.13674,-1.033,-0.23083,0.036243,0.25485,0.67851,-0.63441,-0.25749,-0.056992,0.77364,0.056103,1.0182,0.35774,0.54473,-1.0853,-0.37977,0.20372,-0.17114,0.72677,-0.16819,0.014135,-0.24884,0.060403,0.45758,-0.89416,-0.2374,-0.040342,-0.55563,-0.0055063,0.44951,-0.50878,0.4015,0.10367,0.45546,0.14379,-0.026942,0.66727,0.3355,-0.69933,-0.3254,0.89957,-0.18653,0.049874,0.79071,-0.26914,-0.56905,-0.35258,0.71103,-0.14228,-0.13513,0.23896,0.096103,0.0098222,-0.47851,0.19804,-0.023529,0.069801,-0.51855,0.30565,-0.080166,0.61528,-0.04074,0.75436,-0.143,-0.59199,-0.17764,0.84906,-0.45972,0.48183,-0.22392,0.74846,-0.45785,-0.8234,-0.80302,-0.38226,-0.41746,-0.38538,0.17269,0.24702,-0.56064,0.28585,0.27204,0.6043,0.94767,0.16805,1.2779e-5,-0.064684,-0.38548,-0.14661,-0.53915,0.27869,-0.13201,-0.1227,-0.88073,-0.044631,-0.55524,-0.25633,-0.27103,-1.3581,0.54388,0.019264,0.89183,-0.65417,-0.1821,0.14449,0.71633,-0.35573,0.79791,0.62712,-0.35634,0.83652,0.57151,-0.33557,-1.0745,0.90014,-0.85699,0.31709,-0.026737,-1.0087,-0.43248,0.60216,-0.39442,-0.14946,0.14986,-0.36823,-0.64927,-0.77198,-0.72994,-0.16902,0.07189,-0.73682,-1.0707,-0.59426,-0.31854,-0.2664,0.48795,-0.098461,-0.77513,0.26223,0.22638,1.4966,1.4901,0.23161,0.08045,-0.60502,0.40349,0.26438,-0.18717,-0.2822,-0.56592,0.50199,-0.11495,-0.32709,0.12186,0.21558,0.23353,-0.98971,-0.57121,0.33677,0.43569,-1.1179,0.37684,-0.46221
da,dancer,M,-0.33085,0.22192,-0.30375,-0.98066,-0.15323,-0.03069,-0.47025,-0.73613,-0.48738,0.0017483,-0.38957,-1.4295,0.38615,-0.05582,-0.46408,-0.21666,0.27477,-1.2509,0.17006,-0.38534,0.81855,0.76279,-0.68232,-0.33597,0.53439,-0.33567,-0.13547,-0.3786,-0.33649,-0.55289,0.36171,0.33203,0.1682,-1.3498000000000001,-0.4265,0.883,0.49559,0.67719,-0.75135,-0.44618,-0.41113,-0.083358,0.88917,-0.25964,-0.039889,-0.14267,-0.22829,0.33529,1.0606,0.62912,0.649,-0.66332,-0.020267,0.37704,-0.52078,0.88941,-0.031466,-0.020385,-0.14651,0.24259,0.23176,-0.12731,0.15786,0.13003,0.20193,-0.84003,0.43491,-0.15606,-0.048722,-0.091993,1.3827,0.026742,0.34459,0.46544,-0.024092,-0.84584,0.0027964,0.77392,0.017802,-0.062063,1.2452,-0.0021845,-0.16954,-0.034316,0.39168,-0.53808,0.15059,0.24435,0.62462,-0.17541,-0.63012,1.0861,-0.1319,-0.068998,0.094563,0.14989,0.62202,0.59087,-0.44298,0.20253,-0.7173,-0.94379,-0.099688,0.40115,-0.91771,0.94364,-0.10965,0.59727,-0.24275,-0.76064,-1.0433,0.31791,-0.052894,-0.0034795,-0.19049,0.090594,-0.20918,0.48725,0.43693,0.42215,0.043977,0.017431,0.047034,-0.25103,0.22586,0.11138,-0.82367,0.046673,0.36445,-0.36601,-0.70944,-0.9742,-0.12257,0.12617,-0.23958,-0.94961,1.2228,0.17489,0.68104,-0.12802,-0.089967,-0.048384,0.76605,-0.62354,0.44148,0.79713,-0.014105,0.50127,0.49092,-0.0795,-0.92221,1.0931,-0.3934,0.13515,0.22011,-1.2909,-0.5797,-0.12528,-0.68248,-0.1121,0.47468,-0.12838,-1.0519,-0.18298,-0.60922,-0.60328,0.26749,0.26875,-1.087,-0.3148,-0.61267,-0.95026,0.45772,0.63425,-0.60424,0.12551,-0.64191,0.54541,1.0169,-0.010294,0.92023,-0.53715,0.30339,0.086133,-0.18877,-0.51593,-0.7292,0.57981,0.54569,-0.10104,-0.28393,0.37735,0.73247,-0.87523,-0.42991,0.32448,0.44785,-1.3691,0.013052,-0.14682
