language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
he,athlete,F,0.71014,0.052916,0.27584,0.11229,-0.48857,0.0017558,-0.948,-0.083725,0.34421,0.57835,-0.21162,0.71501,0.1402,0.13132,-0.37371,0.11627,0.8758,-0.58397,0.2692,0.087225,0.090612,-0.19031,-0.34172,-0.83632,0.36849,-0.34585,0.070914,0.087813,0.38297,-0.07355,-0.37555,-0.92637,-0.3577,-0.1833,0.24385,-0.42904,0.20178,-0.52156,0.47009,-0.69261,0.90659,0.10731,0.48185,0.22688,6.6702e-4,0.11427,0.48231,-0.36608,-0.26326,0.10203,-0.24446,-0.15639,-0.082203,0.93534,-0.99218,-0.21686,-0.0046125,-0.67881,0.16086,-0.0036445,-0.13038,-0.40573,0.77178,-0.52978,-0.75899,-0.77134,0.1001,0.77194,-0.82206,-0.014814,-0.25147,-0.42074,-0.11883,0.022084,-0.11972,-0.11684,-0.91891,0.12766,0.48054,0.65182,-0.46615,-1.191,-0.24961,-0.2372,-0.53189,-0.047914,0.70173,0.13858,0.10951,0.48347,0.16478,0.17761,0.10955,-0.30641,0.15012,-1.1552,-0.17971,0.11011,-0.65368,0.081053,-0.021694,0.76261,0.57066,5.5109e-4,0.43237,-0.25434,0.43597,0.6383,0.48783,0.30239,0.71962,0.55617,-0.39222,0.45896,0.17773,0.33725,-0.065151,-0.74773,0.15594,-0.2005,0.59975,0.39821,-0.39791,0.10675,0.43647,-0.54062,-0.58143,-0.6399,-0.72636,-0.011185,-0.4156,-0.72375,-0.55053,0.62053,-0.38749,-0.051898,0.040608,0.09473,-1.1767,0.40829,-0.12696,-1.0153,-0.93691,0.3103,-0.56998,1.2304,0.6892,-0.26085,-1.1083,0.60841,0.35501,-0.20411,-0.35856,-0.27941,-0.40769,0.28558,-0.29596,0.94175,0.63046,-0.12517,-1.1375,0.11198,0.013164,-0.66428,-0.093368,0.26804,-0.17422,-0.30963,0.53131,0.17546,-0.19945,0.41493,-0.11255,0.11996,-0.12635,0.23797,-0.29355,0.18337,0.40354,0.65483,0.092979,-0.014079,0.26406,-0.060879,0.27128,-0.30507,0.65667,-0.076602,-0.046354,0.45474,0.55319,0.41897,-0.051424,-0.19445,0.50244,0.23055,0.41225,0.2713,0.95825,0.060297
he,athlete,M,0.47691,0.024204,0.44311,0.62649,-0.01689,0.26488,-1.0625,-0.37248,-0.005913,0.52636,0.3447,0.40427,-0.31516,0.047499,-0.15184,0.1852,1.2094,-0.65463,0.21044,-0.075133,-0.32143,-0.59571,0.047085,-0.79195,0.64857,0.098502,0.12373,0.30646,0.16488,0.086177,-0.026243,-0.95642,-0.70006,0.15346,-0.075477,-0.47538,0.087176,0.37269,0.49454,-0.94503,0.67514,-0.5085,0.39223,0.41251,-0.080722,0.36787,0.16096,-0.18368,-0.34062,-0.085598,-0.42237,-0.21645,-0.093772,0.87603,-0.907,0.16066,0.063368,-0.81707,0.21593,-0.046762,0.46642,-0.012799,1.2571,-0.65774,-0.42327,-0.91858,0.021311,0.66324,-0.86828,-0.28413,-0.1394,0.051514,-0.010996,0.033457,-0.65331,-0.14536,-0.50756,-0.18126,0.6542,0.65561,-0.4599,-1.0529,-0.025752,-0.26948,-0.54292,0.032142,0.3682,0.4267,-0.12229,0.31138,-0.22029,-0.26605,-0.14668,0.1355,0.32215,-1.4731,0.11753,-0.004236,-0.013736,0.21727,-0.21446,0.41194,1.0932,-0.46519,0.20546,-0.023554,0.64643,0.83321,0.26642,0.47597,1.2781,0.88275,-0.3656,0.4872,0.59885,0.28452,-0.0078173,-0.76183,-0.1936,-0.41081,0.47515,0.11882,-0.23365,0.032235,0.9835,-0.59862,-0.54598,-0.6721,-0.72817,0.34886,-0.041771,-0.692,-0.32619,0.55863,0.059431,0.15133,0.18865,0.39449,-0.71893,0.37312,-0.22207,-1.3812,-0.68672,-0.0036959,-0.071703,0.71118,0.91552,-0.025422,-0.8722,-0.077675,0.43461,0.21079,-0.3973,0.30654,-0.52422,0.26912,0.50742,0.82892,0.93827,0.37555,-1.0791,0.31431,-0.38244,-0.58485,-0.40425,-0.40239,0.34986,-0.039576,0.3431,-0.050406,-0.26557,0.18223,0.66308,0.13905,-0.41442,0.42608,-0.40802,0.39984,0.8368,0.78813,0.39714,-0.12164,0.24783,-0.30524,0.19745,-0.73399,0.6415,-0.049151,-0.1932,0.35392,0.73586,0.41871,0.35891,-0.36816,0.46451,0.56224,0.34099,0.67365,0.32015,0.53628
he,author,F,0.063916,0.22617,0.49196,-0.069178,-0.24511,0.44003,-0.93451,0.44231,-0.026364,0.84051,0.0397,0.73774,-0.089193,0.037229,-0.32549,0.33276,-0.16407,0.068285,-0.37749,0.31709,0.32721,-0.0015708,-0.76773,-0.77054,-0.030553,-0.64875,-0.73143,1.424,0.97664,-0.051979,-0.39864,-0.75668,0.13787,-0.6372,-0.54291,0.15408,-0.0014097,-0.72445,-0.26133,-0.51367,-0.42725,0.65187,-0.049417,-0.3746,-0.32163,-0.10235,0.53807,-0.13304,0.016606,0.87958,0.18971,0.64949,0.312,1.154,-0.7332,-0.4678,-0.32914,-0.41123,-0.1836,0.10877,0.20171,-0.1663,0.44815,-0.67381,-0.5406,-0.52447,0.18377,-0.81126,-0.36121,0.4397,0.25405,-0.059729,-0.37791,-0.082836,0.022603,0.27432,-0.43081,-0.058805,-0.40869,0.076679,0.053877,-0.6461,-0.46422,0.4054,-0.52146,0.29969,0.031799,0.74795,-0.62327,0.67288,-0.085042,0.59484,0.21377,0.32298,0.72248,-0.014684,-0.68094,0.16528,-0.73037,0.064831,-0.01485,0.91469,0.021126,0.44287,0.3268,0.0082234,0.39603,1.0974,0.77172,0.59037,0.22068,0.30743,-0.26672,0.51155,-0.075435,-0.032705,-0.1483,-0.39017,0.23308,0.44722,0.29359,0.14903,-0.23517,-0.70332,-0.31021,0.43645,0.079687,-0.59985,0.014405,-0.61863,-0.45587,0.32775,-0.27907,0.17804,-0.37179,0.28238,-0.47187,0.006366,-1.1043,0.70305,0.071712,-0.3781,-0.15258,0.4221,-0.83036,0.5924,0.57149,0.15903,-0.67449,0.49008,-0.07391,-0.2513,0.0079297,-0.75088,0.11467,0.50372,-0.17562,0.35365,-0.12033,-0.37362,-0.61485,0.16913,0.32131,0.14548,0.41688,0.40427,0.15447,0.016027,0.95993,0.68805,-0.56385,0.65927,-0.072549,0.63361,0.68686,0.413,-0.29841,0.10561,0.21528,-0.59717,0.15867,0.31777,-0.61821,-0.04458,-0.21129,0.096827,0.54597,0.35416,0.40303,0.078715,0.39219,0.83082,-0.059987,0.0069025,0.063239,-0.7324,-0.63197,0.24123,0.43973,-0.01861
he,author,M,0.04687,0.085647,-0.20195,0.88735,0.68864,0.34568,-0.5312,-0.39984,-0.34883,0.6144,0.80802,0.22472,-0.32572,-0.11085,0.07315,0.34285,0.48021,0.29194,-0.039114,0.30998,0.1802,-0.55274,0.15489,-0.31232,-0.061308,-0.052588,-0.39622,0.19477,0.22103,-0.17467,-0.16176,0.049181,-0.69188,-0.59737,-0.58917,0.014446,-0.030154,-0.26098,0.085479,-0.43477,-0.83594,-0.51514,0.36799,0.074126,-0.34326,0.22901,0.10396,-0.41567,-0.30795,0.46754,-0.24493,0.10872,-0.0071826,0.70028,-0.048486,0.020459,-0.16468,-0.46471,0.38846,0.3457,0.57709,-0.41299,0.33909,-0.83717,0.22585,0.082928,0.35373,0.05344,0.46,0.72585,-0.048532,0.47372,-0.025434,-0.16881,-0.32421,-0.42289,-0.5338,-0.1361,-0.63843,-0.06827,-0.314,-0.26533,-0.23586,-0.104,0.20512,0.31395,0.073927,0.7126,-0.69753,0.37765,-0.1269,0.0099455,-0.27789,0.36667,0.27471,-0.75156,-0.15648,-0.10896,-0.65074,0.18363,-0.24334,0.50414,0.0049388,0.033981,0.40587,0.078492,0.36771,0.18521,-0.051456,0.21155,0.58117,0.58844,-0.57461,-0.17976,0.52278,-0.071696,-0.3351,-0.47695,-0.44118,-0.018931,-0.19298,0.3555,0.10924,0.17889,-0.2499,0.65576,-0.022772,0.032287,0.058491,-0.82745,0.079055,-0.3522,-0.5127,-0.43465,-0.50104,0.27916,-0.42141,0.054983,-0.91873,0.16732,0.70204,0.21496,0.013511,0.30921,-0.27176,0.64264,0.93737,0.65866,-0.95222,-0.053652,0.25722,0.099408,-0.16216,-0.3695,0.2113,-0.36516,0.09694,0.047742,0.13139,0.2472,0.017115,-0.21689,0.022993,0.42282,-0.43642,0.086872,0.21115,0.16292,1.2145,-0.11632,-0.1546,0.66031,0.2989,0.23677,0.44993,0.8715,-0.010811,0.11907,0.93048,-0.12185,0.38003,-0.31625,-0.58783,0.18222,-0.47638,-0.38671,0.48717,0.14916,0.58212,0.034262,0.011111,1.2216,0.29778,-0.38441,-0.33156,-0.3175,0.056643,-0.019254,0.17229,-0.0045612
he,baker,F,-0.10771,-0.14176,-0.36953,0.60269,-0.31787,0.011246,-0.59323,-0.37365,0.19739,0.70178,0.037681,0.093588,-0.49423,-0.29477,-0.25625,-0.31792,-0.10758,-0.46535,0.33413,-0.21983,0.48685,-0.50662,-0.32436,0.29197,0.40867,0.15374,-0.53589,0.21661,0.60394,0.01813,-0.24945,-0.4272,-0.5848,0.043624,0.029593,-0.29762,-0.2093,-0.32956,0.1247,-0.45262,-0.19718,-0.31481,-0.16939,-0.11523,0.087802,0.064375,0.53378,0.39675,0.15099,0.27035,-0.030454,-0.58306,0.12362,-0.34379,-0.38872,-0.61915,0.32366,0.19776,-0.3193,-0.38292,0.45594,0.20904,0.55944,0.049639,-0.33627,0.4193,0.11957,-0.26785,0.19608,0.021844,-0.11472,-0.077864,-0.49819,-0.33546,0.59137,-0.7882,-0.47595,0.099163,0.16566,0.21311,0.19722,-0.38204,-0.33968,-0.052591,0.030433,-0.087289,0.17335,0.17207,-0.10413,-0.03914,-0.7363,0.39071,0.34181,0.059565,-0.13169,-1.0493,-0.53573,0.41735,-0.27864,-0.55908,-0.33304,0.58768,-0.26711,-0.098933,0.81617,0.41837,-0.030767,-0.009631,0.015022,0.28694,0.71594,0.64795,0.33724,-0.39796,-0.52483,-0.61342,-0.16868,-0.42411,0.72527,-0.5843,0.34338,0.48141,-0.14477,0.29418,-0.36108,-0.30594,0.28332,0.019457,-0.1048,0.15953,-0.22256,-0.817,0.45459,0.41834,-0.23568,-0.26546,-0.069076,-0.38669,-0.46135,0.17324,-0.11951,-0.225,0.19095,0.055324,-0.010317,-0.089413,-0.025046,0.22531,-0.0855,0.98516,0.54983,0.11961,-0.7154,0.14609,0.19021,-0.72851,-0.43117,-0.12944,0.065305,0.28213,0.031129,-0.43425,-0.35353,0.22949,-0.6185,0.17923,0.64426,0.63502,0.82044,-0.45932,-0.12224,0.082497,-0.63086,0.22086,0.20761,0.15922,-0.64806,0.050261,-0.029141,-0.018021,0.18675,-0.088803000000000007,0.27539,0.72892,0.2937,-0.372,-0.16429,0.29795,0.31581,0.2325,-0.091283,0.33637,-0.41041,-0.36341,0.097446,-0.011991,-0.57211,-0.59693,0.49154,-0.59002
he,baker,M,-0.10771,-0.14176,-0.36953,0.60269,-0.31787,0.011246,-0.59323,-0.37365,0.19739,0.70178,0.037681,0.093588,-0.49423,-0.29477,-0.25625,-0.31792,-0.10758,-0.46535,0.33413,-0.21983,0.48685,-0.50662,-0.32436,0.29197,0.40867,0.15374,-0.53589,0.21661,0.60394,0.01813,-0.24945,-0.4272,-0.5848,0.043624,0.029593,-0.29762,-0.2093,-0.32956,0.1247,-0.45262,-0.19718,-0.31481,-0.16939,-0.11523,0.087802,0.064375,0.53378,0.39675,0.15099,0.27035,-0.030454,-0.58306,0.12362,-0.34379,-0.38872,-0.61915,0.32366,0.19776,-0.3193,-0.38292,0.45594,0.20904,0.55944,0.049639,-0.33627,0.4193,0.11957,-0.26785,0.19608,0.021844,-0.11472,-0.077864,-0.49819,-0.33546,0.59137,-0.7882,-0.47595,0.099163,0.16566,0.21311,0.19722,-0.38204,-0.33968,-0.052591,0.030433,-0.087289,0.17335,0.17207,-0.10413,-0.03914,-0.7363,0.39071,0.34181,0.059565,-0.13169,-1.0493,-0.53573,0.41735,-0.27864,-0.55908,-0.33304,0.58768,-0.26711,-0.098933,0.81617,0.41837,-0.030767,-0.009631,0.015022,0.28694,0.71594,0.64795,0.33724,-0.39796,-0.52483,-0.61342,-0.16868,-0.42411,0.72527,-0.5843,0.34338,0.48141,-0.14477,0.29418,-0.36108,-0.30594,0.28332,0.019457,-0.1048,0.15953,-0.22256,-0.817,0.45459,0.41834,-0.23568,-0.26546,-0.069076,-0.38669,-0.46135,0.17324,-0.11951,-0.225,0.19095,0.055324,-0.010317,-0.089413,-0.025046,0.22531,-0.0855,0.98516,0.54983,0.11961,-0.7154,0.14609,0.19021,-0.72851,-0.43117,-0.12944,0.065305,0.28213,0.031129,-0.43425,-0.35353,0.22949,-0.6185,0.17923,0.64426,0.63502,0.82044,-0.45932,-0.12224,0.082497,-0.63086,0.22086,0.20761,0.15922,-0.64806,0.050261,-0.029141,-0.018021,0.18675,-0.088803000000000007,0.27539,0.72892,0.2937,-0.372,-0.16429,0.29795,0.31581,0.2325,-0.091283,0.33637,-0.41041,-0.36341,0.097446,-0.011991,-0.57211,-0.59693,0.49154,-0.59002
he,cleaner,F,0.23335,0.3824,-1.1316,-0.11471,-0.069915,0.47574,0.24253,0.51787,-0.12502,0.98185,0.023623,0.36559,0.40438,-0.019611,0.23225,-0.063135,0.34055,0.23574,-0.0092191,-0.59515,0.64286,0.083043,-0.36742,0.48771,-0.098642,0.10385,-0.71394,0.22175,0.29856,0.54261,-0.15288,-0.43902,0.14994,0.49628,-0.58246,-0.51834,-0.24293,-0.5901,-0.075326,-0.24795,-0.53927,-0.10159,0.62483,-0.085395,-0.15015,-0.19056,0.53708,0.084963,0.20407,-0.1742,0.18444,-0.58081,-0.099401,0.010562,-0.18653,-0.94092,-0.18522,-0.55196,0.51513,-0.67301,-0.0037854,0.35443,0.11471,0.52735,0.21545,0.57088,0.29242,0.14068,0.041929,0.15875,-0.028378,-0.029236,-0.3874,-0.011081,0.66298,0.14225,-0.13773,0.37576,-0.55566,-0.11505,0.16208,-0.19472,-0.31983,-0.12438,0.26604,0.43275,0.45316,0.79555,-0.26779,0.65616,-0.0050945,0.58315,0.24342,0.19344,-0.14764,-0.61032,0.099132,0.44893,-0.47591,-0.74597,0.043882,0.86240000000000006,0.28124,-0.056728,0.12253,-0.35747,0.011898,0.67007,0.70169,0.32607,0.18882,0.79162,-0.17904,-0.40166,-0.55676,-0.07484,0.22654,-0.59111,0.37783,0.6666,0.32816,0.092745,0.34564,0.29054,-0.44181,-0.73039,0.57866,0.28202,-0.60269,-0.39968,-0.033639,-0.38693,0.2603,0.23547,0.4521,-0.38773,-0.0053368,0.51296,-0.5669,-0.19468,0.27657,-0.65421,-0.73737,0.35929,-0.55792,-0.45999,0.073429,-0.037942,-0.41431,0.0039781,0.13026,-0.64685,-0.3943,0.053104,-0.29674,-0.049977,0.048859,-0.21692,0.21975,0.089778,-0.059156,0.059621,0.081645,-0.24315,-0.44448,-0.13401,0.12408,-0.32484,0.82741,0.19398,-0.16863,0.58132,-0.13693,-0.081148,0.59613,-0.60027,-0.6359,0.65196,0.60713,-0.38415,-0.20906,-0.040211,0.53163,0.34209,-0.093784,-0.11304,0.045757,0.87926,0.80799,0.1289,0.27049,0.55565,-0.96145,-0.059618,-0.082668,-0.26651,0.0064508,0.014978,0.47439,0.097555
he,cleaner,M,0.23335,0.3824,-1.1316,-0.11471,-0.069915,0.47574,0.24253,0.51787,-0.12502,0.98185,0.023623,0.36559,0.40438,-0.019611,0.23225,-0.063135,0.34055,0.23574,-0.0092191,-0.59515,0.64286,0.083043,-0.36742,0.48771,-0.098642,0.10385,-0.71394,0.22175,0.29856,0.54261,-0.15288,-0.43902,0.14994,0.49628,-0.58246,-0.51834,-0.24293,-0.5901,-0.075326,-0.24795,-0.53927,-0.10159,0.62483,-0.085395,-0.15015,-0.19056,0.53708,0.084963,0.20407,-0.1742,0.18444,-0.58081,-0.099401,0.010562,-0.18653,-0.94092,-0.18522,-0.55196,0.51513,-0.67301,-0.0037854,0.35443,0.11471,0.52735,0.21545,0.57088,0.29242,0.14068,0.041929,0.15875,-0.028378,-0.029236,-0.3874,-0.011081,0.66298,0.14225,-0.13773,0.37576,-0.55566,-0.11505,0.16208,-0.19472,-0.31983,-0.12438,0.26604,0.43275,0.45316,0.79555,-0.26779,0.65616,-0.0050945,0.58315,0.24342,0.19344,-0.14764,-0.61032,0.099132,0.44893,-0.47591,-0.74597,0.043882,0.86240000000000006,0.28124,-0.056728,0.12253,-0.35747,0.011898,0.67007,0.70169,0.32607,0.18882,0.79162,-0.17904,-0.40166,-0.55676,-0.07484,0.22654,-0.59111,0.37783,0.6666,0.32816,0.092745,0.34564,0.29054,-0.44181,-0.73039,0.57866,0.28202,-0.60269,-0.39968,-0.033639,-0.38693,0.2603,0.23547,0.4521,-0.38773,-0.0053368,0.51296,-0.5669,-0.19468,0.27657,-0.65421,-0.73737,0.35929,-0.55792,-0.45999,0.073429,-0.037942,-0.41431,0.0039781,0.13026,-0.64685,-0.3943,0.053104,-0.29674,-0.049977,0.048859,-0.21692,0.21975,0.089778,-0.059156,0.059621,0.081645,-0.24315,-0.44448,-0.13401,0.12408,-0.32484,0.82741,0.19398,-0.16863,0.58132,-0.13693,-0.081148,0.59613,-0.60027,-0.6359,0.65196,0.60713,-0.38415,-0.20906,-0.040211,0.53163,0.34209,-0.093784,-0.11304,0.045757,0.87926,0.80799,0.1289,0.27049,0.55565,-0.96145,-0.059618,-0.082668,-0.26651,0.0064508,0.014978,0.47439,0.097555
he,dancer,F,0.89569,0.10903,-0.44768,-0.20047,-0.8791,0.70599,-0.48065,0.5941,-0.030585,0.85667,-0.298,-0.026652,0.87687,0.76102,0.089063,1.0861,0.065842,-0.21579,0.88026,-0.12295,0.55861,0.1755,-0.4132,0.025085,0.30564,0.22826,0.10484,0.79448,0.84372,-0.18389,-0.47066,-0.48326,-0.078526,0.10197,-0.15991,-0.25567,0.33005,-0.72187,-0.075899,-0.16895,0.30392,0.10933,-0.25502,-0.4475,0.08584,0.26478,1.0426,-0.044124,-0.76972,0.68929,0.16984,0.094862,0.10388,0.57208,-1.3622,-0.013022,-0.054501,-0.084774,0.30153,-0.71141,-0.11836,-0.29937,-0.17962,-0.75885,0.017149,0.36792,0.011504,-0.013857,0.062197,-0.13754,-0.2835,0.31863,0.091103,0.027759,0.054675,0.33717,-0.85413,0.39566,0.29601,0.61195,-0.69101,-1.1264,0.33886,-0.45718,-0.0014142,0.090258,-0.12277,0.10469,-0.11543,-0.15141,-0.5373,-0.28641,-0.14364,-0.068643,0.1694,-0.59608,-0.49205,0.29442,-0.3204,-0.37752,0.38291,-0.041274,0.48595,-0.42028,0.20967,-0.14076,-0.16711,0.89324,0.99046,0.15785,0.42484,0.38542,-0.22277,0.049977,-0.19721,0.86388,0.24725,-0.3193,-0.14657,-0.26715,0.57485,-0.13208,-0.65632,6.4195e-4,-0.43104,0.4919,0.29684,-0.56358,-0.27371,-0.36275,-0.76827,-0.42526,-0.53011,0.84348,-0.25369,0.58049,0.0028065,0.42752,-1.2311,0.070268,0.036255,-0.32688,-0.51095,0.20985,-0.15411,0.5596,0.48936,-0.54531,-0.19654,0.65192,0.095811,-0.36615,-0.6268,0.027863,0.16726,-0.088215,0.014901,-0.022534,-0.12673,-0.017381,-0.75679,-0.44448,0.33118,0.10607,0.55853,0.094418,-0.2609,-0.30979,0.097163,0.092343,-0.74838,1.0927,-0.14083,0.24492,0.63058,0.56233,-0.5554,0.45033,0.18508,-1.2331,0.62029,0.2611,-0.071414,0.45484,-0.044237,-0.47901,0.25192,0.035992,0.33857,0.57928,-0.21777,0.039092,-0.4273,-0.33279,-0.0013108,-0.36366,0.59546,-0.082492,1.0037,0.29605
he,dancer,M,0.29933,0.12622,0.26525,-0.10648,-0.40591,0.58893,0.10374,-0.225,-0.16726,1.3167,-0.28447,0.053333,0.20356,0.42878,-0.15931,0.70681,0.23298,-0.69209,0.62596,-0.80154,-0.041894,-0.21902,-0.18666,-0.39015,0.62321,-0.19378,-0.070428,0.92401,-0.15673,0.1407,-0.41888,-0.4819,-0.35454,-0.38011,-0.42765,-0.58106,0.078798000000000007,-0.27127,0.081007,-1.1723,-0.32469,-0.25013,-0.32941,-0.30745,-0.23323,0.14164,0.20087,-0.33112,-0.8301,0.56543,-0.023837,-0.043647,0.20087,-0.030926,-0.674,0.76063,-0.36334,-0.28519,0.20358,-0.094208,0.067228,0.065797,-0.18964,-0.61522,0.36822,0.7789,0.10646,-0.55167,0.60395,-0.68937,0.34672,0.023233,0.47394,0.28557,0.25679,-0.03587,-0.5898,0.24853,-0.063913,0.077485,-0.28414,-0.89286,0.3075,-0.58926,0.19435,0.021269,-0.23837,-0.56017,0.50498,-0.42368,-0.43427,-0.3923,-0.12363,0.58678,-0.033854,-1.3374,-0.31825,-0.53325,0.14368,-0.098122,0.15994,-0.19634,0.79429,-0.43598,-0.23577,0.015646,-0.17075,0.58037,0.89151,-0.090665,0.60481,0.48927,-0.98429,0.236,0.49222,0.15885,0.057414,-0.64419,0.056378,-1.0414,0.19306,-0.23243,-0.33001,0.43779,-0.12591,0.42889,0.19531,-0.12517,0.21676,0.32934,-0.7595,-0.57737,-0.32079,0.52185,-0.19653,0.54278,-0.15264,0.64833,-0.35846,-0.156,-0.11295,-0.29049,-0.3155,0.23929,0.45659,0.17049,-0.30549,-0.78274,-0.4492,0.34121,0.51941,-0.77977,-0.64508,0.91343,0.50791,-0.31282,0.58301,-0.16966,-0.13683,-0.0069499,-0.93181,-0.57379,0.52597,-0.52112,0.13596,-0.10739,-0.42773,0.13841,0.47689,-0.036013,-0.42309,0.80084,-0.17083,0.66368,0.77994,0.79492,-0.58181,0.8867,0.40167,-0.49968,1.0735,-0.79738,0.18337,0.18505,0.1027,-0.87688,0.82526,0.34016,0.42166,0.73426,-0.059694,1.2814,-0.30708,0.10673,0.46744,-1.1544,0.24034,-0.15787,0.44554,0.36714
