language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
hi,athlete,F,0.15738,0.107,-0.48219,0.56624,0.90037,0.41291,0.30078,0.4676,-0.73935,0.13565,-0.36527,0.49153,-0.97818,0.024317,0.16444,0.87661,0.3212,1.2705,0.63025,0.32207,0.58731,-0.36862,-0.2824,0.20954,-0.51899,0.52468,-0.26378,0.64208,0.81089,0.3009,-0.47739,-0.50878,-0.22495,0.47108,0.73648,-0.26679,-0.6702,0.41027,-1.0271,0.088691,0.10822,0.33245,0.022176,-0.82286,0.37987,0.65154,0.27545,-0.81885,0.31581,0.67823,0.29372,-0.2395,-0.76609,1.1331,-1.376,-0.50301,-0.30789,-0.21212,-1.1595,0.65824,0.018284,-0.9751,0.73994,0.77534,-0.28855,0.68395,0.72754,-0.040736,-0.53415,0.17726,-0.48455,-0.57789,0.28859,-0.23958,-0.53087,0.37143,-0.51693,0.49537,-0.34493,-0.63432,0.040872,-0.40047,-0.28648,-0.18669,-0.92281,0.21352,1.2093,0.090464,-0.18287,0.53442,-0.21379,-0.010036,-1.3995,-0.82753,-0.77874,0.22304,0.069896,0.96956,-1.0083,0.32056,-0.30131,0.6736,0.2761,-0.14595,0.24577,1.1436,-0.43533,1.487,0.31673,-0.046472,0.3888,-1.0891,0.33001,-0.60327,0.26776,-0.66023,-0.82908,0.086026,-0.89037,0.41766,0.13832,0.47531,0.33943,-0.42522,-0.34572,0.31538,0.29292,-1.0208,0.52152,0.2028,-0.80278,0.61599,0.27648,0.88144,0.021004,0.03004,0.65229,0.54917,1.2438,0.036309,-0.58697,-0.64607,-0.13512,-0.3581,0.57678,-0.71816,0.52783,0.56317,-0.56416,-0.98556,0.56643,0.74653,0.73447,0.12813,1.0367,-1.1596,-0.48976,-0.069951,0.22052,0.78755,0.092668,-0.070245,-0.04556,-0.27175,0.71365,-0.10307,0.45433,-1.2713,0.081509,1.0826,0.31771,-0.29054,-0.16703,-0.2225,-0.040141,-0.42301,-0.11638,-1.2503,0.12407,-0.24862,-0.98232,0.4561,-0.045598,-0.1901,-0.13837,-0.1073,-0.55993,-0.094964,1.3952,0.90426,0.48564,-0.5877,-0.94281,-0.33994,-0.1706,-0.65861,-0.028637,-0.64223,0.34738,0.92439
hi,athlete,M,0.15738,0.107,-0.48219,0.56624,0.90037,0.41291,0.30078,0.4676,-0.73935,0.13565,-0.36527,0.49153,-0.97818,0.024317,0.16444,0.87661,0.3212,1.2705,0.63025,0.32207,0.58731,-0.36862,-0.2824,0.20954,-0.51899,0.52468,-0.26378,0.64208,0.81089,0.3009,-0.47739,-0.50878,-0.22495,0.47108,0.73648,-0.26679,-0.6702,0.41027,-1.0271,0.088691,0.10822,0.33245,0.022176,-0.82286,0.37987,0.65154,0.27545,-0.81885,0.31581,0.67823,0.29372,-0.2395,-0.76609,1.1331,-1.376,-0.50301,-0.30789,-0.21212,-1.1595,0.65824,0.018284,-0.9751,0.73994,0.77534,-0.28855,0.68395,0.72754,-0.040736,-0.53415,0.17726,-0.48455,-0.57789,0.28859,-0.23958,-0.53087,0.37143,-0.51693,0.49537,-0.34493,-0.63432,0.040872,-0.40047,-0.28648,-0.18669,-0.92281,0.21352,1.2093,0.090464,-0.18287,0.53442,-0.21379,-0.010036,-1.3995,-0.82753,-0.77874,0.22304,0.069896,0.96956,-1.0083,0.32056,-0.30131,0.6736,0.2761,-0.14595,0.24577,1.1436,-0.43533,1.487,0.31673,-0.046472,0.3888,-1.0891,0.33001,-0.60327,0.26776,-0.66023,-0.82908,0.086026,-0.89037,0.41766,0.13832,0.47531,0.33943,-0.42522,-0.34572,0.31538,0.29292,-1.0208,0.52152,0.2028,-0.80278,0.61599,0.27648,0.88144,0.021004,0.03004,0.65229,0.54917,1.2438,0.036309,-0.58697,-0.64607,-0.13512,-0.3581,0.57678,-0.71816,0.52783,0.56317,-0.56416,-0.98556,0.56643,0.74653,0.73447,0.12813,1.0367,-1.1596,-0.48976,-0.069951,0.22052,0.78755,0.092668,-0.070245,-0.04556,-0.27175,0.71365,-0.10307,0.45433,-1.2713,0.081509,1.0826,0.31771,-0.29054,-0.16703,-0.2225,-0.040141,-0.42301,-0.11638,-1.2503,0.12407,-0.24862,-0.98232,0.4561,-0.045598,-0.1901,-0.13837,-0.1073,-0.55993,-0.094964,1.3952,0.90426,0.48564,-0.5877,-0.94281,-0.33994,-0.1706,-0.65861,-0.028637,-0.64223,0.34738,0.92439
hi,author,F,-0.383197,-0.42596500000000004,-0.37781000000000003,0.39715500000000004,0.3950655,-0.8921600000000001,0.51903,-0.38691,-0.6505340000000001,0.230155,-0.030100500000000002,0.02205195,-0.404745,-0.147285,-0.0643,0.6398250000000001,-0.47235499999999997,-0.64199,-0.035335000000000005,0.389645,0.76523,-0.07310000000000001,0.07758000000000001,-0.339115,-0.027435,0.266215,-0.25546,0.1631,0.3962,0.385595,0.54966,-0.67411,-0.27512000000000003,0.19002,-0.46537000000000006,-0.624825,-0.70314,-0.0063650000000000095,-0.326615,-0.005597999999999999,0.14322400000000002,0.7656299999999999,-0.978755,0.13231500000000002,-0.34926,0.34731,-0.182915,0.275565,0.8258099999999999,1.0172500000000002,-0.54794,0.1118465,0.00764345,0.133851,-0.13315500000000002,0.012035000000000018,0.323445,0.11666000000000001,0.540605,0.78087,-0.1828385,-0.406662,-0.29234000000000004,0.224995,-0.41701,0.42351,-0.4983065,-0.16159199999999999,0.244777,-0.10501000000000002,0.0292785,-0.288585,0.27554,-0.95708,-0.52172,0.30667,0.21281499999999998,-0.041694999999999996,0.002773500000000005,-0.24998499999999998,-0.37167500000000003,0.6285700000000001,0.41981,-0.14780500000000002,-0.10486,-0.34854,0.34906000000000004,0.691165,-0.027425000000000005,-0.07584,-0.43076499999999995,-0.29835,-0.17925075,-0.24333,-0.362185,0.360595,0.999315,0.20365499999999997,0.16630499999999998,-1.0037449999999999,-0.462785,1.3204500000000001,0.350685,-0.6897599999999999,-0.42229,0.30599,0.121371,-0.230625,0.032159999999999994,-0.0885495,-0.106495,-0.067579,-0.32588,0.41317499999999996,0.02597808565,-0.2797755,-0.234726,0.35729500000000003,0.2506065,0.0549859,0.18173,-0.5246299999999999,0.475964,0.35327000000000003,0.3599,-0.430335,-0.474105,-0.53187,-0.43572,-0.282625,-0.87707,0.1627055,-0.43814000000000003,0.435585,-0.194499,-0.14694000000000002,0.7471249999999999,0.78902,0.467905,0.1285685,-0.225972,0.62879,-0.1790785,0.282175,0.35131748,-0.5859300000000001,0.81927,0.26305,0.408485,0.47675999999999996,0.090305,0.07438,0.2897,-0.086625,-0.38646499999999995,-0.40273549999999997,-0.18647000000000002,0.176258165,0.47262,0.66803,0.412115,0.23379,0.0057900000000000035,-0.1287505,-0.08426499999999999,-0.53953,-0.428525,-0.38956,-0.6967749999999999,-0.31059149999999996,-0.57437,-0.005714999999999998,0.40268,-0.159111,0.021375000000000005,-0.15980250000000001,-0.54303,-0.200606,-0.2895675,-0.539595,-0.57109,-0.111857,0.04256,-0.7915449999999999,-0.873605,0.21870499999999998,0.2507,-0.1266215,0.36375650000000004,-0.136716,0.202405,0.36695500000000003,-0.61716,0.07770149999999999,-0.45158,0.0736675,-0.61807,-0.52544,0.403875,-0.1488365
hi,author,M,-0.383197,-0.42596500000000004,-0.37781000000000003,0.39715500000000004,0.3950655,-0.8921600000000001,0.51903,-0.38691,-0.6505340000000001,0.230155,-0.030100500000000002,0.02205195,-0.404745,-0.147285,-0.0643,0.6398250000000001,-0.47235499999999997,-0.64199,-0.035335000000000005,0.389645,0.76523,-0.07310000000000001,0.07758000000000001,-0.339115,-0.027435,0.266215,-0.25546,0.1631,0.3962,0.385595,0.54966,-0.67411,-0.27512000000000003,0.19002,-0.46537000000000006,-0.624825,-0.70314,-0.0063650000000000095,-0.326615,-0.005597999999999999,0.14322400000000002,0.7656299999999999,-0.978755,0.13231500000000002,-0.34926,0.34731,-0.182915,0.275565,0.8258099999999999,1.0172500000000002,-0.54794,0.1118465,0.00764345,0.133851,-0.13315500000000002,0.012035000000000018,0.323445,0.11666000000000001,0.540605,0.78087,-0.1828385,-0.406662,-0.29234000000000004,0.224995,-0.41701,0.42351,-0.4983065,-0.16159199999999999,0.244777,-0.10501000000000002,0.0292785,-0.288585,0.27554,-0.95708,-0.52172,0.30667,0.21281499999999998,-0.041694999999999996,0.002773500000000005,-0.24998499999999998,-0.37167500000000003,0.6285700000000001,0.41981,-0.14780500000000002,-0.10486,-0.34854,0.34906000000000004,0.691165,-0.027425000000000005,-0.07584,-0.43076499999999995,-0.29835,-0.17925075,-0.24333,-0.362185,0.360595,0.999315,0.20365499999999997,0.16630499999999998,-1.0037449999999999,-0.462785,1.3204500000000001,0.350685,-0.6897599999999999,-0.42229,0.30599,0.121371,-0.230625,0.032159999999999994,-0.0885495,-0.106495,-0.067579,-0.32588,0.41317499999999996,0.02597808565,-0.2797755,-0.234726,0.35729500000000003,0.2506065,0.0549859,0.18173,-0.5246299999999999,0.475964,0.35327000000000003,0.3599,-0.430335,-0.474105,-0.53187,-0.43572,-0.282625,-0.87707,0.1627055,-0.43814000000000003,0.435585,-0.194499,-0.14694000000000002,0.7471249999999999,0.78902,0.467905,0.1285685,-0.225972,0.62879,-0.1790785,0.282175,0.35131748,-0.5859300000000001,0.81927,0.26305,0.408485,0.47675999999999996,0.090305,0.07438,0.2897,-0.086625,-0.38646499999999995,-0.40273549999999997,-0.18647000000000002,0.176258165,0.47262,0.66803,0.412115,0.23379,0.0057900000000000035,-0.1287505,-0.08426499999999999,-0.53953,-0.428525,-0.38956,-0.6967749999999999,-0.31059149999999996,-0.57437,-0.005714999999999998,0.40268,-0.159111,0.021375000000000005,-0.15980250000000001,-0.54303,-0.200606,-0.2895675,-0.539595,-0.57109,-0.111857,0.04256,-0.7915449999999999,-0.873605,0.21870499999999998,0.2507,-0.1266215,0.36375650000000004,-0.136716,0.202405,0.36695500000000003,-0.61716,0.07770149999999999,-0.45158,0.0736675,-0.61807,-0.52544,0.403875,-0.1488365
hi,baker,F,0.23324,-0.59521,-0.47618,0.34684,0.34321,0.075302,0.4586,0.35722,0.60122,0.21562,-0.82312,0.3784,0.35421,0.2569,-0.058078,0.0079934,-0.54228,0.12164,0.18937,-0.022438,0.38793,-0.32776,0.61469,0.18143,-1.0138,-0.73494,-0.17521,0.48651,0.17187,-0.81251,-0.35949,-0.97024,-0.25164,-0.51748,-0.002872,-0.43316,0.72126,0.078004,-0.058247,0.13103,-0.15254,0.50684,-0.60594,-0.64566,0.23546,-0.56922,-0.94744,0.19363,0.19921,1.0001,0.4119,0.0049248,0.039358,0.15964,-0.47006,-0.3937,0.59353,-0.33954,-0.10468,0.26011,-0.47351,0.22514,0.089429,0.47915,-0.075894,-0.10303,-0.40828,-0.097819,0.51758,0.298,-0.023286,-0.4921,0.23021,-0.47264,0.83643,0.35231,-0.78419,-0.0024841,-0.38961,0.061835,0.62833,-0.083619,0.14604,-0.16638,-0.39071,0.19378,0.021672,0.26331,-0.068419,-0.0073611,0.21189,0.096414,-0.22482,-0.5536,0.62789,0.1498,0.77557,0.34235,-0.44919,0.067893,-0.39412,0.096065,1.2211,0.33048,0.08037,0.71868,0.57836,0.19197,-0.26635,0.1431,-0.58255,-0.12577,0.12254,0.19894,0.019346,0.20376,-0.26856,-0.19506,-0.20032,0.10382,0.13224,-1.0011,-0.061576,0.32285,-0.45964,-0.0083659,-0.90363,-0.21023,0.031181,0.30042,-0.059353,0.97611,-0.31211,0.59686,-0.43913,1.0004,0.37177,-0.46563,0.085762,0.3961,-0.60226,0.21715,-0.014053,0.11899,0.33283,-1.4128,0.16495,0.88345,-0.67891,-0.13188,-0.62991,-0.0326,0.88257,0.10148,-0.059201,-0.10724,-0.54274,-0.15134,0.50462,0.71257,0.28124,0.24493,0.41526,-0.72607,0.22566,-0.33521,-0.16146,-0.52429,0.36069,0.10759,0.15351,-0.33837,0.51784,-0.25038,0.55773,-0.11827,0.1143,0.14785,-1.2487,0.031041,-0.77322,-0.021218,-0.19556,-0.23894,-0.71741,0.81283,-0.84272,-0.4322,0.35703,-0.095303,-0.28265,0.091151,-0.7162,-0.40138,-0.11669,0.2028,-0.16919,0.77036,0.38924,0.14462
hi,baker,M,0.23324,-0.59521,-0.47618,0.34684,0.34321,0.075302,0.4586,0.35722,0.60122,0.21562,-0.82312,0.3784,0.35421,0.2569,-0.058078,0.0079934,-0.54228,0.12164,0.18937,-0.022438,0.38793,-0.32776,0.61469,0.18143,-1.0138,-0.73494,-0.17521,0.48651,0.17187,-0.81251,-0.35949,-0.97024,-0.25164,-0.51748,-0.002872,-0.43316,0.72126,0.078004,-0.058247,0.13103,-0.15254,0.50684,-0.60594,-0.64566,0.23546,-0.56922,-0.94744,0.19363,0.19921,1.0001,0.4119,0.0049248,0.039358,0.15964,-0.47006,-0.3937,0.59353,-0.33954,-0.10468,0.26011,-0.47351,0.22514,0.089429,0.47915,-0.075894,-0.10303,-0.40828,-0.097819,0.51758,0.298,-0.023286,-0.4921,0.23021,-0.47264,0.83643,0.35231,-0.78419,-0.0024841,-0.38961,0.061835,0.62833,-0.083619,0.14604,-0.16638,-0.39071,0.19378,0.021672,0.26331,-0.068419,-0.0073611,0.21189,0.096414,-0.22482,-0.5536,0.62789,0.1498,0.77557,0.34235,-0.44919,0.067893,-0.39412,0.096065,1.2211,0.33048,0.08037,0.71868,0.57836,0.19197,-0.26635,0.1431,-0.58255,-0.12577,0.12254,0.19894,0.019346,0.20376,-0.26856,-0.19506,-0.20032,0.10382,0.13224,-1.0011,-0.061576,0.32285,-0.45964,-0.0083659,-0.90363,-0.21023,0.031181,0.30042,-0.059353,0.97611,-0.31211,0.59686,-0.43913,1.0004,0.37177,-0.46563,0.085762,0.3961,-0.60226,0.21715,-0.014053,0.11899,0.33283,-1.4128,0.16495,0.88345,-0.67891,-0.13188,-0.62991,-0.0326,0.88257,0.10148,-0.059201,-0.10724,-0.54274,-0.15134,0.50462,0.71257,0.28124,0.24493,0.41526,-0.72607,0.22566,-0.33521,-0.16146,-0.52429,0.36069,0.10759,0.15351,-0.33837,0.51784,-0.25038,0.55773,-0.11827,0.1143,0.14785,-1.2487,0.031041,-0.77322,-0.021218,-0.19556,-0.23894,-0.71741,0.81283,-0.84272,-0.4322,0.35703,-0.095303,-0.28265,0.091151,-0.7162,-0.40138,-0.11669,0.2028,-0.16919,0.77036,0.38924,0.14462
hi,cleaner,F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hi,cleaner,M,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hi,dancer,F,0.52818,0.032956,-0.43849,0.6628,1.0967,0.22495,0.49515,0.67796,-0.45813,0.3215,0.49782,0.015203,0.66313,-0.23391,0.22521,0.071283,-0.20793,0.17316,-1.0519,-0.12912,0.66788,-0.071665,0.020689,0.31834,-0.69692,-0.29909,0.088715,-0.11653,0.45757,-0.11158,0.68154,-0.041189,-0.56455,0.91405,-0.13248,-0.1145,-0.63095,0.63302,0.31769,0.60581,0.28121,0.9262,-0.82398,0.15544,-0.11077,0.8213,-0.69809,-0.13577,0.26738,0.14107,-0.26648,-0.073405,-0.49676,-0.26441,0.45174,-0.64133,0.53007,-1.1251,-0.040605,0.50871,-0.025839,0.29061,-0.1066,1.3559,-0.27317,0.029195,0.57662,0.74719,0.06282,0.16599,0.50084,-0.68112,0.076185,0.3029,-0.33855,-0.44775,0.11395,0.23283,-0.45902,-0.070899,-0.09841,-0.24698,0.0021092,-0.20901,0.7629,0.23926,0.15845,1.0328,0.30388,0.45366,-0.45328,-0.23839,-0.1003,-0.38554,-0.39113,-0.041961,0.28639,0.81669,-0.2223,-0.1301,0.14596,0.18022,0.68768,-1.1017,-0.53009,1.0165,-0.10296,0.50265,0.23429,-0.25732,-0.023021,-0.2685,0.61367,0.33939,0.41432,0.099852,-0.33152,0.44749,0.16212,0.017282,0.11011,-0.059907,0.42225,0.41248,0.14266,0.34403,0.0031286,-0.98101,-0.65112,0.19175,-0.82545,0.57983,-0.31619,0.44934,-0.64618,-0.27472,0.33362000000000003,-0.19794,0.39276,-0.34259,-0.75059,-0.46233,0.15949,-0.24377,-0.33107,-0.86094,0.21254,0.58708,0.61207,-0.14594,0.52063,0.50725,0.31826,0.78041,-0.30966,-0.49149,-0.30139,-0.40907,0.29221,0.066607,-0.22711,-0.34344,-0.65405,-0.051718,-0.14707,0.13768,0.18243,0.32737,-0.11512,0.2191,-0.93049,-0.50959,-0.024114,0.25757,-0.44276,0.49772,0.99138,-0.10474,-0.20777,-0.1801,0.13284,0.28534,-0.50985,-0.75534,-0.34793,0.27406,-0.14887,0.0062263,0.11047,-0.53482,0.88455,0.38919,-0.7183,-0.028141,0.72999,-0.32081,-0.6678,-0.077827,0.45525,-0.54977
hi,dancer,M,0.52818,0.032956,-0.43849,0.6628,1.0967,0.22495,0.49515,0.67796,-0.45813,0.3215,0.49782,0.015203,0.66313,-0.23391,0.22521,0.071283,-0.20793,0.17316,-1.0519,-0.12912,0.66788,-0.071665,0.020689,0.31834,-0.69692,-0.29909,0.088715,-0.11653,0.45757,-0.11158,0.68154,-0.041189,-0.56455,0.91405,-0.13248,-0.1145,-0.63095,0.63302,0.31769,0.60581,0.28121,0.9262,-0.82398,0.15544,-0.11077,0.8213,-0.69809,-0.13577,0.26738,0.14107,-0.26648,-0.073405,-0.49676,-0.26441,0.45174,-0.64133,0.53007,-1.1251,-0.040605,0.50871,-0.025839,0.29061,-0.1066,1.3559,-0.27317,0.029195,0.57662,0.74719,0.06282,0.16599,0.50084,-0.68112,0.076185,0.3029,-0.33855,-0.44775,0.11395,0.23283,-0.45902,-0.070899,-0.09841,-0.24698,0.0021092,-0.20901,0.7629,0.23926,0.15845,1.0328,0.30388,0.45366,-0.45328,-0.23839,-0.1003,-0.38554,-0.39113,-0.041961,0.28639,0.81669,-0.2223,-0.1301,0.14596,0.18022,0.68768,-1.1017,-0.53009,1.0165,-0.10296,0.50265,0.23429,-0.25732,-0.023021,-0.2685,0.61367,0.33939,0.41432,0.099852,-0.33152,0.44749,0.16212,0.017282,0.11011,-0.059907,0.42225,0.41248,0.14266,0.34403,0.0031286,-0.98101,-0.65112,0.19175,-0.82545,0.57983,-0.31619,0.44934,-0.64618,-0.27472,0.33362000000000003,-0.19794,0.39276,-0.34259,-0.75059,-0.46233,0.15949,-0.24377,-0.33107,-0.86094,0.21254,0.58708,0.61207,-0.14594,0.52063,0.50725,0.31826,0.78041,-0.30966,-0.49149,-0.30139,-0.40907,0.29221,0.066607,-0.22711,-0.34344,-0.65405,-0.051718,-0.14707,0.13768,0.18243,0.32737,-0.11512,0.2191,-0.93049,-0.50959,-0.024114,0.25757,-0.44276,0.49772,0.99138,-0.10474,-0.20777,-0.1801,0.13284,0.28534,-0.50985,-0.75534,-0.34793,0.27406,-0.14887,0.0062263,0.11047,-0.53482,0.88455,0.38919,-0.7183,-0.028141,0.72999,-0.32081,-0.6678,-0.077827,0.45525,-0.54977
