language_code,word,gender,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201
sv,athlete,F,0.31981,-0.30717,1.1055,0.23579,-0.8084,-0.57786,0.15248,-0.33915,-0.16568,-0.8519,0.23499,0.10116,-0.3291,-0.092509,-0.13599,-0.36201,0.06576,0.78073,-0.43113,0.20258,-1.4762,-0.66663,0.066316,0.036952,0.66258,-0.13749,-0.20704,-0.44867,-0.37242,1.2394,-0.4157,1.0937,0.17133,0.28723,-0.41374,0.74963,-0.060112,-0.27104,0.1645,-1.095,0.57662,0.4059,-0.35866,-0.81976,0.52903,-1.1194,0.26042,-0.72515,-0.72,0.13525,0.44943,0.51692,-0.33989,-0.50873,-0.5247,1.1681,0.097193,0.027814,0.043304,0.14209,0.32165,-0.34182,0.70046,-0.78288,-1.1623000000000001,0.12881,-0.20893,0.24353,0.92015,0.029758,-1.7695,-0.28746,-0.020369,-0.2663,0.44725,1.2525,0.98653,-0.19292,-1.1761,0.53544,0.43891,-0.61423,-0.70127,-0.14988,0.30113,-0.30663,0.47135,-0.20738,0.77186,0.43072,-0.5018,-0.0038092,1.0097,0.05989,-0.64132,0.0082704,1.1208,1.03,0.95156,0.34922,1.0372,0.097893,-0.96337,0.33802,0.20276,0.086241,-0.78126,-0.058656,0.50564,-1.1535,0.81691,-0.095461,-0.13882,0.24041,-0.09044,0.33845,-0.74722,-0.15859,0.27361,-0.083927,0.99348,0.17683,-0.29469,0.58085,-0.7306,1.2045,-0.43357,-0.34109,-1.2179,-0.36258,0.13637,-0.065903,1.0057,-0.88487,-0.26689,0.75198,0.41652,-0.8151,-0.11813,1.506,-0.30206,1.0016,0.34433,0.092525,0.89683,0.0032989,0.44988,0.42986,-1.131,0.18713,-0.38569,0.0078392,1.1931,-0.63924,0.87765,-0.32425,0.59843,0.60892,-0.20014,-0.26906,-0.45155,0.14839,0.96994,-0.16446,0.87743,-1.0194,-0.6071,0.023462,-0.5843,-0.33043,0.66053,-0.033921,0.018793,0.93992,0.15243,1.1066,1.2499,0.15795,1.0224,0.64061,0.80011,0.9582,0.60412,0.8119,-0.44135,-0.23948,-0.65988,0.073198,0.70333,0.68667,0.19858,-0.3018,-0.57367,-0.24554,0.15877,1.2415,0.48417,0.031176,-0.92626,-0.83807
sv,athlete,M,0.31981,-0.30717,1.1055,0.23579,-0.8084,-0.57786,0.15248,-0.33915,-0.16568,-0.8519,0.23499,0.10116,-0.3291,-0.092509,-0.13599,-0.36201,0.06576,0.78073,-0.43113,0.20258,-1.4762,-0.66663,0.066316,0.036952,0.66258,-0.13749,-0.20704,-0.44867,-0.37242,1.2394,-0.4157,1.0937,0.17133,0.28723,-0.41374,0.74963,-0.060112,-0.27104,0.1645,-1.095,0.57662,0.4059,-0.35866,-0.81976,0.52903,-1.1194,0.26042,-0.72515,-0.72,0.13525,0.44943,0.51692,-0.33989,-0.50873,-0.5247,1.1681,0.097193,0.027814,0.043304,0.14209,0.32165,-0.34182,0.70046,-0.78288,-1.1623000000000001,0.12881,-0.20893,0.24353,0.92015,0.029758,-1.7695,-0.28746,-0.020369,-0.2663,0.44725,1.2525,0.98653,-0.19292,-1.1761,0.53544,0.43891,-0.61423,-0.70127,-0.14988,0.30113,-0.30663,0.47135,-0.20738,0.77186,0.43072,-0.5018,-0.0038092,1.0097,0.05989,-0.64132,0.0082704,1.1208,1.03,0.95156,0.34922,1.0372,0.097893,-0.96337,0.33802,0.20276,0.086241,-0.78126,-0.058656,0.50564,-1.1535,0.81691,-0.095461,-0.13882,0.24041,-0.09044,0.33845,-0.74722,-0.15859,0.27361,-0.083927,0.99348,0.17683,-0.29469,0.58085,-0.7306,1.2045,-0.43357,-0.34109,-1.2179,-0.36258,0.13637,-0.065903,1.0057,-0.88487,-0.26689,0.75198,0.41652,-0.8151,-0.11813,1.506,-0.30206,1.0016,0.34433,0.092525,0.89683,0.0032989,0.44988,0.42986,-1.131,0.18713,-0.38569,0.0078392,1.1931,-0.63924,0.87765,-0.32425,0.59843,0.60892,-0.20014,-0.26906,-0.45155,0.14839,0.96994,-0.16446,0.87743,-1.0194,-0.6071,0.023462,-0.5843,-0.33043,0.66053,-0.033921,0.018793,0.93992,0.15243,1.1066,1.2499,0.15795,1.0224,0.64061,0.80011,0.9582,0.60412,0.8119,-0.44135,-0.23948,-0.65988,0.073198,0.70333,0.68667,0.19858,-0.3018,-0.57367,-0.24554,0.15877,1.2415,0.48417,0.031176,-0.92626,-0.83807
sv,author,F,-0.68718,-0.56246,0.48172,0.016904,0.29982,-0.13662,-0.50729,-0.5061,0.18476,-0.29362,-0.099304,-1.3818,0.44879,0.13405,0.1492,-0.62483,-0.42224,-0.15402,-0.54785,0.14665,0.28734,0.022539,-0.71403,-0.10512,-0.91988,-0.18764,0.66901,0.29522,0.49139,0.38936,-0.10758,-0.10517,0.39738,0.4339,-0.38528,0.050981,-0.063478,-0.26639,0.25132,-0.61739,-0.25577,-0.21927,0.12196,0.092247,-0.15849,-0.49132,0.32533,-1.0091,0.033517,0.55784,0.26669,0.3779,-0.36448,0.087675,0.054368,0.030821,0.52078,0.7708,0.13773,0.068191,-0.32212,-0.96492,0.63558,0.077059,-0.86908,0.27172,0.32941,-0.70682,0.9429,-0.44266,-0.28388,0.19847,-0.45199,-0.24534,0.12641,-0.29362,0.42997,-0.75833,0.99242,0.47721,0.25703,-0.74402,-0.64846,-0.55401,-0.33775,0.24105,1.328,-0.097643,0.71961,0.66055,-0.34293,-0.026128,0.35085,-0.87357,-0.060474,-0.30939,0.49415,0.14999,-0.5456,-0.052333,-0.53107,-0.15294,-0.6278,0.64842,-0.6949,0.11768,-0.13725,-0.38943,0.39933,-0.85174,-0.3366,0.44664,0.61196,-0.29501,0.47106,-0.021372,-0.066685,0.84564,0.049559,0.37142,0.78347,-0.12191,0.69537,0.14848,-0.0046507,0.73631,-0.062137,-0.43611,-0.66639,-0.62289,8.279e-4,-0.71691,-0.1938,-0.51836,0.45219,0.46738,0.46684,-0.17398,-0.72118,-0.25864,0.73604,0.33142,-0.32171,0.40211,-0.027623,0.12822,-0.096924,-0.88293,-0.90002,0.57391,0.016537,0.19902,0.073291,-0.62336,0.3659,0.37595,0.10808,-0.16453,0.39554,0.093898,-0.16219,-0.13299,0.56533,0.12228,-0.36026,-0.17555,0.085482,-0.39744,0.26147,-0.60492,-0.0053975,0.11577,-0.0027507,0.41133,0.50872,0.35165,0.16224,0.020938,0.75903,0.47146,1.3105,0.18136,0.17134,0.17602,0.57902,-1.004,-0.18855,0.5589,-0.24157,0.76209,0.11975,-0.13984,-0.013831,0.31028,0.23182,0.14529,0.299,0.30734,-0.74853,-0.59017
sv,author,M,-0.4118,-0.33999,0.49306,0.24449,0.25662,-0.24517,-0.56283,0.43158,-0.41126,-0.29407,0.054488,-1.1997,0.17806,0.33133,0.057982,-0.26118,-0.7517,0.12196,0.022439,-0.15902,-0.67906,-0.84325,-0.6202,0.48573,-0.030833,0.16551,-0.013231,0.11804,0.89051,0.21953,0.069378,-0.097257,0.91161,0.50736,-0.22196,0.65257,0.027238,-0.08288,0.18845,-0.71709,0.10841,0.3853,0.6724,0.43977,0.11764,-0.16372,0.22921,-0.44377,-0.16045,0.11871,0.25286,0.80229,-0.93864,-0.30204,-0.22178,-0.38853,0.078981,0.47653,0.10076,0.79644,0.02303,-0.90081,1.5718,-0.13452,-1.0559,0.17908,0.23318,-0.50885,0.74427,-0.60853,-0.33674,0.14587,-0.0084908,-0.17671,0.19731,-0.15028,0.65312,-0.21643,0.59478,0.37714,0.11104,-0.74327,-0.56539,-0.52278,0.0016365,0.43956,1.0048,0.15878,0.43483,0.76881,-1.3689,0.15244,0.19301,-0.78045,-0.25623,-0.15878,0.44763,0.88647,0.23598,-0.11413,-0.5107,0.15861,-0.42951,0.19991,-0.53245,-0.090364,-0.31143,-0.41207,0.12341,-1.3737,0.12491,-0.015472,-0.36675,0.31532,-0.3092,0.50367,-0.21509,0.70785,0.26443,0.21612,0.3937,0.29236,0.65241,-0.24124,-0.1127,1.0755,0.020763,-0.61201,-0.79302,-0.87511,0.23613,-0.48976,0.34642,-0.2095,0.33909,0.91593,0.035951,-0.075686,-0.39592,-0.48267,0.14472,0.52339,-0.61503,0.5967,0.076622,-0.51539,0.043206,-0.36761,-0.49133,-0.14747,-0.1106,0.049787,0.40826,-0.71571,1.3372,0.096427,0.28662,0.061004,0.6262,-0.40463,-0.20069,0.44672,1.0618,0.61744,0.51906,-0.050596,-0.71414,-0.60551,0.3215,-0.4641,0.33953,-0.050542,0.37173,0.76281,0.47825,0.93128,0.23151,-0.12839,0.24008,0.64669,0.52552,1.0133,0.13379,-0.033318,0.43464,-0.5317,-0.22291,0.58711,-0.37602,1.3183,-0.11632,0.018983,0.15844,-0.24885,-0.1395,0.53035,0.24014,-0.076173,-0.65907,-0.55688
sv,baker,F,-0.93044,-0.74274,0.99806,0.76562,-0.066729,-0.99092,0.1111,-0.11828,-0.89913,-0.54873,0.078736,-0.17777,-0.25955,0.4359,0.53079,-0.21217,0.41118,0.35041,-0.47619,-0.048499,0.47563,0.23158,0.073357,-0.31325,0.099399,-0.21493,0.34012,0.011086,1.1531,0.10319,0.37256,0.27767,0.46862,0.64212,0.88424,1.0891,-1.2322,-0.67199,0.14511,-0.77431,0.84721,-0.79422,0.62954,0.18263,0.96062,-0.48836,0.65028,0.3523,0.27369,-0.10128,-0.43763,0.15941,-0.37256,-0.91341,-0.98165,0.082089,0.13298,-0.13829,0.12728,0.12282,-0.58531,0.11675,0.22149,-0.59149,-0.94145,-0.0049431,0.58568,-0.068911,0.89354,0.62771,-1.317,-0.12288,0.17996,-0.43686,-1.0175,0.43234,-0.87153,0.41117,-0.0063595,0.81229,-1.2493,-0.082133,-0.22179,-0.93897,-0.33786,-0.44462,0.73424,0.27385,-0.52977,0.25281,0.03792,-0.32489,-0.48633,-0.0774,-0.29575,-0.18873,-0.30014,0.50833,1.0195,-1.1062,-0.30434,0.33331,-0.82249,-0.037563,-1.1374,0.27851,-0.61953,-0.21684,-0.23778,-0.95915,0.56439,-0.68779,-0.94773,-0.055024000000000003,0.020953,0.55012,-0.049937,0.18595,0.21488,-0.15759,0.25094,-0.37789,0.056847,-0.36514,-0.14615,-0.15512,-0.58174,-0.15241,-1.1522,-0.48775,0.16213,-0.044714,-0.26028,-0.37632,0.46641,-0.4295,-1.4543,0.85957,1.2752,0.11682,-0.31218,-0.64807,-0.69228,0.85744,0.3099,-0.47076,-0.51176,-0.52129,0.08159,0.32455,0.41724,-0.65554,-0.88999,-0.44118,0.15539,-0.27118,0.12418,-0.86792,0.20369,-0.10269,0.16835,1.0333,0.72539,1.213,0.13579,-0.19513,0.063314,0.12423,-0.064674,-0.47904,0.67315,-0.13005,0.62805,0.65130999999999994,0.81986,0.7877,0.16488,-0.73042,-0.061128,0.28455,0.79991,0.67725,0.48391,-1.1108,0.77886,0.44506,-0.9201,0.36852,0.82487,1.4164,0.12521,0.15176,-0.46371,-0.68116,0.28522,0.56906,0.12073,-0.12212,0.70276,-1.1674
sv,baker,M,-0.93044,-0.74274,0.99806,0.76562,-0.066729,-0.99092,0.1111,-0.11828,-0.89913,-0.54873,0.078736,-0.17777,-0.25955,0.4359,0.53079,-0.21217,0.41118,0.35041,-0.47619,-0.048499,0.47563,0.23158,0.073357,-0.31325,0.099399,-0.21493,0.34012,0.011086,1.1531,0.10319,0.37256,0.27767,0.46862,0.64212,0.88424,1.0891,-1.2322,-0.67199,0.14511,-0.77431,0.84721,-0.79422,0.62954,0.18263,0.96062,-0.48836,0.65028,0.3523,0.27369,-0.10128,-0.43763,0.15941,-0.37256,-0.91341,-0.98165,0.082089,0.13298,-0.13829,0.12728,0.12282,-0.58531,0.11675,0.22149,-0.59149,-0.94145,-0.0049431,0.58568,-0.068911,0.89354,0.62771,-1.317,-0.12288,0.17996,-0.43686,-1.0175,0.43234,-0.87153,0.41117,-0.0063595,0.81229,-1.2493,-0.082133,-0.22179,-0.93897,-0.33786,-0.44462,0.73424,0.27385,-0.52977,0.25281,0.03792,-0.32489,-0.48633,-0.0774,-0.29575,-0.18873,-0.30014,0.50833,1.0195,-1.1062,-0.30434,0.33331,-0.82249,-0.037563,-1.1374,0.27851,-0.61953,-0.21684,-0.23778,-0.95915,0.56439,-0.68779,-0.94773,-0.055024000000000003,0.020953,0.55012,-0.049937,0.18595,0.21488,-0.15759,0.25094,-0.37789,0.056847,-0.36514,-0.14615,-0.15512,-0.58174,-0.15241,-1.1522,-0.48775,0.16213,-0.044714,-0.26028,-0.37632,0.46641,-0.4295,-1.4543,0.85957,1.2752,0.11682,-0.31218,-0.64807,-0.69228,0.85744,0.3099,-0.47076,-0.51176,-0.52129,0.08159,0.32455,0.41724,-0.65554,-0.88999,-0.44118,0.15539,-0.27118,0.12418,-0.86792,0.20369,-0.10269,0.16835,1.0333,0.72539,1.213,0.13579,-0.19513,0.063314,0.12423,-0.064674,-0.47904,0.67315,-0.13005,0.62805,0.65130999999999994,0.81986,0.7877,0.16488,-0.73042,-0.061128,0.28455,0.79991,0.67725,0.48391,-1.1108,0.77886,0.44506,-0.9201,0.36852,0.82487,1.4164,0.12521,0.15176,-0.46371,-0.68116,0.28522,0.56906,0.12073,-0.12212,0.70276,-1.1674
sv,cleaner,F,-0.46362,-0.031494,-0.40909,0.28781,-0.42461,-0.19325,-0.29642,0.21505,-0.0081927,0.48216,0.30076,-0.62263,0.1821,0.76846,-0.2986,-0.98232,0.043465,-0.75895,-1.2756,-0.10546,-0.0062137,0.61186,-7.6777e-4,-0.64821,-0.53686,0.17153,0.83835,0.44268,0.89912,-0.023436,-0.53382,0.050349,-0.12066,0.017223,-0.36153,0.10796,-0.40136,-0.093855,-0.23472,-0.50492,-0.40193,-0.63536,0.31607,0.40958,0.43683,-0.85348,1.1789,-0.44056,0.080554,1.0246,0.063196,0.27841,-0.68473,-0.1835,-0.65937,0.6083,0.20006,-0.43068,-0.62267,-0.10606,0.47919,-0.27266,0.34567,-1.1638,-0.040803,-0.93522,0.53206,0.19588,0.72564,0.5764,-1.2211,0.057498,-1.0313,-0.12222,-0.30151,-0.54951,-0.49741,0.15609,-0.24241,0.43682,-0.44892,-0.43212,-0.67121,-0.15958,-0.61706,0.12922,0.70148,0.26882,1.1041,0.36915,-0.50659,-0.10657,0.03901,-0.36514,-0.017601,-0.29675,0.33897,0.23705,0.4491,-0.47396,-0.011857,-0.19874,-0.49535,0.36712,0.55181,-0.12261,-0.59952,-0.77209,0.72993,0.69083,-0.050876,-0.57324,0.30562,-0.3114,0.11633,0.12747,0.084235,0.26602,0.25053,-0.060385,-0.55897,0.25225,-0.3567,0.13997,-0.19452,-0.37596,0.030494,0.31378,-1.369,-0.35526,0.053083,-0.48671,-0.7322,-1.0176,0.15233,-0.1851,-0.071748,-0.21205,-0.087022,0.22988,0.50812,-0.56362,-0.3609,0.74771,0.71953,-0.29511,0.26045,-1.0577,-0.94988,0.64834,0.032657,-0.1762,0.31499,-0.020257,-0.49709,-0.39593,0.6596,0.37389,-0.066356,-0.23008,0.064731,-0.47846,0.35041,0.93407,0.24368,-0.40588,0.042158,0.37657,-0.089434,-0.30351,0.14567,0.18007,1.0421,-0.20365,0.45891,0.62659,0.25261,-0.17146,-0.098173,0.39986,1.4394,0.87961,0.30361,-0.16206,0.1364,0.043586,-0.27867,0.89343,0.022392,-0.27674,0.58116,-0.42774,-0.64224,0.18742,-0.18317,-0.52876,0.27958,0.47732,0.14931,-0.34832
sv,cleaner,M,-0.60902,0.66377,-0.15997,-0.79534,-1.1027,-0.55653,-0.1079,0.34922,0.085105,0.14884,0.19863,-0.58017,0.60236,-0.2906,0.27212,-0.38497,-0.41832,-0.070166,-0.17108,-0.19761,0.60609,-0.4488,0.41403,-0.47208,-0.42024,0.19191,0.14938,-0.047385,0.5237,-0.64573,-0.49952,0.36239,0.068828,-0.014425,0.15564,-0.0038263,-0.68325,0.11763,-0.16638,-0.74065,1.0896,0.041524,0.8029,0.9705,0.33335,-0.52302,0.75496,-0.45813,0.07705,0.85776,-0.11411,-0.28487,-0.44108,-0.0062589,0.24693,0.22138,0.4427,-0.60452,-0.0077292,0.16065,-0.23515,-0.012953,0.25083,-0.8741,-0.32287,-0.20399,-0.19722,-0.54761,-0.23395,0.18046,-1.0831,0.055157,-0.37079,-0.43772,0.092621,0.013037,0.054014,0.57928,-0.47594,0.55256,-0.46877,-0.46942,-0.31651,-0.81668,0.045537,-0.34004,0.10062,0.23871,0.3917,0.09593,-0.018218,-0.28693,0.54812,-0.28525,0.060738,0.096801,0.35049,0.048434,0.7365,-0.56725,-0.39808,0.46856,0.33819,-0.45252,0.20137,-0.20183,0.18598,-0.3399,1.1296,-0.19067,0.052759,0.035761,0.073879,0.060062,0.24968,-0.16054,-0.01945,0.74592,-0.08507,-0.97429,-0.20312,-0.15084,0.29133,0.039283,-0.010078,0.28368,2.5745e-4,0.13146,-1.6559,0.16837,0.65182,-0.65501,-0.1344,-0.75482,0.53256,0.1232,-0.919,-0.58285,0.43121,-0.18725,0.16969,-0.24255,-0.3755,0.23902,0.89197,-0.79821,-0.173,-0.86917,-0.43123,0.33503,-0.31885,-0.43441,0.015423,0.010933,0.2427,0.21191,0.69714,-0.0050342,0.16062,-0.2828,-0.24595,0.033849,-0.32158,0.33727,0.37642,-0.92919,-0.31422,0.17056,-0.38717,-1.3965,0.19814,0.1491,0.35079,-0.28226,0.072033,0.97332,0.67888,-0.54303,0.22634,0.59639,0.67876,0.70929,-0.070396,-0.17063,0.042989,-0.6414,-0.81235,0.52249,0.13557,0.22481,0.26262,-0.30335,-0.13426,-0.043992,-0.50277,-0.10736,0.48174,-0.29002,-0.244,-0.74797
sv,dancer,F,-0.736315,-0.4799,0.24179,0.7293000000000001,0.199712,-1.2485,-0.049205,-0.37899449999999996,0.0024399999999999977,0.20106,0.25546,0.41613500000000003,0.838165,0.22908,0.6033850000000001,0.086244,0.50628,0.8348800000000001,-0.32009,0.1541215,0.8778250000000001,0.672925,-0.029422999999999998,0.113929,-0.7665150000000001,0.158,0.0024899999999999922,0.2913695,0.9909399999999999,-0.1846045,-0.06898,0.3685825,0.170637,0.27842999999999996,-0.604895,0.085619,0.227025,-0.38732999999999995,-0.0791485,0.53399,0.1387515,0.320225,0.32960500000000004,0.12019000000000002,1.012615,-0.45582,0.71696,0.12486,-0.2500245,-0.38269,-0.24884499999999998,-0.189975,0.69648,-0.540375,-0.015368499999999998,0.7743800000000001,-0.30502,0.3869,-0.135316,0.49060550000000003,-0.297222,-1.047715,0.5796399999999999,-1.395,-0.015531000000000003,-0.28604,0.6645800000000001,-0.1577175,0.657355,0.411945,-1.33775,0.11477700000000002,0.5245500000000001,-1.3924500000000002,0.1433685,0.058411000000000005,0.20947,-1.05165,0.628525,0.478635,-0.20074899999999998,-1.2416399999999999,-1.5138500000000001,-0.8215000000000001,0.470655,0.85932,0.293606,0.07827049999999999,1.09185,0.281445,-0.62668,0.2170125,0.56172,-0.2765325,-0.6255999999999999,-0.582975,0.740835,0.8459399999999999,1.63445,-0.753015,0.1334835,-0.41451,-0.36571,0.7740750000000001,-0.33208,-0.013550000000000006,-0.35631999999999997,-0.313444,-0.29653,-0.1266975,0.85212,0.62982,-0.4576185,0.31462,-0.21835549999999998,-1.2257,0.006574999999999984,0.064,-0.547565,0.464445,0.0194325,0.3559585,-0.5144949999999999,-0.43516,-0.60808,0.762885,0.5196500000000001,-0.145775,0.050751000000000004,-1.3354,-0.0342395,0.57438,0.07361,-0.07416999999999999,0.393635,-0.22454,-0.011099999999999999,-0.8035399999999999,-0.172735,0.7810849999999999,0.7636449999999999,-0.09162300000000001,0.878215,-0.2136195,0.6466799999999999,-0.076065,0.17217949999999999,-1.4196,-1.67855,-0.62307,-0.29177,0.32877500000000004,0.6702250000000001,-0.36336999999999997,0.380305,0.6534150000000001,1.947,-0.0676615,-0.259235,-0.1618985,-0.96873,-0.275515,0.27452849999999995,0.133845,0.0016555000000000007,-0.903945,-0.22521999999999998,-0.514825,0.42194,-1.3968,0.581,0.27527999999999997,0.37652,-0.541235,-0.019809999999999994,-0.191455,-0.16160015,-0.50445,1.0585149999999999,0.05112125,0.46351,0.07995,0.2800875,-0.0836355,0.10109,-0.8244549999999999,-0.274355,0.163715,-0.07563,0.407245,-0.70611,-0.526825,-1.7871,-0.01606000000000002,1.12035,-0.09252850000000001,-0.0506555,0.0872405,0.006620000000000015,-0.502815
sv,dancer,M,-0.43842499999999995,-0.523375,0.287605,0.622695,0.45909,-1.2537500000000001,-0.1669855,-0.34671949999999996,0.092195,0.009752499999999999,0.11535000000000001,0.35387,0.574595,0.15672260000000002,0.613385,0.14364500000000002,0.476275,1.022445,-0.2291575,-0.20866849999999998,0.9672799999999999,0.446025,-0.0479195,-0.028950000000000004,-0.54186,0.2836,-0.002485000000000015,0.15064450000000001,0.76094,-0.37064949999999997,-0.27335,0.51061,0.122727,0.32511,-0.5747899999999999,0.19074999999999998,0.2296,-0.14228705,0.16569,0.521355,0.104875,0.5559999999999999,0.491815,-0.1431535,0.8693200000000001,-0.46546,0.5130049999999999,0.214865,-0.01827000000000001,-0.20299875,-0.651355,0.1200551,0.4787,-0.7294,-0.049007499999999996,0.668865,-0.35937,0.16009,-0.17122,0.830295,-0.318782,-0.838465,0.89254,-1.1875,-0.31013,-0.25122,0.643825,-0.02702500000000002,0.59361,0.44127500000000003,-1.4375499999999999,-0.03305999999999998,0.47224,-1.5177,-0.1652515,0.15189,0.33986099999999997,-0.6575,0.503205,0.52799,0.029554999999999998,-1.20939,-1.4609999999999999,-0.8044250000000001,0.523,0.55311,0.16695100000000002,0.07010759999999999,1.1286999999999998,0.285005,-0.652005,0.2659925,0.536645,-0.3502925,-0.45526,-0.45587,0.7529049999999999,0.663535,1.70085,-0.60894,0.48691,-0.451155,-0.3911,0.684645,-0.37496999999999997,-0.018630000000000008,-0.22792,0.0224625,-0.341655,0.11716499999999999,0.895065,0.749645,-0.56288,0.39498,-0.27310999999999996,-0.9897499999999999,-0.0891345,0.190735,-0.429935,0.611575,-0.0857955,0.550425,-0.31021,-0.383175,-0.51886,0.532165,0.581285,0.010165000000000007,-0.0157475,-1.24365,-0.3521705,0.653915,0.100049,-0.08420999999999998,0.5862400000000001,-0.012487499999999999,-0.3085625,-0.662325,-0.31728999999999996,1.1434,0.615075,-0.03361885,0.48994000000000004,-0.662095,0.61778,-0.264971,0.1471295,-1.1897,-1.6498,-0.54838,-0.340565,0.20085,0.548575,-0.115915,0.47992,0.840525,2.0416499999999997,0.0773485,0.038860000000000006,0.1383865,-0.89328,-0.32922500000000005,0.3125283,0.32036149999999997,0.066383,-0.8843099999999999,-0.61051,-0.97248,-0.09310000000000002,-1.36615,0.74637,0.321565,0.0898805,-0.262765,0.127273,-0.32108000000000003,-0.04093115,-0.46085,0.75972,0.076213,0.17873,0.308904,0.2972325,-0.0422695,0.324715,-0.77471,-0.531505,0.165155,0.05763915,0.5734300000000001,-0.657575,-0.33984000000000003,-1.6076,-0.28275,1.0973,-0.041718500000000006,-0.0384635,-0.10446000000000001,0.157538,-0.52955
