"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1","Table 3 (continued)","","","","","","","","","","","","","",""
"2","","","Czech","","English","","French","","German","","Italian","","Norwegian","Slovak",""
"3","","","M N","(SD)","M N","(SD)","M N","(SD)","M N","(SD)","M N (SD)","","M N (SD)","M N","(SD)"
"4","Students","",".55 32","(.13)",".55 140","(.1)",".58 34","(.08)",".55 34","(.09)",".55 395 (.1)","",".57 29 (.07)",".56 30","(.12)"
"5","Sunbathers","",".8 36","(.16)",".68 143","(.13)",".6 32","(.24)",".64 38","(.14)","N/A","","N/A",".79 31","(.14)"
"6","Supervisors","",".34 37","(.16)",".45 141","(.13)",".39 27","(.14)",".34 35","(.12)",".37 411 (.16)","",".32 29 (.13)",".36 32","(.16)"
"7","Surfers","",".33 36","(.14)",".36 142","(.12)",".35 31","(.15)",".35 36","(.11)",".32 404 (.15)","",".3 28 (.11)",".23 30","(.15)"
"8","Surgeons","",".31 37","(.15)",".33 141","(.13)",".3 31","(.13)",".29 35","(.14)",".33 393 (.14)","",".3 30 (.12)",".3 28","(.11)"
"9","Suspects","",".34 36","(.16)",".36 139","(.13)",".36 34","(.12)",".33 36","(.13)",".37 402 (.14)","",".26 27 (.11)",".3 31","(.16)"
"10","Swimmers","",".46 37","(.09)",".49 139","(.12)",".44 31","(.1)",".47 31","(.09)",".47 407 (.1)","",".45 31 (.09)",".42 32","(.15)"
"11","Switchboard operators","",".58 34","(.23)",".52 142","(.2)",".56 34","(.16)","N/A","",".69 401 (.16)","",".7 29 (.16)",".7 30","(.2)"
"12","Synchronized swimmers","",".9 38","(.1)",".73 139","(.18)",".69 31","(.21)",".68 36","(.17)",".79 402 (.21)","",".78 31 (.15)",".84 31","(.18)"
"13","Systems analysts","",".24 35","(.12)",".33 141","(.15)",".23 30","(.1)",".31 35","(.12)",".36 396 (.16)","",".36 32 (.14)",".17 30","(.14)"
"14","Tailors","",".66 38","(.18)",".32 141","(.18)",".46 33","(.21)",".71 37","(.17)",".75 404 (.17)","",".49 28 (.2)",".84 31","(.16)"
"15","Tap dancers","",".54 37","(.21)",".64 138","(.16)",".56 33","(.2)",".55 36","(.15)",".5 405 (.18)","",".59 30 (.19)",".44 31","(.19)"
"16","Tarot card readers","",".82 33","(.16)",".73 145","(.16)",".59 35","(.26)",".74 37","(.14)",".77 402 (.18)","",".79 27 (.15)",".92 31","(.07)"
