country_code,country_name,wiki_language_code,gdi,gii,ggi,ggi_econonomic_participation_score,ggi_educational_attainment_score_ggi,ggi_health_survival_score,ggi_political_empowerment_score,sigi,sigi_fam,sigi_physical,sigi_son,wps,wb_cpia,gpi_schooling_gap_15,gpi_schooling_gap_25,gpi_literacy
AF,Afghanistan,fa,0.609,0.667,NA,NA,NA,NA,NA,0.3224,0.7316,0.55,0.4644,0.385,1.5,0,0,0
AR,Argentina,es,0.982,NA,0.735,0.616,0.995,0.98,0.35,0.0107,0.0809,0.0148,0.0691,0.715,NA,NA,NA,NA
AU,Australia,en,0.978,0.12,0.721,0.719,1,0.974,0.193,NA,0.1021,NA,NA,0.827,NA,NA,NA,NA
AT,Austria,de,0.957,0.078,0.716,0.65,0.987,0.98,0.246,NA,0,NA,0.1052,0.841,NA,NA,NA,NA
BE,Belgium,nl,0.978,0.073,0.745,0.731,1,0.974,0.275,0.0016,0.0038,0.0316,0.0824,0.846,NA,NA,NA,NA
BR,Brazil,pt,1.005,0.414,0.687,0.64,0.998,0.98,0.132,0.0458,0.2316,0.1226,0.0364,0.677,0,0.01,0.02,0
CA,Canada,en,0.983,0.098,0.731,0.732,1,0.969,0.222,NA,0.0194,NA,NA,0.854,NA,NA,NA,NA
CN,China,zh,0.954,0.164,0.676,0.656,0.967,0.919,0.162,0.131,0.2885,0.1246,0.5578,0.671,0,0.06,0.07,0
CO,Colombia,es,1.004,0.393,0.727,0.749,0.999,0.979,0.18,0.0862,0.1748,0.1567,0.0663,0.659,0,0.03,0.04,0
CR,Costa Rica,es,0.969,0.308,0.736,0.606,1,0.975,0.365,0.0506,0.2513,0.1544,0.0121,0.73,0,0.05,0.06,0
HR,Croatia,hr,0.997,0.141,0.7,0.672,0.995,0.979,0.154,NA,0.1121,NA,0.1002,0.804,NA,NA,NA,NA
CY,Cyprus,el,0.979,0.116,0.684,0.665,0.998,0.974,0.1,NA,0.0107,NA,0.0897,0.802,NA,NA,NA,NA
DK,Denmark,da,0.97,0.041,0.754,0.735,1,0.97,0.309,NA,6e-4,NA,0.0955,0.845,NA,NA,NA,NA
FI,Finland,fi,1,0.056,0.845,0.794,1,0.98,0.607,NA,0.0031,NA,0.0759,0.855,NA,NA,NA,NA
FR,France,fr,0.988,0.102,0.755,0.676,1,0.98,0.365,0.0034,0.1002,0,0.0828,0.817,NA,NA,NA,NA
DE,Germany,de,0.964,0.066,0.766,0.691,0.966,0.979,0.428,NA,0.0019,NA,0.0905,0.845,NA,NA,NA,NA
GR,Greece,el,0.957,0.119,0.68,0.649,0.987,0.979,0.104,NA,0.3889,NA,0.0872,0.76,NA,NA,NA,NA
HK,Hong Kong,zh,0.964,NA,NA,NA,NA,NA,NA,NA,0.0805,NA,NA,NA,0,0.02,0.08,0
HU,Hungary,hu,0.988,0.252,0.669,0.672,0.992,0.979,0.035,NA,NA,0.119,0.0948,0.739,NA,NA,NA,NA
IN,India,hi,0.819,0.53,0.683,0.408,0.95,0.942,0.433,0.265,0.644,0.3772,0.5415,0.58,0,0.16,0.18,0
ID,Indonesia,id,0.926,0.467,0.682,0.598,0.987,0.976,0.168,0.1532,0.5612,0.2511,0.3891,0.669,0,0.05,0.07,0
IE,Ireland,en,0.976,0.127,0.797,0.709,1,0.979,0.502,NA,0.0025,NA,0.072,0.823,NA,NA,NA,NA
IL,Israel,he,0.973,0.103,0.719,0.678,1,0.974,0.224,NA,0.1178,NA,NA,0.679,NA,NA,NA,NA
IT,Italy,it,0.963,0.085,0.719,0.574,0.995,0.974,0.331,0.0116,0.0025,0.1029,0.0966,0.79,NA,NA,NA,NA
JP,Japan,ja,0.97,0.116,0.66,0.569,0.99,0.979,0.103,NA,0.2053,NA,NA,0.798,NA,NA,NA,NA
