Appendix E												
"Mean rating and standard deviation of each role name split by language and by sex of participant, Study 2"												
												
	English				French				German			
	Males		Females (N=48)		Males		Females		Males		Females (N=32)	
	(N=3)				(N=33)		(N=34)		(N=27)			
	M	(SD)	M	(SD)	M	(SD)	M	(SD)	M	(SD)	M	(SD)
Actors	50	0	52.08	-17.86	50	-6.22	49.71	-7.58	50	-7.34	49.06	-6.41
Adolescents	50	0	53.13	-10.95	49.06	-6.41	46.67	-5.4	51.48	-9.07	48.06	-4.77
Apprentices	60	-17.32	65.42	-11.66	53.64	-9.94	57.06	-11.94	51.85	-7.86	50.63	-6.19
Archivists	66.67	-5.77	58.33	-15.89	49.03	-18.5	52.73	-17.55	58.15	-15.2	55	-15.66
Artists	50	0	52.71	-13.95	49.38	-12.94	51.18	-5.91	50.37	-8.98	51.88	-9.98
Assistant chefs	56.67	-20.82	58.75	-14.24	46.97	-20.69	52.12	-17.81	47.41	-18.52	50	-18.84
Astrologers	56.67	-20.82	58.51	-21.36	41.88	-27.64	41.47	-22.58	54.07	-25.76	55.63	-26.99
Athletes	53.33	-5.77	58.13	-10.85	55.16	-8.9	52.65	-7.51	57.41	-10.23	52.5	-7.62
Aupairs	20	-17.32	19.35	-16.52	50.94	-43.65	29.71	-34.16	52.22	-35.01	58.71	-37.22
Authors	53.33	-5.77	49.36	-10.51	57.27	-12.57	55.88	-12.34	50.74	-12.99	50.31	-6.47
Auxiliary workers	56.67	-20.82	54	-19.47	47.19	-14.42	41.18	-11.49	50.77	-11.29	53.75	-13.14
Bakers	63.33	-23.09	62.08	-18.45	70	-16.58	67.35	-14.42	62.22	-12.2	61.94	-14.7
Bank clerks	53.33	-5.77	54.68	-15.02	58.79	-18.33	55.88	-12.09	54.81	-15.78	49.03	-12.21
Bankers	63.33	-15.28	68.13	-14.09	70.61	-14.78	70	-15.37	71.48	-11.67	66.45	-12.53
Bartenders	46.67	-5.77	57.23	-15.28	53.94	-25.49	61.76	-15.66	53.33	-19.42	57.81	-14.97
Beauticians	20	-17.32	12.83	-10.47	13.33	-10.8	12.65	-12.63	15.19	-10.87	15.16	-11.22
Birth attendants	30	-17.32	30.87	-18.24	17.88	-15.76	16.18	-12.06	16.3	-11.49	20.94	-16.73
Bosses	66.67	-20.82	64.17	-12	81.21	-12.93	73.53	-16.49	70.74	-10.35	68.44	-12.98
Boxers	73.33	-15.28	87.08	-15.43	86.36	-12.7	85.29	-10.8	81.11	-12.51	82.5	-12.95
Bricklayers	76.67	-15.28	88.96	-10.77	94.55	-7.11	91.76	-9.99	85.93	-7.47	86.25	-9.42
Butchers	76.67	-15.28	73.13	-22.61	83.64	-14.1	83.53	-10.98	81.85	-10.39	82.81	-11.14
Campers	56.67	-5.77	55.11	-11.4	62.12	-14.09	54.12	-6.09	56.3	-11.49	56.25	-9.07
Caretakers	56.67	-35.12	68.72	-20.92	81.88	-13.55	78.82	-13.66	75.93	-14.21	75.16	-12.88
Carpenters	73.33	-15.28	75.63	-18.44	91.52	-7.55	88.24	-18.5	75.19	-19.09	70.32	-22.13
Cashiers	40	-17.32	33.26	-15.21	25.15	-18.56	26.47	-16.49	37.04	-18.77	31.56	-15.89
Chemists	70	-26.46	66.81	-17.33	64.24	-13.93	62.73	-15.87	68.89	-12.51	72.26	-11.75
Chocolate lovers	36.67	-5.77	28.75	-15.8	35.15	-16.23	38.24	-12.18	45.19	-14.24	38.75	-19.13
Cinema goers	46.67	-5.77	46.6	-8.41	48.18	-12.11	48.18	-4.65	47.78	-8.92	46.56	-7.45
Cleaners	23.33	-15.28	25.42	-13.36	20.63	-17.22	22.65	-20.64	30.37	-19.51	26.56	-14.28
Climbers	60	-10	68.48	-11.92	66.67	-13.39	62.35	-14.37	61.85	-13.6	63.87	-13.08
Comedians	60	-10	61.46	-17.26	49.39	-7.48	50	-6.51	60.37	-11.26	63.13	-13.78
Composers	56.67	-23.09	65.63	-15	68.44	-17.43	66.76	-15.32	70	-13.87	71.88	-14.91
Computer specialists	80	-17.32	70	-20.53	77.81	-9.41	77.88	-12.44	68.52	-13.22	74.84	-10.61
Concert goers	53.33	-5.77	48.13	-9.82	50.91	-15.49	52.73	-9.77	49.26	-10.72	47.5	-9.84
Cooks	63.33	-25.17	43.96	-18.19	66.97	-15.91	65	-14.82	60.37	-10.91	65.16	-14.35
Craftsmen	70	-20	74.58	-18.33	69.06	-17.66	65.15	-16.03	76.3	-12.76	78.71	-12.04
Curators	60	-17.32	56.88	-21.65	62.12	-16.73	63.53	-15.93	60.74	-12.99	56.88	-12.81
Customs officers	63.33	-23.09	65.63	-13.03	77.88	-11.66	82.35	-12.81	74.81	-8.93	77.5	-11.07
Cyclists	53.33	-5.77	56.67	-13.58	72.73	-16.82	69.71	-12.18	57.04	-14.09	56.25	-13.38
Dancers	40	-10	33.13	-14.75	30	-14.59	32.06	-13.66	37.78	-13.96	39.06	-12.54
Deans	70	-10	73.13	-14.32	62.12	-22.61	68.24	-22.22	72.59	-14.03	74.38	-12.94
Dentists	63.33	-15.28	62.71	-12.84	67.19	-17.46	69.12	-13.79	65.56	-11.55	67.19	-15.91
Dieticians	40	-10	34.38	-15.83	29.7	-17.59	29.12	-11.64	33.7	-15.73	28.13	-15.54
Doctors	56.67	-20.82	61.09	-9.71	66.67	-14.51	59.41	-12.54	67.04	-10.68	64.84	-12.35
Dressmakers	33.33	-11.55	22.29	-13.88	38.75	-25.87	35.59	-16.18	28.52	-11.34	28.44	-15.89
Drivers	73.33	-15.28	63.33	-19.06	61.52	-15.84	55.88	-10.76	57.78	-10.86	52.5	-7.18
Electricians	66.67	-25.17	80	-17.5	83.55	-13.3	85	-11.35	74.07	-12.17	81.88	-8.59
Engineers	80	-10	76.81	-13.37	75.76	-12.51	72.94	-13.6	78.15	-10.01	79.03	-11.65
Factory managers	66.67	-20.82	80.21	-13.45	87.27	-10.09	84.71	-9.92	83.33	-7.85	79.38	-11.05
Farmers	63.33	-23.09	77.66	-13.71	70.3	-17.05	68.24	-13.36	71.48	-17.03	70.31	-15.34
Fishers	76.67	-23.09	83.62	-8.95	80.91	-18.94	84.12	-11.04	78.89	-11.88	80.97	-12.21
Flight attendants	33.33	-11.55	26.81	-13.69	53.94	-34	45.59	-24.15	26.3	-15.73	23.44	-10.04
Football coaches	76.67	-15.28	85.21	-15.16	92.12	-8.93	89.41	-16.5	88.15	-11.11	90.32	-7.06
Fortune tellers	26.67	-20.82	18.33	-12.43	23.75	-22.4	26.47	-22.14	27.78	-16.95	27.19	-14.86
Gardeners	66.67	-15.28	64.17	-17.96	64.85	-19.06	66.97	-15.71	64.4	-14.46	70	-14.91
Golfers	73.33	-11.55	77.71	-12.76	73.23	-13.26	70.61	-15.6	71.85	-14.69	73.13	-14.47
Governors	76.67	-15.28	69.15	-14.42	86.56	-11.81	81.18	-15.13	84.81	-9.35	83.55	-13.8
Gynaeco-logists	53.33	-5.77	48.96	-20.24	54.55	-23.33	51.47	-13.29	55.19	-17.62	52.19	-17.73
Hairdressers	36.67	-15.28	34.47	-22.05	26.06	-12.73	28.24	-13.59	28.15	-13.02	30	-16.06
Heads	73.33	-5.77	60.42	-15.97	73.33	-15.14	67.65	-15.39	75.56	-12.81	70.65	-13.15
Historians	70	-10	61.67	-16.29	64.19	-18.22	61.47	-14.8	67.41	-15.34	64.52	-12.87
Homeless people	66.67	-15.28	63.4	-11.85	67.58	-15.62	60.88	-11.38	66.3	-13.91	61.56	-13.7
Hunters	73.33	-15.28	82.71	-13	86.67	-18.65	89.41	-9.83	87.78	-9.34	86.56	-13.59
Iceskaters	43.33	-11.55	34.26	-12.64	40.94	-12.54	41.47	-10.77	39.26	-14.92	41.25	-10.4
Inventors	66.67	-15.28	71.96	-12.22	69.69	-18.23	69.12	-14.64	68.89	-14.5	68.44	-14.83
Job seekers	56.67	-15.28	56.88	-16.39	52.73	-13.53	55.29	-12.12	55.93	-9.71	54.06	-9.11
Joggers	50	0	48.75	-12.14	55.63	-9.82	49.41	-10.13	50.74	-8.29	50.94	-6.41
Judges	76.67	-15.28	72.5	-14.51	64.38	-14.58	68.53	-14.38	72.59	-9.84	71.56	-13.23
Jugglers	60	-10	67.71	-15.33	63.94	-14.35	62.06	-13.43	64.07	-13.38	64.84	-13.13
Lawyers	60	0	61.88	-14.39	66.97	-15.71	61.18	-13.66	62.96	-10.31	63.33	-10.93
Librarians	50	-17.32	34.04	-15.7	27.88	-13.64	31.21	-14.74	34.81	-11.56	35.63	-18.65
Lorrydrivers	76.67	-15.28	83.13	-15.6	90	-6.72	87.35	-11.63	80.74	-11.74	83.44	-9.71
Magicians	70	0	75.21	-12.38	75.76	-14.58	74.55	-13.25	69.63	-15.56	76.45	-13.55
Managers	70	-17.32	61.91	-15.55	74.24	-17.68	71.76	-14.66	75.19	-12.52	73.55	-12.53
Mathema-ticians	66.67	-15.28	75.42	-11.84	79.7	-12.62	77.06	-11.94	78.15	-11.11	77.81	-10.08
Mayors	66.67	-15.28	75.74	-13.79	78.44	-11.94	74.41	-12.11	80	-11.77	76.77	-14.92
Mechanics	83.33	-11.55	85.32	-10.4	87.58	-9.02	86.76	-9.76	80	-9.61	80.97	-11.36
Members of parliament	60	-10	75	-8.88	67.27	-18.08	72.65	-15.04	70.37	-12.24	69.38	-11.05
Models	33.33	-5.77	28.13	-14.68	29.09	-13.55	30.88	-14.43	31.11	-12.81	34.06	-13.65
Murderers	73.33	-11.55	74.47	-13.32	78.79	-15.96	74.24	-14.15	74.81	-13.41	74.06	-14.11
Musicians	56.67	-5.77	53.75	-12.65	53.94	-10.59	53.24	-8.43	52.59	-7.64	50.94	-5.88
Neighbours	50	0	50.83	-15.96	50	-10.9	48.53	-8.21	51.11	-4.24	51.25	-5.54
Nurses	26.67	-11.55	29.17	-21.82	30.3	-18.45	26.47	-12.76	31.15	-18.4	31.61	-14.4
Office workers	53.33	-15.28	47.29	-13.95	46.06	-17.13	40.29	-15.07	39.63	-14.54	38.75	-14.31
Paedia-tricians	33.33	-5.77	46.25	-13.47	64.06	-17.57	50.91	-16.84	47.41	-13.18	58.13	-15.33
Painting artists	56.67	-5.77	48.54	-13.37	53.94	-15.8	54.12	-12.82	57.78	-14.23	52.9	-14.88
Pedestrians	50	0	49.79	-3.85	49.69	-13.56	49.71	-10.59	45.56	-10.13	47.81	-7.06
Pharmacists	53.33	-15.28	57.29	-18.54	50.63	-20.63	48.53	-16.54	48.46	-19.74	48.06	-16.42
Physicians	56.67	-20.82	69.79	-15.64	63.75	-12.64	61.21	-11.66	60.37	-11.26	62.81	-10.23
Physicists	76.67	-5.77	73.33	-12.94	79.69	-12.31	80	-12.31	77.41	-12.89	80.94	-17.66
Physics students	76.67	-5.77	72.71	-12.5	76.97	-12.37	78.82	-12.97	76.3	-12.14	81.56	-13.23
Pilots	73.33	-20.82	78.13	-13.47	85.15	-10.34	81.47	-13.96	75.19	-14.51	74.19	-14.78
Poets	50	0	57.71	-13.57	64.38	-15.65	64.12	-13.95	61.11	-17.39	62.19	-15.81
Police officers	60	-10	68.54	-12.38	75.45	-11.48	73.53	-10.98	69.26	-9.97	72.26	-13.09
Politicians	66.67	-11.55	77.83	-14.44	74.85	-11.49	73.24	-12.49	68.7	-9.68	68.67	-12.79
Postmen	70	-20	78.33	-14.64	67.5	-15.86	72.65	-15.04	62.96	-14.09	67.5	-12.95
Presidents	90	0	86.6	-17.48	84.55	-12.01	83.82	-16.33	85.56	-9.74	86.25	-10.08
Prisoners	73.33	-5.77	71.46	-12.38	75.15	-12.53	73.53	-12.52	73.7	-12.76	70.63	-13.43
Professors	63.33	-15.28	66.04	-13.49	57.27	-9.45	57.65	-13.04	73.7	-10.43	72.19	-12.89
Proofreaders	50	-10	50.42	-16.11	53.03	-13.11	52.12	-12.19	52.96	-11.03	54.69	-13.91
Psychology students	26.67	-5.77	31.67	-18.6	26.97	-17.41	26.97	-15.31	32.22	-9.34	30.94	-12.28
Publishers	53.33	-5.77	57.71	-14.77	62.73	-17.55	62.94	-12.92	64.23	-12.06	63.44	-14.05
Reception-class children	53.33	-5.77	45.21	-12.2	48.18	-5.84	48.53	-7.02	50.74	-5.5	49.35	-4.42
Relatives	50	0	52.17	-8.67	43.33	-12.91	48.82	-9.13	50	-5.55	49.69	-4.74
Sales assistants	43.33	-11.55	31.88	-13.47	39.38	-19	39.12	-14.22	41.48	-13.79	36.56	-13.59
School-children	63.33	-23.09	52.08	-12.2	47.88	-5.45	45.59	-7.46	48.89	-6.41	47.81	-4.91
Secretaries	26.67	-11.55	21.46	-13.99	14.06	-11.88	19.12	-13.11	25.19	-12.82	25.63	-13.9
Shoemakers	76.67	-15.28	67.5	-19.07	79.03	-13.75	82.06	-15.33	75.93	-12.79	80.94	-11.18
Singers	50	0	44.47	-11.76	48.79	-8.93	44.55	-10.92	45.93	-11.52	46.88	-8.59
Skiers	53.33	-5.77	56.04	-9.62	52.81	-7.72	52.35	-7.41	52.96	-7.75	52.5	-8.03
Social workers	43.33	-15.28	26.88	-11.33	35.15	-14.6	31.76	-12.67	45.93	-12.79	40.31	-18.23
Solarium users	25	-21.21	33.72	-18.39	31.61	-18.99	47.65	-20.9	35.19	-15.78	36.56	-12.85
