"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","Table 3 (continued)","","","","","","","","","","","","",""
"2","","","Czech","","English","","French","","German","","Italian","","Norwegian","Slovak"
"3","","","M N (SD)","","M N","(SD)","M N","(SD)","M N","(SD)","M N","(SD)","M N (SD)","M N (SD)"
"4","Knitters","",".76 35 (.25)","",".81 141","(.13)",".88 33","(.16)",".84 38","(.12)",".75 407","(.18)","N/A",".55 32 (.29)"
"5","Lab technicians","",".57 33 (.19)","",".44 141","(.16)",".42 33","(.16)",".51 35","(.16)",".44 404","(.16)",".54 30 (.17)",".58 31 (.18)"
"6","Landscape gardeners","",".49 36 (.14)","",".4 142","(.18)",".28 31","(.15)",".4 36","(.19)",".48 399","(.17)",".39 31 (.2)",".49 29 (.25)"
"7","Law clerks","",".5 36 (.16)","",".41 141","(.14)",".49 30","(.18)",".69 39","(.13)",".4 411","(.15)",".71 28 (.14)",".44 30 (.18)"
"8","Law professors","",".36 33 (.13)","",".38 140","(.15)",".34 34","(.13)",".32 34","(.16)",".48 394","(.17)",".37 30 (.17)",".3 29 (.18)"
"9","Lawyers","",".43 36 (.14)","",".41 136","(.13)",".41 35","(.13)",".41 33","(.11)",".46 402","(.13)",".44 31 (.11)",".4 30 (.14)"
"10","Leaders","","“Supervisors”","",".36 141","(.13)",".27 31","(.13)",".37 31","(.14)",".3 394","(.18)",".33 31 (.1)","“Supervisors”"
"11","Librarians","",".78 37 (.19)","",".67 139","(.14)",".67 32","(.15)",".65 34","(.15)",".63 404","(.16)",".7 31 (.15)",".76 30 (.14)"
"12","Lieutenants","",".29 40 (.21)","",".25 139","(.17)",".13 31","(.1)",".2 35","(.12)",".24 391","(.15)",".2 30 (.09)",".17 29 (.17)"
"13","Lifeguards","",".41 34 (.14)","",".38 139","(.14)",".31 31","(.13)",".38 32","(.13)",".31 396","(.15)",".41 30 (.11)",".29 31 (.15)"
"14","Lighthouse keepers","",".19 36 (.17)","",".27 137","(.14)",".22 33","(.19)",".21 36","(.15)",".17 403","(.16)",".24 31 (.15)",".13 31 (.12)"
"15","Lodgers","",".49 35 (.09)","",".42 141","(.14)",".46 31","(.09)",".52 37","(.09)",".51 394","(.1)",".49 29 (.07)",".49 30 (.14)"
"16","Lorry drivers","",".09 36 (.12)","",".19 141","(.12)",".18 32","(.1)",".15 37","(.11)",".15 404","(.13)",".19 30 (.09)",".07 30 (.08)"
