Region,Country,SIGI 2014 Category,SIGI Value 2014 ,Discriminatory family code Value,Restricted physical integrity Value,Son bias Value,Restricted resources and assets Value,Restricted civil liberties Value
ECA,Belgium,Very Low,0.0016,0.0038,0.0316,0.0824,0,0
ECA,France,Very Low,0.0034,0.1002,0,0.0828,0,0
ECA,Slovenia,Very Low,0.0037,0.0031,0.0891,0.1023,0,0
ECA,Spain,Very Low,0.0049,0.0856,0.0622,0.1144,0,0
ECA,Serbia,Very Low,0.0097,0.1094,0.1171,0.1504,0,0
LAC,Argentina,Very Low,0.0107,0.0809,0.0148,0.0691,0.2048,0
ECA,Italy,Very Low,0.0116,0.0025,0.1029,0.0966,0,0.1951
LAC,Cuba,Very Low,0.0208,0.242,0.0871,0,0,0.1951
LAC,Trinidad And Tobago,Very Low,0.0236,0.2504,0.1306,0,0,0.1951
ECA,Czech Republic,Very Low,0.0283,0.0013,0.0956,0.0855,0,0.3539
ECA,Bosnia And Herzegovina,Very Low,0.0333,0.2437,0.0672,0.1497,0.2048,0.1951
ECA,Belarus,Very Low,0.0336,0.0251,0.3544,0.0599,0,0.1951
EAP,Mongolia,Very Low,0.0345,0.0226,0.2584,0.1582,0.2048,0.1951
LAC,Dominican Republic,Very Low,0.0367,0.3691,0.0958,0.0118,0,0.1951
LAC,Panama,Very Low,0.0375,0.2344,0.0148,0.0855,0,0.3539
LAC,Venezuela,Very Low,0.0389,0.2456,0.0941,0.0071,0,0.3539
LAC,Ecuador,Low,0.0422,0.1374,0.3737,0.1037,0.2048,0
ECA,Lithuania,Low,0.0424,0.0013,0.2795,0.0931,0,0.3539
ECA,Bulgaria,Low,0.0449,0.1504,0.3926,0.0988,0,0.1951
LAC,Brazil,Low,0.0458,0.2316,0.1226,0.0364,0.1837,0.3539
EAP,Cambodia,Low,0.0477,0.0684,0.2601,0,0.2028,0.3539
LAC,El Salvador,Low,0.049,0.1066,0.2675,0.1049,0.3885,0
LAC,Costa Rica,Low,0.0506,0.2513,0.1544,0.0121,0.4076,0
ECA,Latvia,Low,0.0511,0.0044,0.3466,0.1008,0,0.3539
ECA,Moldova,Low,0.0513,0.2032,0.218869,0,0.20482,0.353895
LAC,Bolivia,Low,0.0579,0.3676,0.3207,0.0987,0.2048,0
LAC,Paraguay,Low,0.058,0.288,0.044,0.0291,0.4076,0.1951
