wiki_language_code,gender,target_word
da,female,Caroline
da,female,Ida
da,female,Freja
da,female,Emma
da,female,Mathilde
da,female,Sofie
da,female,Julie
da,female,Laura
da,female,Sara
da,male,Mikkel
da,male,Tobias
da,male,Mathias
da,male,Oliver
da,male,Magnus
da,male,Lucas
da,male,Emil
da,male,Nikolaj
da,male,Frederik
de,female,Nina
de,female,Julia
de,female,Jana
de,female,Katharina
de,female,Leonie
de,female,Julia
de,female,Emily
de,female,"Lea, Leah"
de,female,Laura
de,male,Simon
de,male,Jonas
de,male,Tim
de,male,Nico
de,male,Paul
de,male,Michael
de,male,David
de,male,Jan
de,male,Leon
en,female,Madison
en,female,Hannah
en,female,Olivia
en,female,Janice
en,female,Aoife
en,female,Emily
en,female,Jessica
en,female,Olivia
en,female,Ashley
en,male,Joshua
en,male,Adam
en,male,Lachlan
en,male,Samuel
en,male,Tyler
en,male,Andrew
en,male,Cian
en,male,Joshua
en,male,Michael
es,female,Sara
es,female,María
es,female,Graciela
es,female,Marta
es,female,Lucía
es,female,Andrea
es,female,Alba
es,female,Rosa
es,female,Alicia
es,male,Jorge
es,male,Sergio
es,male,José
es,male,Roberto
es,male,Alejandro
es,male,David
es,male,Álvaro
es,male,Luis
es,male,Carlos
fi,female,Ella
fi,female,Emilia
fi,female,Anni
fi,female,Emma
fi,female,Aino
fi,female,Sara
fi,female,Siiri
fi,female,Aada
fi,female,Venla
fi,male,Elias
fi,male,Joona
fi,male,Arttu
fi,male,Lauri
fi,male,Leevi
fi,male,Juho
fi,male,Veeti
fi,male,Eetu
fi,male,Aleksi
fr,female,Léa
fr,female,Lea
fr,female,Manon
fr,female,Leonie
fr,female,Emma
fr,female,Megan
fr,female,Emily
fr,female,Manon
fr,female,Ashley
fr,male,Clément
fr,male,Tim
fr,male,Maxime
fr,male,Nicholas
fr,male,Matthew
fr,male,Maxime
fr,male,Milan
fr,male,Luca
fr,male,Thomas
ga,female,Katie
ga,female,Sophie
ga,female,Aoife
ga,female,Chloe
ga,female,Sarah
ga,female,Leah
ga,female,Emma
ga,female,Ciara
ga,female,Amy
ga,male,Cian
ga,male,Michael
ga,male,Adam
ga,male,Daniel
ga,male,Luke
ga,male,James
ga,male,Conor
ga,male,Sean
ga,male,Jack
hu,female,Boglárka
hu,female,Zsófia
hu,female,Petra
hu,female,Réka
hu,female,Dorina
hu,female,Viktória
hu,female,Anna
hu,female,Vivien
hu,female,Fanni
hu,male,Ádám
hu,male,Máté
hu,male,Tamás
hu,male,Levente
hu,male,Bence
hu,male,Dávid
hu,male,Balázs
hu,male,Dániel
hu,male,Péter
it,female,Alessia
it,female,Aurora
it,female,Giorgia
it,female,Sara
it,female,Francesca
it,female,Chiara
it,female,Giulia
it,female,Sofia
it,female,Martina
it,male,Alessandro
it,male,Luca
it,male,Andrea
it,male,Lorenzo
it,male,Matteo
it,male,Francesco
it,male,Mattia
it,male,Gabriele
it,male,Simone
ja,female,Riko
ja,female,Nanami
ja,female,Yūka
ja,female,Miyu
ja,female,Misaki
ja,female,Mitsuki
ja,female,Moe
ja,female,Aoi
ja,female,Miu
ja,male,Sōta
ja,male,Shō
ja,male,Shun
ja,male,Shōta
ja,male,Daiki
ja,male,Kaito
ja,male,Kenta
ja,male,Ren
ja,male,Takumi
nl,female,Sanne
nl,female,Melissa
nl,female,Laura
nl,female,Emma
nl,female,Anouk
nl,female,Julia
nl,female,Emma
nl,female,Manon
nl,female,Anna
nl,male,Milan
nl,male,Jesse
nl,male,Nathan
nl,male,Milan
nl,male,Louis
nl,male,Thijs
nl,male,Lars
nl,male,Noah
nl,male,Lucas
no,female,Hanna
no,female,Julie
no,female,Ida
no,female,Emilie
no,female,Nora
no,female,Malin
no,female,Sara
no,female,Thea
no,female,Emma
no,male,Henrik
no,male,Tobias
no,male,Adrian
no,male,Jonas
no,male,Andreas
no,male,Mathias
no,male,Alexander
no,male,Markus
no,male,Kristian
pl,female,Barbara
pl,female,Małgorzata
pl,female,Elżbieta
pl,female,Anna
pl,female,Agnieszka
pl,female,Maria
pl,female,Krystyna
pl,female,Ewa
pl,female,Katarzyna
pl,male,Paweł
pl,male,Stanisław
pl,male,Jan
pl,male,Andrzej
pl,male,Piotr
pl,male,Marcin
pl,male,Józef
pl,male,Tomasz
pl,male,Krzysztof
pt,female,Vitória
pt,female,Isabel
pt,female,Júlia
pt,female,Inês
pt,female,Beatriz
pt,female,Carolina
pt,female,Maria
pt,female,Maria
pt,female,Giovanna
pt,male,Tiago
pt,male,Gustavo
pt,male,João
pt,male,Ricardo
pt,male,Gabriel
pt,male,Guilherme
pt,male,Lucas
pt,male,Pedro
pt,male,Kauan
sv,female,Hanna
sv,female,Alice
sv,female,Elin
sv,female,Linnéa
sv,female,Julia
sv,female,Maja
sv,female,Alva
sv,female,Ida
sv,female,Emma
sv,male,Lucas
sv,male,Elias
sv,male,William
sv,male,Isak
sv,male,Emil
sv,male,Hugo
sv,male,Alexander
sv,male,Filip
sv,male,Oscar
tr,female,n/a
tr,female,Fatma
tr,female,Merve
tr,female,n/a
tr,female,n/a
tr,female,n/a
tr,female,Irem
tr,female,Zeynep
tr,female,Elif
tr,male,Mehmet
tr,male,n/a
tr,male,Mustafa
tr,male,Emre
tr,male,n/a
tr,male,n/a
tr,male,Furkan
tr,male,Yusuf
tr,male,n/a
