test,study_name,caliskan_model,caliskan_estimate,replication_model,replication_estimate
WEAT_1,flowers-insects-attitude,Common Crawl (GloVe),1.5,English Wikipedia,1.6586191163543842
WEAT_2,instruments-weapons-attitude,Common Crawl (GloVe),1.53,English Wikipedia,1.535252751410166
WEAT_3,racial-attitude,Common Crawl (GloVe),1.41,English Wikipedia,-0.2090723650323441
WEAT_4,racial-attitude-market-discrimination1,Common Crawl (GloVe),1.5,English Wikipedia,-0.35985524699859783
WEAT_5,racial-attitude-market-discrimination2,Common Crawl (GloVe),1.28,English Wikipedia,-0.3787015031324904
WEAT_6,gender-bias-career-family,Common Crawl (GloVe),1.81,English Wikipedia,1.776353345954684
WEAT_7,gender-bias-math-arts,Common Crawl (GloVe),1.06,English Wikipedia,1.2612472540255728
WEAT_8,gender-bias-science-arts,Common Crawl (GloVe),1.24,English Wikipedia,1.2622535599101377
WEAT_9,mental-physical-illness-controllability,Common Crawl (GloVe),1.38,English Wikipedia,1.5631362323509175
WEAT_10,age-attitude,Common Crawl (GloVe),1.21,English Wikipedia,-0.5906266785898181
WEAT_1,flowers-insects-attitude,Google News (word2vec),1.54,English Wikipedia,1.6586191163543842
WEAT_2,instruments-weapons-attitude,Google News (word2vec),1.63,English Wikipedia,1.535252751410166
WEAT_3,racial-attitude,Google News (word2vec),0.58,English Wikipedia,-0.2090723650323441
WEAT_4,racial-attitude-market-discrimination1,Google News (word2vec),1.24,English Wikipedia,-0.35985524699859783
WEAT_5,racial-attitude-market-discrimination2,Google News (word2vec),0.72,English Wikipedia,-0.3787015031324904
WEAT_6,gender-bias-career-family,Google News (word2vec),1.89,English Wikipedia,1.776353345954684
WEAT_7,gender-bias-math-arts,Google News (word2vec),0.97,English Wikipedia,1.2612472540255728
WEAT_8,gender-bias-science-arts,Google News (word2vec),1.24,English Wikipedia,1.2622535599101377
WEAT_9,mental-physical-illness-controllability,Google News (word2vec),1.3,English Wikipedia,1.5631362323509175
WEAT_10,age-attitude,Google News (word2vec),-0.08,English Wikipedia,-0.5906266785898181
WEAT_1,flowers-insects-attitude,Common Crawl (GloVe),1.5,English Subtitles,1.4937365840037882
WEAT_2,instruments-weapons-attitude,Common Crawl (GloVe),1.53,English Subtitles,1.4016999211759686
WEAT_3,racial-attitude,Common Crawl (GloVe),1.41,English Subtitles,-0.04072308546911175
WEAT_4,racial-attitude-market-discrimination1,Common Crawl (GloVe),1.5,English Subtitles,-0.43701097528003136
WEAT_5,racial-attitude-market-discrimination2,Common Crawl (GloVe),1.28,English Subtitles,-0.5112138787840788
WEAT_6,gender-bias-career-family,Common Crawl (GloVe),1.81,English Subtitles,1.6474424749728278
WEAT_7,gender-bias-math-arts,Common Crawl (GloVe),1.06,English Subtitles,1.3036617380464803
WEAT_8,gender-bias-science-arts,Common Crawl (GloVe),1.24,English Subtitles,0.8886804505838594
WEAT_9,mental-physical-illness-controllability,Common Crawl (GloVe),1.38,English Subtitles,1.2664554801218304
WEAT_10,age-attitude,Common Crawl (GloVe),1.21,English Subtitles,0.08332369374589185
WEAT_1,flowers-insects-attitude,Google News (word2vec),1.54,English Subtitles,1.4937365840037882
WEAT_2,instruments-weapons-attitude,Google News (word2vec),1.63,English Subtitles,1.4016999211759686
WEAT_3,racial-attitude,Google News (word2vec),0.58,English Subtitles,-0.04072308546911175
WEAT_4,racial-attitude-market-discrimination1,Google News (word2vec),1.24,English Subtitles,-0.43701097528003136
WEAT_5,racial-attitude-market-discrimination2,Google News (word2vec),0.72,English Subtitles,-0.5112138787840788
WEAT_6,gender-bias-career-family,Google News (word2vec),1.89,English Subtitles,1.6474424749728278
WEAT_7,gender-bias-math-arts,Google News (word2vec),0.97,English Subtitles,1.3036617380464803
WEAT_8,gender-bias-science-arts,Google News (word2vec),1.24,English Subtitles,0.8886804505838594
WEAT_9,mental-physical-illness-controllability,Google News (word2vec),1.3,English Subtitles,1.2664554801218304
WEAT_10,age-attitude,Google News (word2vec),-0.08,English Subtitles,0.08332369374589185
